query,norm_attributes_json
Siemens 3TW72911AW72,"{""brand"": ""Siemens"", ""model_number"": ""3TW72911AW72""}"
Siemens 3TW72911AW71,"{""brand"": ""Siemens"", ""model_number"": ""3TW72911AW71""}"
Vertical Hollow Shaft Motor Service,"{""shaft"": ""Hollow Shaft"", ""motor"": ""Motor Service"", ""orientation"": ""Vertical""}"
Siemens 3TW72911AW69,"{""brand"": ""Siemens"", ""model_number"": ""3TW72911AW69""}"
Siemens 3TW72911AW68,"{""brand"": ""Siemens"", ""model_number"": ""3TW72911AW68""}"
Siemens 3TW72911AW66,"{""brand"": ""Siemens"", ""model_number"": ""3TW72911AW66""}"
Siemens 3TW72911AW64,"{""brand"": ""Siemens"", ""model_number"": ""3TW72911AW64""}"
100 HP to 2000 HP  Slip Ring Motor Starter,"{""motor_type"": ""Slip Ring Motor Starter"", ""power_output"": ""100 HP to 2000 HP""}"
Crompton Single Phase Electric Motor,"{""motor_type"": ""Single Phase Electric Motor"", ""brand"": ""Crompton""}"
6 for business use piece electronic Valve Positioners,"{""attribute"": ""6 for business use piece"", ""type"": ""electronic Valve Positioners""}"
drondch motor,"{""motor"": ""drondch motor""}"
STP-43D2035 Stepper Motor,"{""motor_type"": ""Stepper Motor"", ""model_number"": ""STP-43D2035""}"
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0,"{""motor_type"": ""SERVO MOTOR"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0"", ""attribute"": ""SIEMENS""}"
Crompton 0.5hp Motor,"{""power"": ""0.5hp Motor"", ""brand"": ""Crompton""}"
Jencode Hollow Shaft Encoder,"{""Shaft Type"": ""Hollow Shaft Encoder"", ""Code"": ""Jencode""}"
AC MOTARS,"{""power_source"": ""AC MOTARS""}"
Hadrulicl Power motar,"{""power source"": ""Hadrulicl Power motar""}"
RC Car Brushless ESC Platinum Edition 120A,"{""Edition"": ""Platinum Edition"", ""Model"": ""RC Car Brushless ESC"", ""Current"": ""120A""}"
RPG15Q Motor,"{""model_number"": ""RPG15Q"", ""power_source"": ""Motor""}"
Honeywell V4055 Fuild Power Actuator,"{""power_source"": ""Fuild Power Actuator"", ""model_number"": ""V4055"", ""brand"": ""Honeywell""}"
servo motor .,"{""power_source"": ""servo motor .""}"
L & T SOFT STARTOR,"{""attribute"": ""L & T SOFT STARTOR""}"
775 dc motor,"{""motor"": ""dc motor"", ""value"": ""775""}"
Brake Motors,"{""key_attributes"": ""Brake Motors""}"
1FK2104-6AF01-1MB0,"{""attribute"": ""1FK2104-6AF01-1MB0""}"
Electric Motor,"{""power_source"": ""Electric Motor""}"
3 phase 415 V 0.09KW Motor,"{""power"": ""0.09KW"", ""voltage"": ""3 phase 415 V"", ""component"": ""Motor""}"
crompton motors crompton motor 5 hp single phase near patna,"{""motor"": ""crompton motor"", ""power"": ""5 hp"", ""phase"": ""single phase"", ""location"": ""near patna"", ""brand"": ""crompton""}"
12v 775 Dc Motor,"{""motor_type"": ""Dc Motor"", ""voltage"": ""12v"", ""speed"": ""775""}"
Linear Actuator,"{""actuator_type"": ""Linear Actuator""}"
"Gold Power Single Phase Induction Motor, Voltage: 220V","{""motor_type"": ""Single Phase Induction Motor, Voltage: 220V"", ""value"": ""Gold"", ""power"": ""Power""}"
dc motors,"{""power_source"": ""dc motors""}"
dol starter,{}
Wages Patti,"{""designation"": ""Patti"", ""compensation"": ""Wages""}"
Lift Motor,"{""feature"": ""Lift Motor""}"
0.25HP Single Phase Electric Motor,"{""power"": ""0.25HP"", ""motor"": ""Electric Motor"", ""phase"": ""Single Phase""}"
12v dc dual shaft motor,"{""power_source"": ""12v dc"", ""drive"": ""dual shaft motor""}"
single phase submersible pump starter,"{""pump type"": ""submersible pump"", ""power"": ""single phase"", ""feature"": ""starter""}"
Bharat Bijlee Ie3 Motor,"{""motor"": ""Ie3 Motor"", ""query"": ""Bharat Bijlee""}"
Crompton Single Phase Vibrator,"{""attribute"": ""Single Phase Vibrator"", ""brand"": ""Crompton""}"
Telescopic Brushes,"{""brushes"": ""Telescopic"", ""type"": ""Brushes""}"
Carbon Brush,{}
electric gate motor,"{""power_source"": ""electric gate motor""}"
"101-200 KW 1 HP Bharat Bijlee Ac Motor, 1500 rpm","{""power_consumption"": ""101-200 KW"", ""motor_type"": ""Ac Motor, 1500 rpm"", ""brand"": ""Bharat Bijlee"", ""horsepower"": ""1 HP""}"
Auto Switch for 3 Phase Motor,"{""function"": ""Auto Switch for 3 Phase Motor""}"
crompton motors crompton motor 5 hp single phase,"{""motor"": ""crompton motor"", ""power"": ""5 hp"", ""phase"": ""single phase"", ""brand"": ""crompton""}"
Motors,"{""power_source"": ""Motors""}"
electrical motor,"{""power_source"": ""electrical motor""}"
"0.37 KW 0.5 HP Bharat Bijlee Electric Motor, 1500 rpm","{""power_consumption"": ""0.37 KW"", ""motor_type"": ""Electric Motor, 1500 rpm"", ""brand"": ""Bharat Bijlee"", ""hp"": ""0.5 HP""}"
Three Phase Bharat Bijlee Motor,"{""power_source"": ""Three Phase Bharat Bijlee Motor""}"
peco pk1 3 phase dol motor starter,"{""motor"": ""dol motor starter"", ""phase"": ""3 phase"", ""product_code"": ""pk1"", ""material"": ""peco""}"
Dol Motor Starter Dmc,"{""motor_starter"": ""Dol Motor Starter"", ""Dmc"": ""Dmc""}"
tower-fan-motor,"{""fan-type"": ""tower-fan-motor""}"
"11 KW 15 HP Crompton Greaves Electric Motor, 1000 rpm","{""power_consumption"": ""11 KW"", ""motor_type"": ""Electric Motor, 1000 rpm"", ""brand"": ""Crompton Greaves"", ""horsepower"": ""15 HP""}"
"3 Phase Induction Motor, 3600 rpm, 4 Pole","{""motor_type"": ""Induction Motor, 3600 rpm, 4 Pole"", ""phase"": ""3 Phase""}"
Siemens Electric Motor,"{""motor"": ""Siemens Electric Motor""}"
"3.7 KW 5 HP Crompton Greaves AC motor, 1500 rpm","{""power_consumption"": ""3.7 KW"", ""motor_type"": ""AC motor, 1500 rpm"", ""brand"": ""Crompton Greaves"", ""horsepower"": ""5 HP""}"
Crompton,"{""brand"": ""Crompton""}"
Crompton Greaves Industrial Motors,"{""brand"": ""Crompton Greaves"", ""power source"": ""Industrial Motors""}"
White Motor Starter,"{""motor_starter"": ""Motor Starter"", ""color"": ""White""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-1MA0 2.7 kW,"{""power_consumption"": ""2.7 kW"", ""motor_type"": ""SERVO MOTOR"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-1MA0""}"
CG Three Phase Crompton Greaves Flameproof Motor,"{""Safety Feature"": ""Flameproof"", ""Phase"": ""Three Phase"", ""Brand"": ""Crompton Greaves"", ""Attribute"": ""CG"", ""Component"": ""Motor""}"
Makita HR-2440 Armature By PowerSpeed,"{""model_number"": ""Makita HR-2440"", ""power_source"": ""Armature By PowerSpeed""}"
bldc 50w 24v 3000rpm,"{""power"": ""50w"", ""speed"": ""3000rpm"", ""voltage"": ""24v"", ""type"": ""bldc""}"
Mixer Grinder Motor,"{""type"": ""Mixer Grinder"", ""power"": ""Motor""}"
3000 rpm 24 v bldc 50w 24v 3000rpm,"{""speed"": ""3000rpm"", ""voltage"": ""24v"", ""power"": ""50w"", ""motor_type"": ""bldc"", ""speed_rpm"": ""3000 rpm"", ""voltage_setting"": ""24v""}"
three phase 5 ac induction motor piece 10 hp 1440 rpm Three Phase Induction Motor Cg Make 3 HP,"{""motor_type"": ""Induction Motor"", ""power"": ""3 HP"", ""voltage"": ""Three Phase Induction Motor"", ""make"": ""Cg Make"", ""speed"": ""1440 rpm"", ""parts"": ""piece"", ""phase"": ""three phase"", ""power_source"": ""5 ac induction motor"", ""power_level"": ""10 hp""}"
motor protection cover,"{""key-value attributes"": ""motor protection cover""}"
Dwe4235 Armature,"{""attribute"": ""Armature"", ""model_number"": ""Dwe4235""}"
AM Gold Motor Starter,"{""motor_starter"": ""Motor Starter"", ""gold"": ""AM Gold""}"
R. S. Series Geared Motors,"{""Series"": ""R. S. Series"", ""Drive Type"": ""Geared Motors""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF01-1SB0 1 kW,"{""motor_type"": ""SERVO MOTOR"", ""brand"": ""SIEMENS SIMOTICS"", ""model_number"": ""S-1FK2"", ""power"": ""1 kW"", ""part_number"": ""1FK2104-6AF01-1SB0""}"
3000  rpm 24  v 10 bldc 50w 24v 3000rpm,"{""speed"": ""3000rpm"", ""voltage"": ""24v"", ""power"": ""10 bldc 50w"", ""voltage_setting"": ""24v"", ""quantity"": ""24"", ""quantity_of_items"": ""3000""}"
24  v 10 bldc 50w 24v 3000rpm,"{""voltage"": ""24v"", ""power"": ""10 bldc 50w"", ""speed"": ""3000rpm"", ""voltage_setting"": ""24v"", ""quantity"": ""24""}"
makita mt240 cb203a cut off carbon brush,"{""model_number"": ""mt240"", ""attribute"": ""cut off"", ""brush_type"": ""carbon brush"", ""model"": ""cb203a"", ""brand"": ""makita""}"
2 hp gear motor,"{""power"": ""2 hp"", ""drive"": ""gear motor""}"
Induction Motor Cg Make,"{""Make"": ""Cg Make"", ""power_source"": ""Induction Motor""}"
Dual shaft Motor,"{""shafts"": ""Dual shaft"", ""power_source"": ""Motor""}"
ac servo motor 750w,"{""power"": ""750w"", ""motor"": ""ac servo motor""}"
ats480c66y,"{""model_number"": ""ats480c66y""}"
Kirloskar Electric Motor,"{""motor"": ""Kirloskar Electric Motor""}"
three  phase 1 ATS480C66Y,"{""phase"": ""1"", ""model_number"": ""ATS480C66Y""}"
l and t mpower pro mobile motor starter,"{""power"": ""mpower pro mobile motor starter"", ""length"": ""l and t"", ""model_name"": ""m""}"
zd motor 25 w small ac geared motors 220v,"{""power"": ""25 w"", ""motor"": ""zd motor"", ""voltage"": ""220v"", ""type"": ""small ac geared motors"", ""query"": ""zd motor 25 w small ac geared motors 220v""}"
kitchen hood motor,"{""hood"": ""kitchen hood"", ""power source"": ""motor""}"
kapcon simi cooler motor,"{""product_name"": ""simi cooler"", ""brand"": ""kapcon"", ""power_source"": ""motor""}"
Jayashree Rotory Encoder Hollow Shaft,"{""Encoder Type"": ""Rotory Encoder"", ""Shaft"": ""Hollow Shaft"", ""Brand"": ""Jayashree""}"
20w fan dc motor,"{""power"": ""20w"", ""feature"": ""fan"", ""motor_type"": ""dc motor""}"
Wet Rice Grinders AUE Motors,"{""product_type"": ""Wet Rice Grinders"", ""brand"": ""AUE Motors""}"
Electronic Starter,"{""starter type"": ""Electronic Starter""}"
AC Synchronous Motors,"{""motor_type"": ""AC Synchronous Motors""}"
Jayashree Encoder  : Hollow Shaft  J-50T,"{""Encoder"": ""Hollow Shaft"", ""Brand"": ""Jayashree"", ""Model"": ""J-50T""}"
Motor,"{""power_source"": ""Motor""}"
Remi Centrifuge Carbon Brush,"{""attribute"": ""Carbon Brush"", ""centrifuge type"": ""Remi Centrifuge""}"
High po re,"{""po re"": ""High""}"
volvo & ir l&t case vibration motor shaft,"{""motor"": ""vibration motor shaft"", ""brand"": ""volvo & ir"", ""case"": ""l&t case"", ""volume"": ""volvo""}"
Rawat+Induction+Motors,"{""attributes"": ""Rawat+Induction+Motors""}"
havells single phase motor,"{""motor_type"": ""single phase motor"", ""brand"": ""havells""}"
HAVELLS 3 PHASE MOTORSIE2/IE3,"{""power_source"": ""3 PHASE MOTORSIE2/IE3"", ""brand"": ""HAVELLS""}"
DHARMENDRA,"{""name"": ""DHARMENDRA""}"
vertical helical gear motor 5 hp,"{""power"": ""5 hp"", ""motor_type"": ""helical gear motor"", ""orientation"": ""vertical""}"
Bosch parts,"{""parts"": ""Bosch parts""}"
Panasonic AC Servo Motor,"{""motor"": ""Panasonic AC Servo Motor""}"
squirrel-cage-motors,"{""motor_type"": ""squirrel-cage-motors""}"
Belimo Damper Actuator,"{""Damper Actuator"": ""Belimo""}"
Squirrel Cage Induction Motor tefc type,"{""motor_type"": ""Induction Motor"", ""cage_type"": ""Squirrel Cage"", ""tefc type"": ""tefc type""}"
fn20c motor,"{""function"": ""motor"", ""fn"": ""fn20c""}"
fireproof motor,"{""attribute"": ""fireproof"", ""power_source"": ""motor""}"
Minas A6 Panasonic  Servo Motor & Driver,"{""brand"": ""Panasonic"", ""model_number"": ""Minas A6"", ""motor_driver"": ""Servo Motor & Driver""}"
Planetary Gear Motor,"{""motor_type"": ""Planetary Gear Motor""}"
Squirrel Cage Induction Motor tefc type 415v,"{""motor_type"": ""Induction Motor"", ""cage_type"": ""Squirrel Cage"", ""voltage"": ""415v"", ""tefc type"": ""tefc type""}"
vertical helical gear motor,"{""motor_type"": ""helical gear motor"", ""orientation"": ""vertical""}"
2 advanced features 2 10 hp mobile starter,"{""features"": ""advanced features"", ""power"": ""10 hp"", ""starter"": ""mobile starter"", ""quantity"": ""2"", ""additional_value"": ""2""}"
Helical Geared Motor,"{""motor_type"": ""Helical Geared Motor""}"
dvd motor,"{""motor"": ""dvd motor""}"
2 hp three phase induction motor,"{""power"": ""two hp"", ""motor type"": ""induction motor"", ""phase"": ""three phase""}"
Direct oil immersed starter skn Kelson U Kit Set,"{""kit_set"": ""U Kit Set""}"
Rolling Shutter Motor,"{""feature"": ""Rolling Shutter"", ""power_source"": ""Motor""}"
Delton Three Single Phase Oil Starter,"{""phase"": ""Single Phase"", ""oil starter"": ""Oil"", ""brand"": ""Delton"", ""quantity"": ""Three""}"
Shaft Encoder,"{""component"": ""Shaft Encoder""}"
CTV 110 Unimotion Servo Motor,"{""model_number"": ""CTV 110"", ""motor_type"": ""Servo Motor"", ""brand"": ""Unimotion""}"
Crompton Single Phase Motor,"{""motor_type"": ""Single Phase Motor"", ""brand"": ""Crompton""}"
crompton single phase cooler motor,"{""phase"": ""single phase"", ""brand"": ""crompton"", ""attribute"": ""cooler motor""}"
crompton greaves energy efficient motor,"{""motor"": ""energy efficient motor"", ""brand"": ""crompton greaves""}"
180 Watt Electro Magnetic Brake Motor,"{""Feature"": ""Electro Magnetic Brake Motor"", ""Power"": ""180 Watt""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-5AK00-0SB0 0.12 kW,"{""power_consumption"": ""0.12 kW"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-5AK00-0SB0""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTER 1FK2106-4AF10-0SA0 2.7 kW,"{""power_consumption"": ""2.7 kW"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTER 1FK2106-4AF10-0SA0""}"
Servo Motor,"{""motor"": ""Servo Motor""}"
copper sewing machine motor armature,"{""material"": ""copper"", ""type"": ""sewing machine"", ""components"": ""motor armature""}"
cooler motor high speed,"{""feature"": ""high speed"", ""component"": ""motor"", ""type"": ""cooler""}"
cooler hee motor,"{""attribute"": ""cooler"", ""motor"": ""hee motor""}"
Kerovit Ege Actuation Plate,"{""Actuation"": ""Plate"", ""Brand"": ""Kerovit Ege Actuation""}"
ABB Soft Starters,"{""starter type"": ""Soft Starters"", ""brand"": ""ABB""}"
Bullet Farrata Fan Motor,"{""fan type"": ""Farrata Fan"", ""motor"": ""Motor"", ""style"": ""Bullet""}"
happymodel motor,"{""model_name"": ""happymodel"", ""power_source"": ""motor""}"
Double Shaft Motor,"{""key_attributes"": ""Double Shaft Motor""}"
incubator turning motor,"{""motor_type"": ""turning motor"", ""product_type"": ""incubator""}"
abb motor,"{""motor"": ""abb motor""}"
2hp single phase motor cg model gf7010,"{""model_number"": ""gf7010"", ""power_source"": ""single phase motor"", ""hp"": ""2hp""}"
2hp single phase motor near kolkata cg model no gf7010,"{""model_number"": ""gf7010"", ""power_source"": ""single phase motor"", ""hp"": ""2hp"", ""location"": ""near kolkata"", ""serial_number"": ""no""}"
100 HP Slip Ring Motor Starter,"{""motor_type"": ""Slip Ring Motor Starter"", ""power"": ""100 HP""}"
battery operated pmdc motor,"{""power_source"": ""battery operated"", ""motor_type"": ""pmdc motor""}"
Automatic Door Motor,"{""door"": ""Automatic"", ""power_source"": ""Motor""}"
Automatic Rolling Shutters Motor,"{""feature"": ""Automatic Rolling Shutters"", ""power source"": ""Motor""}"
Nxu Gear Brake Motor In Pune,"{""city"": ""In Pune"", ""attribute"": ""Nxu"", ""mechanism"": ""Gear Brake Motor""}"
Bosch Carbon Brushes,"{""attribute"": ""Carbon Brushes"", ""brand"": ""Bosch""}"
1 piece 750 watt 3000 rpm AC Servo Motor,"{""motor_type"": ""AC Servo Motor"", ""quantity"": ""1 piece"", ""speed"": ""3000 rpm"", ""power"": ""750 watt""}"
Arun D O L Motor Starter,"{""brand"": ""Arun D O L"", ""power_source"": ""Motor Starter""}"
v12 mobile starter,"{""starter"": ""mobile"", ""version"": ""v12""}"
1 hp motor,"{""power"": ""1 hp motor""}"
angle grinder armature,"{""grinder type"": ""angle grinder"", ""part"": ""armature""}"
ola motor,"{""motor"": ""ola motor""}"
altistart 22 soft starters,"{""attribute"": ""soft starters"", ""brand"": ""altistart"", ""quantity"": ""22""}"
tawagawa hollow encoder ts 5700n8500,"{""encoder"": ""hollow encoder"", ""series"": ""ts 5700n8500"", ""brand"": ""tawagawa""}"
tawagawa hollow encoder ts-5700n8500,"{""encoder"": ""hollow encoder"", ""model_number"": ""ts-5700n8500"", ""brand"": ""tawagawa""}"
actuator model %3A rr a50 d,"{""attribute"": ""d"", ""model"": ""actuator model %3A rr a50""}"
86HS120 Two Phase Stepper Motor,"{""motor_type"": ""Stepper Motor"", ""phase"": ""Two Phase"", ""model_number"": ""86HS120""}"
86 HS 65 Two Phase Stepper Motor,"{""Motor Type"": ""Stepper Motor"", ""Phase"": ""Two Phase"", ""HS Code"": ""HS 65""}"
Ola motot,"{""brand"": ""Ola motot""}"
Swing Gate Motor,"{""gate type"": ""Swing Gate"", ""power source"": ""Motor""}"
COPCARBON BRUSH 25X40X10,"{""attribute"": ""BRUSH"", ""value"": ""25X40X10"", ""product_code"": ""COPCARBON""}"
DC GEAR MOTOR,"{""power_source"": ""DC GEAR MOTOR""}"
motor-armature,"{""power_source"": ""motor-armature""}"
57 HS 22 Two Phase Stepper Motor,"{""Phase"": ""Two Phase"", ""Model Number"": ""HS 22"", ""Motor Type"": ""Stepper Motor"", ""Value"": ""57""}"
57 HS 13 Two Phase Stepper Motor,"{""HS"": ""13"", ""Motor Type"": ""Stepper Motor"", ""Phase"": ""Two Phase"", ""HS Code"": ""57 HS""}"
57 HS 09 Two Phase Stepper Motor,"{""key-value attributes"": ""57 HS 09 Two Phase Stepper Motor""}"
el%20tech%20motors,"{""brand"": ""el%"", ""tech"": ""%20tech%20motors""}"
Leadshine ISV5713V36 1000 AC Servo Motor,"{""motor_type"": ""AC Servo Motor"", ""model_number"": ""ISV5713V36"", ""material"": ""Leadshine"", ""power"": ""1000""}"
PDA Sliding Gate Motor,"{""type"": ""PDA"", ""feature"": ""Sliding Gate Motor""}"
42 HS 02 Two Phase Stepper Motor,"{""motor_type"": ""Stepper Motor"", ""phase"": ""Two Phase"", ""model_number"": ""HS 02"", ""attribute"": ""42 HS""}"
Jencoder Hollow Type  Rotary Encoder J-50T,"{""Type"": ""Hollow Type"", ""Encoder"": ""Rotary Encoder"", ""Model"": ""J-50T""}"
Inverter Duty Induction Motors,"{""feature"": ""Inverter Duty"", ""power source"": ""Induction Motors""}"
39 HS 02 Two Phase Stepper Motor,"{""voltage"": ""39 HS 02"", ""motor_type"": ""Stepper Motor"", ""phase"": ""Two Phase""}"
aluminium bell,"{""bell"": ""ring"", ""material"": ""aluminium""}"
spindle-motors,"{""power_source"": ""spindle-motors""}"
Schneider Ats48 Soft Starter Repairs,"{""product_code"": ""Ats48"", ""brand"": ""Schneider"", ""service"": ""Repairs"", ""starter_type"": ""Soft Starter""}"
Jencoder Rotory Encoder : Hollow Type,"{""Encoder Type"": ""Rotory Encoder : Hollow Type"", ""Model Name"": ""Jencoder""}"
swing starter,"{""feature"": ""swing starter""}"
Rhino 12V DC 30RPM 70Kgcm IG32 Heavy Duty Planetary Geared Motor,"{""Weight"": ""70Kgcm"", ""Model"": ""IG32"", ""Motor Type"": ""Heavy Duty Planetary Geared Motor"", ""Speed"": ""30RPM"", ""Voltage"": ""Rhino 12V DC""}"
18 inch g c exhaust fan motor housing,"{""feature"": ""g c exhaust fan motor housing"", ""size"": ""18 inch""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF01-1SB0,"{""motor_type"": ""SERVO MOTOR"", ""model_number"": ""SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF01-1SB0""}"
12v bldc,"{""voltage"": ""12v"", ""motor_type"": ""bldc""}"
1 Inch Kit Cooler Motor,"{""size"": ""1 Inch"", ""kit"": ""Kit"", ""feature"": ""Kit Cooler Motor""}"
Jencoder Hollow Shaft Rotary Encoder J-50T,"{""Encoder Type"": ""Rotary Encoder"", ""Shaft"": ""Hollow Shaft"", ""Model"": ""J-50T""}"
110HS20 Two Phase Stepper Motor,"{""motor_type"": ""Stepper Motor"", ""phase"": ""Two Phase"", ""model_number"": ""110HS20""}"
Toothed Belt Axis Egc-tb,"{""belt"": ""Toothed Belt"", ""axis"": ""Egc-tb""}"
lifting-column-actuator,"{""mechanism"": ""lifting-column-actuator""}"
Electric Rotary Actuators,"{""actuators"": ""Electric Rotary"", ""type"": ""Key-value attributes from this query:""}"
Single Phase Motors,"{""power_source"": ""Single Phase Motors""}"
AC Servo Motor,"{""motor_type"": ""AC Servo Motor""}"
Unbalance Motors,"{""attribute"": ""Unbalance Motors""}"
Starters,"{""feature"": ""Starters""}"
industrial-electric-motor,"{""power_source"": ""industrial-electric-motor""}"
siemens motor,"{""motor"": ""siemens motor""}"
Marsh Actuators,"{""actuators"": ""Marsh Actuators""}"
