query,gt_attr_count,qmeans_attr_count,gt_attributes,qmeans_attributes,matched_key_count,key_match_rate_%,matched_keys,matched_key_priorities,value_match_count,value_match_rate_%,matched_values_detail,value_mismatch_detail,missing_gt_keys,missing_key_priorities,extra_qmeans_keys,extra_qmeans_key_count,critical_missing_key,assessment
brushless dc motor,1,1,motor_type=BLDC motor,motor type=dc,1,100.0,motor_type,motor_type(P2),1,100.0,motor_type: GT=BLDC motor | QM=dc,(none),(none),(none),(none),0,(none),PERFECT_MATCH
ABB Electric Motor,1,2,brand=ABB,brand=abb; power source=electric,1,100.0,brand,brand(P1),1,100.0,brand: GT=ABB | QM=abb,(none),(none),(none),power source=electric,1,(none),PERFECT_MATCH
sensor plate,0,0,(empty),(empty),0,N/A,(none),(none),0,N/A,(none),(none),(none),(none),(none),0,(none),NO_GT_ATTRIBUTES
electronic components bo moters,1,2,product_type=motor,type=bo moters; usage=electronic components,1,100.0,product_type,product_type(P6),0,0.0,(none),product_type: GT=motor | QM=bo moters,(none),(none),(none),0,(none),PARTIAL_MATCH
1500 kv ccw multirotor motor,1,2,kv_rating=1500 KV,power=1500 kv; motor type=multirotor,0,0.0,(none),(none),0,0.0,(none),(none),kv_rating=1500 KV,kv_rating(P17),(none),0,kv_rating(P17),NO_KEY_MATCH
Panasonic Geared Motor,2,1,brand=Panasonic; motor_type=geared motor,brand=panasonic,1,50.0,brand,brand(P1),1,50.0,brand: GT=Panasonic | QM=panasonic,(none),motor_type=geared motor,motor_type(P2),(none),0,motor_type(P2),PARTIAL_MATCH
worm geared brake motor,1,1,motor_type=worm geared motor,motor type=worm,1,100.0,motor_type,motor_type(P2),1,100.0,motor_type: GT=worm geared motor | QM=worm,(none),(none),(none),(none),0,(none),PERFECT_MATCH
eletical motors 40hp,1,1,power=40 HP,power=40hp,1,100.0,power,power(P3),0,0.0,(none),power: GT=40 HP | QM=40hp,(none),(none),(none),0,(none),PARTIAL_MATCH
Rotomotive Induction Motor 3 Phase,3,3,brand=Rotomotive; phase=three phase; motor_type=induction motor,no of phase=3 phase; motor type=induction; brand=rotomotive,3,100.0,brand; phase; motor_type,brand(P1); phase(P7); motor_type(P2),2,66.7,brand: GT=Rotomotive | QM=rotomotive; motor_type: GT=induction motor | QM=induction,phase: GT=three phase | QM=3 phase,(none),(none),(none),0,(none),ALL_KEYS_MATCHED_SOME_VALUES_DIFFER
100 W Chimney Motor,2,2,power=100 W; usage=chimney,power=100 w; usage=chimney,2,100.0,power; usage,power(P3); usage(P9),2,100.0,power: GT=100 W | QM=100 w; usage: GT=chimney | QM=chimney,(none),(none),(none),(none),0,(none),PERFECT_MATCH
1 for reselling piece Panasonic Geared Motor,2,1,brand=Panasonic; motor_type=geared motor,brand=panasonic,1,50.0,brand,brand(P1),1,50.0,brand: GT=Panasonic | QM=panasonic,(none),motor_type=geared motor,motor_type(P2),(none),0,motor_type(P2),PARTIAL_MATCH
Motor Cover,1,1,product_type=motor,motor part type=cover,1,100.0,product_type,product_type(P6),0,0.0,(none),product_type: GT=motor | QM=cover,(none),(none),(none),0,(none),PARTIAL_MATCH
b04420065,0,0,(empty),(empty),0,N/A,(none),(none),0,N/A,(none),(none),(none),(none),(none),0,(none),NO_GT_ATTRIBUTES
1 piece Slip Rings,1,2,motor_type=slip ring motor,set contains=1 piece; motor part type=slip,0,0.0,(none),(none),0,0.0,(none),(none),motor_type=slip ring motor,motor_type(P2),set contains=1 piece,1,motor_type(P2),NO_KEY_MATCH
venex 3 phase dol motor starter,3,4,brand=Venex; phase=three phase; product_type=motor starter,phase=3 phase; starter type=dol; usage=motor starter; brand=venex,2,66.7,brand; phase,brand(P1); phase(P7),1,33.3,brand: GT=Venex | QM=venex,phase: GT=three phase | QM=3 phase,product_type=motor starter,product_type(P6),starter type=dol,1,product_type(P6),PARTIAL_MATCH
Used Crompton Greaves Motor,1,3,brand=Crompton Greaves,brand=crompton; part type=motor; condition=used,1,100.0,brand,brand(P1),1,100.0,brand: GT=Crompton Greaves | QM=crompton,(none),(none),(none),condition=used,1,(none),PERFECT_MATCH
Mobile Starter Prime,1,1,product_type=motor starter,model name/number=prime,0,0.0,(none),(none),0,0.0,(none),(none),product_type=motor starter,product_type(P6),(none),0,product_type(P6),NO_KEY_MATCH
1kw( 1.3hp) bldc motor,3,2,power=1.3 HP; power_kw=1 KW; motor_type=BLDC motor,power=1kw( 1.3hp); motor type=bldc,2,66.7,power; motor_type,power(P3); motor_type(P2),1,33.3,motor_type: GT=BLDC motor | QM=bldc,power: GT=1.3 HP | QM=1kw( 1.3hp),power_kw=1 KW,power_kw(P20),(none),0,power_kw(P20),PARTIAL_MATCH
1kw( 1.3hp) bldc motor near jharsuguda,3,2,power=1.3 HP; power_kw=1 KW; motor_type=BLDC motor,power=1kw( 1.3hp); motor type=bldc,2,66.7,power; motor_type,power(P3); motor_type(P2),1,33.3,motor_type: GT=BLDC motor | QM=bldc,power: GT=1.3 HP | QM=1kw( 1.3hp),power_kw=1 KW,power_kw(P20),(none),0,power_kw(P20),PARTIAL_MATCH
spg motor,1,1,brand=SPG,part type=motor,0,0.0,(none),(none),0,0.0,(none),(none),brand=SPG,brand(P1),(none),0,brand(P1),NO_KEY_MATCH
crompton greaves motor 5 hp 3.70 kw 3 phase 1450 rpm foot mount,6,6,brand=Crompton Greaves; power=5 HP; power_kw=3.70 KW; phase=three phase; speed=1450 RPM; mounting=foot mounted,speed=1450 rpm; phase=3 phase; power=3.70 kw; horsepower=5 hp; brand=crompton; mounting type=foot,5,83.3,brand; power; phase; speed; mounting,brand(P1); power(P3); phase(P7); speed(P8); mounting(P11),3,50.0,brand: GT=Crompton Greaves | QM=crompton; speed: GT=1450 RPM | QM=1450 rpm; mounting: GT=foot mounted | QM=foot,power: GT=5 HP | QM=3.70 kw; phase: GT=three phase | QM=3 phase,power_kw=3.70 KW,power_kw(P20),(none),0,power_kw(P20),PARTIAL_MATCH
Vacuum Cleaner Motors,1,2,usage=vacuum cleaner,part type=motors; usage=vacuum cleaner,1,100.0,usage,usage(P9),1,100.0,usage: GT=vacuum cleaner | QM=vacuum cleaner,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Siemens Electric Three Phase Motor,2,3,brand=Siemens; phase=three phase,power source=electric; brand=siemens; phase=three phase,2,100.0,brand; phase,brand(P1); phase(P7),2,100.0,brand: GT=Siemens | QM=siemens; phase: GT=three phase | QM=three phase,(none),(none),(none),power source=electric,1,(none),PERFECT_MATCH
panasonic gear box MY9G30B,1,2,brand=Panasonic,model name/number=my9g30b; brand=panasonic,1,100.0,brand,brand(P1),1,100.0,brand: GT=Panasonic | QM=panasonic,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Three Phase Dol Starter (elcw-s-digi),2,3,phase=three phase; product_type=DOL starter,model name/number=(elcw-s-digi); starter type=dol; phase=three phase,1,50.0,phase,phase(P7),1,50.0,phase: GT=three phase | QM=three phase,(none),product_type=DOL starter,product_type(P6),starter type=dol,1,product_type(P6),PARTIAL_MATCH
Motor Plate,1,1,product_type=motor,motor part type=plate,1,100.0,product_type,product_type(P6),0,0.0,(none),product_type: GT=motor | QM=plate,(none),(none),(none),0,(none),PARTIAL_MATCH
three phase dol dry run motor starter,2,3,phase=three phase; product_type=motor starter,starter type=dol; usage=motor starter; phase=three phase,1,50.0,phase,phase(P7),1,50.0,phase: GT=three phase | QM=three phase,(none),product_type=motor starter,product_type(P6),starter type=dol,1,product_type(P6),PARTIAL_MATCH
Single Phase Electric Motor,1,2,phase=single phase,power source=electric; no of phase=single phase,1,100.0,phase,phase(P7),1,100.0,phase: GT=single phase | QM=single phase,(none),(none),(none),power source=electric,1,(none),PERFECT_MATCH
auto switch,0,0,(empty),(empty),0,N/A,(none),(none),0,N/A,(none),(none),(none),(none),(none),0,(none),NO_GT_ATTRIBUTES
Mdt Knx Actuator Automation Products Dealer,1,4,product_type=actuator,product=actuator automation; business type=dealer; model name/number=knx; brand=mdt,1,100.0,product_type,product_type(P6),1,100.0,product_type: GT=actuator | QM=actuator automation,(none),(none),(none),business type=dealer,1,(none),PERFECT_MATCH
Three Phase DOL  Auto Switch With Timer With Connector (Rocker Switch),1,2,phase=three phase,starter type=dol; phase=three phase,1,100.0,phase,phase(P7),1,100.0,phase: GT=three phase | QM=three phase,(none),(none),(none),starter type=dol,1,(none),PERFECT_MATCH
Hydraulic Motor,1,1,motor_type=hydraulic motor,power source=hydraulic,0,0.0,(none),(none),0,0.0,(none),(none),motor_type=hydraulic motor,motor_type(P2),power source=hydraulic,1,motor_type(P2),NO_KEY_MATCH
sliding door motor,1,2,usage=sliding door,usage=door; open style=sliding,1,100.0,usage,usage(P9),1,100.0,usage: GT=sliding door | QM=door,(none),(none),(none),open style=sliding,1,(none),PERFECT_MATCH
solenoid-switches,0,0,(empty),(empty),0,N/A,(none),(none),0,N/A,(none),(none),(none),(none),(none),0,(none),NO_GT_ATTRIBUTES
symphony air cooler motor,2,3,brand=Symphony; usage=air cooler,usage=cooler; part type=motor; brand=symphony,2,100.0,brand; usage,brand(P1); usage(P9),2,100.0,brand: GT=Symphony | QM=symphony; usage: GT=air cooler | QM=cooler,(none),(none),(none),(none),0,(none),PERFECT_MATCH
PBL Geared Motors,2,1,brand=PBL; motor_type=geared motor,brand=pbl,1,50.0,brand,brand(P1),1,50.0,brand: GT=PBL | QM=pbl,(none),motor_type=geared motor,motor_type(P2),(none),0,motor_type(P2),PARTIAL_MATCH
super max oil immersed dol motor starter,1,3,product_type=motor starter,starter type=dol; usage=motor starter; brand=super max,0,0.0,(none),(none),0,0.0,(none),(none),product_type=motor starter,product_type(P6),starter type=dol,1,product_type(P6),NO_KEY_MATCH
Sunflag Table Fan Motor,2,2,brand=Sunflag; usage=table fan,brand=sunflag; usage=table fan,2,100.0,brand; usage,brand(P1); usage(P9),2,100.0,brand: GT=Sunflag | QM=sunflag; usage: GT=table fan | QM=table fan,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Industrial Motors,1,1,product_type=motor,usage=industrial,0,0.0,(none),(none),0,0.0,(none),(none),product_type=motor,product_type(P6),(none),0,product_type(P6),NO_KEY_MATCH
crompton 3 phase motor 7.5 hp i3,3,4,brand=Crompton; power=7.5 HP; phase=three phase,no of phase=3 phase; power=7.5 hp; brand=crompton; processor=i3,3,100.0,brand; power; phase,brand(P1); power(P3); phase(P7),2,66.7,brand: GT=Crompton | QM=crompton; power: GT=7.5 HP | QM=7.5 hp,phase: GT=three phase | QM=3 phase,(none),(none),processor=i3,1,(none),ALL_KEYS_MATCHED_SOME_VALUES_DIFFER
linear actuator control board,1,0,product_type=linear actuator,(empty),0,0.0,(none),(none),0,0.0,(none),(none),product_type=linear actuator,product_type(P6),(none),0,product_type(P6),NO_KEY_MATCH
panasonic gar box,1,2,brand=Panasonic,packaging type=box; brand=panasonic,1,100.0,brand,brand(P1),1,100.0,brand: GT=Panasonic | QM=panasonic,(none),(none),(none),packaging type=box,1,(none),PERFECT_MATCH
ड्रोन डीसी मोटर,0,0,(empty),(empty),0,N/A,(none),(none),0,N/A,(none),(none),(none),(none),(none),0,(none),NO_GT_ATTRIBUTES
single phase servo motor,2,2,phase=single phase; motor_type=servo motor,product=servo motor; phase=single phase,1,50.0,phase,phase(P7),1,50.0,phase: GT=single phase | QM=single phase,(none),motor_type=servo motor,motor_type(P2),(none),0,motor_type(P2),PARTIAL_MATCH
single phase mild steel geared motor,3,2,phase=single phase; motor_type=geared motor; material=mild steel,material=mild steel; phase=single phase,2,66.7,phase; material,phase(P7); material(P16),2,66.7,phase: GT=single phase | QM=single phase; material: GT=mild steel | QM=mild steel,(none),motor_type=geared motor,motor_type(P2),(none),0,motor_type(P2),PARTIAL_MATCH
Gold Power Single Phase Induction Motor,3,3,brand=Gold Power; phase=single phase; motor_type=induction motor,brand=gold power; motor type=induction motor; no of phase=single phase,3,100.0,brand; phase; motor_type,brand(P1); phase(P7); motor_type(P2),3,100.0,brand: GT=Gold Power | QM=gold power; phase: GT=single phase | QM=single phase; motor_type: GT=induction motor | QM=induction motor,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Siemens 3TW72911AW78,2,2,brand=Siemens; model_number=3TW72911AW78,model name/number=3tw72911aw78; brand=siemens,2,100.0,brand; model_number,brand(P1); model_number(P5),2,100.0,brand: GT=Siemens | QM=siemens; model_number: GT=3TW72911AW78 | QM=3tw72911aw78,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Siemens 3TW72911AW74,2,2,brand=Siemens; model_number=3TW72911AW74,model name/number=3tw72911aw74; brand=siemens,2,100.0,brand; model_number,brand(P1); model_number(P5),2,100.0,brand: GT=Siemens | QM=siemens; model_number: GT=3TW72911AW74 | QM=3tw72911aw74,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Siemens 3TW72911AW72,2,2,brand=Siemens; model_number=3TW72911AW72,model name/number=3tw72911aw72; brand=siemens,2,100.0,brand; model_number,brand(P1); model_number(P5),2,100.0,brand: GT=Siemens | QM=siemens; model_number: GT=3TW72911AW72 | QM=3tw72911aw72,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Siemens 3TW72911AW71,2,2,brand=Siemens; model_number=3TW72911AW71,model name/number=3tw72911aw71; brand=siemens,2,100.0,brand; model_number,brand(P1); model_number(P5),2,100.0,brand: GT=Siemens | QM=siemens; model_number: GT=3TW72911AW71 | QM=3tw72911aw71,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Vertical Hollow Shaft Motor Service,2,1,mounting=vertical; shaft_type=hollow shaft,orientation=vertical,0,0.0,(none),(none),0,0.0,(none),(none),mounting=vertical; shaft_type=hollow shaft,mounting(P11); shaft_type(P15),orientation=vertical,1,mounting(P11),NO_KEY_MATCH
Siemens 3TW72911AW69,2,2,brand=Siemens; model_number=3TW72911AW69,model name/number=3tw72911aw69; brand=siemens,2,100.0,brand; model_number,brand(P1); model_number(P5),2,100.0,brand: GT=Siemens | QM=siemens; model_number: GT=3TW72911AW69 | QM=3tw72911aw69,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Siemens 3TW72911AW68,2,2,brand=Siemens; model_number=3TW72911AW68,model name/number=3tw72911aw68; brand=siemens,2,100.0,brand; model_number,brand(P1); model_number(P5),2,100.0,brand: GT=Siemens | QM=siemens; model_number: GT=3TW72911AW68 | QM=3tw72911aw68,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Siemens 3TW72911AW66,2,2,brand=Siemens; model_number=3TW72911AW66,model name/number=3tw72911aw66; brand=siemens,2,100.0,brand; model_number,brand(P1); model_number(P5),2,100.0,brand: GT=Siemens | QM=siemens; model_number: GT=3TW72911AW66 | QM=3tw72911aw66,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Siemens 3TW72911AW64,2,2,brand=Siemens; model_number=3TW72911AW64,model name/number=3tw72911aw64; brand=siemens,2,100.0,brand; model_number,brand(P1); model_number(P5),2,100.0,brand: GT=Siemens | QM=siemens; model_number: GT=3TW72911AW64 | QM=3tw72911aw64,(none),(none),(none),(none),0,(none),PERFECT_MATCH
100 HP to 2000 HP  Slip Ring Motor Starter,2,3,power=100 HP; motor_type=slip ring motor,power=100 hp to 2000 hp; usage=motor starter; starter type=slip ring,1,50.0,power,power(P3),1,50.0,power: GT=100 HP | QM=100 hp to 2000 hp,(none),motor_type=slip ring motor,motor_type(P2),starter type=slip ring,1,motor_type(P2),PARTIAL_MATCH
Crompton Single Phase Electric Motor,2,0,brand=Crompton; phase=single phase,(empty),0,0.0,(none),(none),0,0.0,(none),(none),brand=Crompton; phase=single phase,brand(P1); phase(P7),(none),0,brand(P1),NO_KEY_MATCH
6 for business use piece electronic Valve Positioners,1,0,product_type=valve positioner,(empty),0,0.0,(none),(none),0,0.0,(none),(none),product_type=valve positioner,product_type(P6),(none),0,product_type(P6),NO_KEY_MATCH
drondch motor,1,1,product_type=motor,part type=motor,1,100.0,product_type,product_type(P6),1,100.0,product_type: GT=motor | QM=motor,(none),(none),(none),(none),0,(none),PERFECT_MATCH
STP-43D2035 Stepper Motor,1,2,motor_type=stepper motor,motor type=stepper motor; model name/number=stp-43d2035,1,100.0,motor_type,motor_type(P2),1,100.0,motor_type: GT=stepper motor | QM=stepper motor,(none),(none),(none),(none),0,(none),PERFECT_MATCH
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0,3,3,brand=Siemens; motor_type=servo motor; model_number=1FK2104-6AF01-1MB0,model name/number=1fk2104-6af01-1mb0; usage=servo motor; brand=siemens,2,66.7,brand; model_number,brand(P1); model_number(P5),2,66.7,brand: GT=Siemens | QM=siemens; model_number: GT=1FK2104-6AF01-1MB0 | QM=1fk2104-6af01-1mb0,(none),motor_type=servo motor,motor_type(P2),(none),0,motor_type(P2),PARTIAL_MATCH
Crompton 0.5hp Motor,2,3,brand=Crompton; power=0.5 HP,power=0.5hp; brand=crompton; part type=motor,2,100.0,brand; power,brand(P1); power(P3),1,50.0,brand: GT=Crompton | QM=crompton,power: GT=0.5 HP | QM=0.5hp,(none),(none),(none),0,(none),ALL_KEYS_MATCHED_SOME_VALUES_DIFFER
Jencode Hollow Shaft Encoder,2,1,product_type=encoder; shaft_type=hollow shaft,encoder type=hollow shaft,0,0.0,(none),(none),0,0.0,(none),(none),product_type=encoder; shaft_type=hollow shaft,product_type(P6); shaft_type(P15),encoder type=hollow shaft,1,product_type(P6),NO_KEY_MATCH
AC MOTARS,1,1,product_type=motor,power source=ac,0,0.0,(none),(none),0,0.0,(none),(none),product_type=motor,product_type(P6),power source=ac,1,product_type(P6),NO_KEY_MATCH
Hadrulicl Power motar,1,0,product_type=motor,(empty),0,0.0,(none),(none),0,0.0,(none),(none),product_type=motor,product_type(P6),(none),0,product_type(P6),NO_KEY_MATCH
RC Car Brushless ESC Platinum Edition 120A,2,0,motor_type=brushless motor; current=120 A,(empty),0,0.0,(none),(none),0,0.0,(none),(none),motor_type=brushless motor; current=120 A,motor_type(P2); current(P10),(none),0,motor_type(P2),NO_KEY_MATCH
RPG15Q Motor,1,2,product_type=motor,part type=motor; model name/number=rpg15q,1,100.0,product_type,product_type(P6),1,100.0,product_type: GT=motor | QM=motor,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Honeywell V4055 Fuild Power Actuator,2,3,brand=Honeywell; product_type=actuator,brand=honeywell; actuator type=power actuator; model name/number=v4055,1,50.0,brand,brand(P1),1,50.0,brand: GT=Honeywell | QM=honeywell,(none),product_type=actuator,product_type(P6),actuator type=power actuator,1,product_type(P6),PARTIAL_MATCH
servo motor .,1,0,motor_type=servo motor,(empty),0,0.0,(none),(none),0,0.0,(none),(none),motor_type=servo motor,motor_type(P2),(none),0,motor_type(P2),NO_KEY_MATCH
L & T SOFT STARTOR,2,1,brand=L&T; product_type=soft starter,brand=l & t,1,50.0,brand,brand(P1),0,0.0,(none),brand: GT=L&T | QM=l & t,product_type=soft starter,product_type(P6),(none),0,product_type(P6),PARTIAL_MATCH
775 dc motor,1,2,motor_type=DC motor,model name/number=775; motor type=dc,1,100.0,motor_type,motor_type(P2),1,100.0,motor_type: GT=DC motor | QM=dc,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Brake Motors,1,0,product_type=motor,(empty),0,0.0,(none),(none),0,0.0,(none),(none),product_type=motor,product_type(P6),(none),0,product_type(P6),NO_KEY_MATCH
1FK2104-6AF01-1MB0,1,0,model_number=1FK2104-6AF01-1MB0,(empty),0,0.0,(none),(none),0,0.0,(none),(none),model_number=1FK2104-6AF01-1MB0,model_number(P5),(none),0,model_number(P5),NO_KEY_MATCH
Electric Motor,1,1,product_type=motor,power source=electric,0,0.0,(none),(none),0,0.0,(none),(none),product_type=motor,product_type(P6),power source=electric,1,product_type(P6),NO_KEY_MATCH
3 phase 415 V 0.09KW Motor,3,2,power=0.09 KW; phase=three phase; voltage=415V,power=0.09kw; voltage=415 v,2,66.7,power; voltage,power(P3); voltage(P4),0,0.0,(none),power: GT=0.09 KW | QM=0.09kw; voltage: GT=415V | QM=415 v,phase=three phase,phase(P7),(none),0,phase(P7),PARTIAL_MATCH
crompton motors crompton motor 5 hp single phase near patna,3,3,brand=Crompton; power=5 HP; phase=single phase,power=5 hp; brand=crompton; phase=single phase,3,100.0,brand; power; phase,brand(P1); power(P3); phase(P7),3,100.0,brand: GT=Crompton | QM=crompton; power: GT=5 HP | QM=5 hp; phase: GT=single phase | QM=single phase,(none),(none),(none),(none),0,(none),PERFECT_MATCH
12v 775 Dc Motor,2,2,voltage=12V; motor_type=DC motor,voltage=12v; motor type=dc,2,100.0,voltage; motor_type,voltage(P4); motor_type(P2),2,100.0,voltage: GT=12V | QM=12v; motor_type: GT=DC motor | QM=dc,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Linear Actuator,1,1,product_type=linear actuator,valve motion=linear,0,0.0,(none),(none),0,0.0,(none),(none),product_type=linear actuator,product_type(P6),valve motion=linear,1,product_type(P6),NO_KEY_MATCH
"Gold Power Single Phase Induction Motor, Voltage: 220V",4,4,brand=Gold Power; phase=single phase; voltage=220V; motor_type=induction motor,voltage=220v; brand=gold power; motor type=induction; no of phase=single phase,4,100.0,brand; phase; voltage; motor_type,brand(P1); phase(P7); voltage(P4); motor_type(P2),4,100.0,brand: GT=Gold Power | QM=gold power; phase: GT=single phase | QM=single phase; voltage: GT=220V | QM=220v; motor_type: GT=induction motor | QM=induction,(none),(none),(none),(none),0,(none),PERFECT_MATCH
dc motors,1,1,motor_type=DC motor,motor type=dc,1,100.0,motor_type,motor_type(P2),1,100.0,motor_type: GT=DC motor | QM=dc,(none),(none),(none),(none),0,(none),PERFECT_MATCH
dol starter,1,2,product_type=DOL starter,starter type=dol; feeder type=starter,0,0.0,(none),(none),0,0.0,(none),(none),product_type=DOL starter,product_type(P6),starter type=dol; feeder type=starter,2,product_type(P6),NO_KEY_MATCH
Wages Patti,0,1,(empty),form=patti,0,N/A,(none),(none),0,N/A,(none),(none),(none),(none),form=patti,1,(none),NO_GT_ATTRIBUTES
Lift Motor,1,2,usage=lift,usage=lift; part type=motor,1,100.0,usage,usage(P9),1,100.0,usage: GT=lift | QM=lift,(none),(none),(none),(none),0,(none),PERFECT_MATCH
0.25HP Single Phase Electric Motor,2,3,power=0.25 HP; phase=single phase,power=0.25hp; product=electric motor; no of phase=single phase,2,100.0,power; phase,power(P3); phase(P7),1,50.0,phase: GT=single phase | QM=single phase,power: GT=0.25 HP | QM=0.25hp,(none),(none),(none),0,(none),ALL_KEYS_MATCHED_SOME_VALUES_DIFFER
12v dc dual shaft motor,3,1,voltage=12V; motor_type=DC motor; shaft_type=dual shaft,voltage=12v dc,1,33.3,voltage,voltage(P4),1,33.3,voltage: GT=12V | QM=12v dc,(none),motor_type=DC motor; shaft_type=dual shaft,motor_type(P2); shaft_type(P15),(none),0,motor_type(P2),LOW_MATCH
single phase submersible pump starter,3,2,phase=single phase; product_type=motor starter; usage=submersible pump,phase=single phase; usage=submersible pump,2,66.7,phase; usage,phase(P7); usage(P9),2,66.7,phase: GT=single phase | QM=single phase; usage: GT=submersible pump | QM=submersible pump,(none),product_type=motor starter,product_type(P6),(none),0,product_type(P6),PARTIAL_MATCH
Bharat Bijlee Ie3 Motor,2,2,brand=Bharat Bijlee; efficiency=IE3,brand=bharat bijlee; efficiency=ie3,2,100.0,brand; efficiency,brand(P1); efficiency(P13),2,100.0,brand: GT=Bharat Bijlee | QM=bharat bijlee; efficiency: GT=IE3 | QM=ie3,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Crompton Single Phase Vibrator,2,3,brand=Crompton; phase=single phase,brand/make=crompton; phase=single phase; product=vibrator,2,100.0,brand; phase,brand(P1); phase(P7),2,100.0,brand: GT=Crompton | QM=crompton; phase: GT=single phase | QM=single phase,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Telescopic Brushes,1,1,product_type=carbon brush,brush type=telescopic,0,0.0,(none),(none),0,0.0,(none),(none),product_type=carbon brush,product_type(P6),brush type=telescopic,1,product_type(P6),NO_KEY_MATCH
Carbon Brush,1,1,product_type=carbon brush,material=carbon,0,0.0,(none),(none),0,0.0,(none),(none),product_type=carbon brush,product_type(P6),(none),0,product_type(P6),NO_KEY_MATCH
electric gate motor,1,2,usage=gate,power source=electric; usage=gate,1,100.0,usage,usage(P9),1,100.0,usage: GT=gate | QM=gate,(none),(none),(none),power source=electric,1,(none),PERFECT_MATCH
