query,qmeans_attr_count,gemini_attr_count,qmeans_attr_key_1,qmeans_attr_value_1,gemini_attr_key_1,gemini_attr_value_1,qmeans_attr_key_2,qmeans_attr_value_2,gemini_attr_key_2,gemini_attr_value_2,qmeans_attr_key_3,qmeans_attr_value_3,gemini_attr_key_3,gemini_attr_value_3,qmeans_attr_key_4,qmeans_attr_value_4,gemini_attr_key_4,gemini_attr_value_4,qmeans_attr_key_5,qmeans_attr_value_5,gemini_attr_key_5,gemini_attr_value_5,qmeans_attr_key_6,qmeans_attr_value_6,gemini_attr_key_6,gemini_attr_value_6,qmeans_attr_key_7,qmeans_attr_value_7,gemini_attr_key_7,gemini_attr_value_7,qmeans_attr_key_8,qmeans_attr_value_8,gemini_attr_key_8,gemini_attr_value_8,qmeans_attr_key_9,qmeans_attr_value_9,gemini_attr_key_9,gemini_attr_value_9,qmeans_attr_key_10,qmeans_attr_value_10,gemini_attr_key_10,gemini_attr_value_10
100 kg 3 phase hdpe extruder,4,4,capacity,100 kg,capacity,"""100 kg",material,hdpe,material,hdpe,phase,3 phase,power,3 phase,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
100 kg 3 phase liquid extraction system,3,3,capacity,100 kg,capacity,"""100 kg",phase,3 phase,power,3 phase,product,liquid extraction system,usage,liquid extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 kg manual conical twin screw extruder,4,5,automation grade,manual,capacity,100 kg,capacity,100 kg,operation,manual,shape,conical,type,conical,type,screw extruder,type,twin screw,,,type,extruder,,,,,,,,,,,,,,,,,,,,
100 kg single phase centrifuge extractor,3,3,capacity,100 kg,capacity,"""100 kg",phase,single phase,power,single phase,product,centrifuge extractor,product,centrifuge extractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 kg/hr manual conical twin screw extruder 480 v 3 phase ss 304 body,5,7,automation grade,manual,capacity,"""100 kg/hr",capacity,100 kg/hr,control,manual,machine type,twin screw extruder,material,ss 304,phase,3 phase,part,body,voltage,480 v,power,3 phase,,,type,conical twin screw,,,voltage,480 v,,,,,,,,,,,,
100 liter 1 phase centrifuge extractor,3,3,capacity,100 liter,capacity,"""100 liter",phase,1 phase,phase,1 phase,product,centrifuge extractor,type,centrifuge extractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 liter pvc extruder,3,3,capacity,100 liter,capacity,100 liter,material,pvc,material,pvc,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 ton semi-automatic multi layer extruder,4,4,automation grade,semi-automatic,automation,semi-automatic,capacity,100 ton,capacity,100 ton,layer,multi layer,layer,multi layer,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
100 tpd double die extruder,3,3,capacity,100 tpd,capacity,100 tpd,number of dies,double die,type,double die,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 tpd fully automatic hdpe extruder 400 v 3 phase ss body,6,6,automation grade,automatic,capacity,"""100 tpd",capacity,100 tpd,material,hdpe,material,hdpe,material,ss,phase,3 phase,power,3 phase,type,extruder,type,extruder,voltage,400 v,voltage,400 v,,,,,,,,,,,,,,,,
100 tpd fully automatic plastic extruder,3,4,automation grade,automatic,capacity,100 tpd,capacity,100 tpd,feature,fully automatic,type,extruder,material,plastic,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
100 tpd sheet extruder cast iron body,2,5,capacity,100 tpd,capacity,"""100 tpd",material,cast iron,material,sheet,,,material,cast iron,,,part,body,,,type,extruder,,,,,,,,,,,,,,,,,,,,
100 tpd single phase gold refinery plant,2,4,capacity,100 tpd,capacity,100 tpd,phase,single phase,configuration,single phase,,,type,refinery,,,usage,gold,,,,,,,,,,,,,,,,,,,,,,,,
100 tpd three phase pet extruder,3,4,capacity,100 tpd,capacity,100 tpd,phase,three phase,material,pet,type,extruder,power,three phase,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
1000 kg/hr 1 phase oil extraction plant,2,3,capacity,1000 kg/hr,capacity,1000 kg/hr,phase,1 phase,power,1 phase,,,usage,oil extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000 kg/hr automatic pet extruder 400 v three phase titanium body,6,8,automation grade,automatic,capacity,"""1000 kg/hr",capacity,1000 kg/hr,feature,automatic,material,titanium,material,pet,phase,three phase,material,titanium,type,extruder,part,body,voltage,400 v,power_supply,three phase,,,type,extruder,,,voltage,400 v,,,,,,,,
1000 kg/hr fully automatic pvc pipe extruder,4,4,automation grade,automatic,capacity,1000 kg/hr,capacity,1000 kg/hr,feature,fully automatic,material,pvc,product,pvc pipe,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
1000 liter 3 phase epe foam extruder,3,4,capacity,1000 liter,capacity,"""1000 liter",phase,3 phase,material,epe foam,type,extruder,power,3 phase,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
1000 liter automatic lab extruder,4,4,automation grade,automatic,capacity,1000 liter,capacity,1000 liter,feature,automatic,type,extruder,type,extruder,usage,lab,usage,lab,,,,,,,,,,,,,,,,,,,,,,,,
1000 liter fully automatic lab extruder,4,4,automation grade,automatic,capacity,1000 liter,capacity,1000 liter,feature,fully automatic,type,extruder,type,extruder,usage,lab,usage,lab,,,,,,,,,,,,,,,,,,,,,,,,
1000 liter solid phase extraction system pp body,2,4,capacity,1000 liter,capacity,"""1000 liter",material,pp,material,pp,,,part,body,,,type,solid phase extraction system,,,,,,,,,,,,,,,,,,,,,,,,
150 kg/hr curcumin extraction plant,1,3,capacity,150 kg/hr,capacity,150 kg/hr,,,product,curcumin,,,type,extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 kg curcumin extraction plant pvc body,2,5,capacity,20 kg,capacity,"""20 kg",material,pvc,material,pvc,,,part,body,,,process,extraction,,,product,curcumin,,,,,,,,,,,,,,,,,,,,
20 kg ldpe blown film machine mild steel body,3,5,capacity,20 kg,capacity,"""20 kg",material,mild steel,material,ldpe,usage,ldpe blown film machine,material,mild steel,,,part,body,,,usage,blown film,,,,,,,,,,,,,,,,,,,,
20 kg single phase oleoresin extraction plant,3,4,capacity,20 kg,capacity,20 kg,phase,single phase,power,single phase,product,oleoresin extraction plant,product,oleoresin,,,type,extraction,,,,,,,,,,,,,,,,,,,,,,,,
20 tpd manual blown film extrusion machine,2,4,capacity,20 tpd,capacity,20 tpd,machine type,manual,machine type,extrusion,,,operation,manual,,,usage,film,,,,,,,,,,,,,,,,,,,,,,,,
20 tpd pipe extrusion machine,2,3,capacity,20 tpd,capacity,20 tpd,machine type,pipe extrusion,machine type,extrusion,,,product,pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 tpd pvc extruder,3,3,capacity,20 tpd,capacity,20 tpd,material,pvc,material,pvc,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 tpd semi-automatic gold refinery plant,2,4,automation grade,semi-automatic,automation,semi-automatic,capacity,20 tpd,capacity,20 tpd,,,type,refinery,,,usage,gold,,,,,,,,,,,,,,,,,,,,,,,,
200 kg 1 phase aluminium extrusion plant,3,4,capacity,200 kg,capacity,200 kg,machine type,extrusion,machine type,extrusion,phase,1 phase,material,aluminium,,,power,1 phase,,,,,,,,,,,,,,,,,,,,,,,,
200 kg jockey extruder,3,3,brand,jockey,capacity,200 kg,capacity,200 kg,type,jockey,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200 kg single phase double die extruder,4,4,number of dies,double die,capacity,200 kg,phase,single phase,design,double die,type,extruder,power,single phase,weight,200 kg,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
200 kg/hr automatic oleoresin extraction plant,3,2,automation grade,automatic,capacity,200 kg/hr,capacity,200 kg/hr,usage,oleoresin extraction,product,oleoresin extraction plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200 kg/hr oil extraction plant,1,2,capacity,200 kg/hr,capacity,200 kg/hr,,,usage,oil extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200 kg/hr pvc pipe extruder stainless steel body,2,6,capacity,200 kg/hr,capacity,"""200 kg/hr",material,stainless steel,material,pvc,,,material,stainless steel,,,part,body,,,product,pipe,,,type,extruder,,,,,,,,,,,,,,,,
200 kg/hr semi-automatic xlpe cable extruder 480 v 3 phase aluminium body,5,8,automation grade,semi-automatic,automation,semi-automatic,capacity,200 kg/hr,capacity,"""200 kg/hr",material,aluminium,material,xlpe cable,phase,3 phase,material,aluminium,voltage,480 v,part,body,,,power,3 phase,,,type,extruder,,,voltage,480 v,,,,,,,,
200 kg/hr single phase conical twin screw extruder,3,4,capacity,200 kg/hr,capacity,"""200 kg/hr",phase,single phase,power,single phase,shape,conical,type,conical twin screw,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
200 liter aluminium extrusion plant ms body,3,4,capacity,200 liter,capacity,"""200 liter",material,ms,machine type,extrusion,usage,aluminium extrusion plant,material,aluminium,,,material,ms body,,,,,,,,,,,,,,,,,,,,,,,,
200 liter gold refinery plant,3,3,capacity,200 liter,capacity,200 liter,type,refinery plant,type,refinery,usage,gold,usage,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200 liter semi-automatic lab extruder 380 v 3 phase pp body,7,8,automation grade,semi-automatic,automation,semi-automatic,capacity,200 liter,capacity,"""200 liter",material,pp,material,pp,phase,3 phase,part,body,type,extruder,power_supply,3 phase,usage,lab,type,extruder,voltage,380 v,usage,lab,,,voltage,380 v,,,,,,,,
200 liter semi-automatic sheet extruder,3,4,automation grade,semi-automatic,automation,semi-automatic,capacity,200 liter,capacity,200 liter,type,extruder,material,sheet,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
200 tpd 3 phase epe foam extruder,4,4,capacity,200 tpd,capacity,200 tpd,material,epe,material,epe foam,phase,3 phase,power,3 phase,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
200 tpd 3 phase ldpe blown film machine,3,5,capacity,200 tpd,capacity,"""200 tpd",material,ldpe,material,ldpe,phase,3 phase,power,3 phase,,,product,machine,,,type,blown film,,,,,,,,,,,,,,,,,,,,
25 kg cable extruder ss body,3,4,capacity,25 kg,capacity,25 kg,material,ss,material,ss body,usage,cable extruder,product,cable,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
25 kg manual zinc recovery unit 415 v 1 phase hdpe body,6,8,automation grade,manual,capacity,"""25 kg",capacity,25 kg,material,zinc,material,hdpe,material,hdpe,phase,1 phase,operation,manual,usage,zinc recovery,part,body,voltage,415 v,power_supply,1 phase,,,process,recovery,,,voltage,415 v,,,,,,,,
25 kg three phase solvent extraction plant,3,3,capacity,25 kg,capacity,25 kg,phase,three phase,power,three phase,type,solvent extraction plant,usage,solvent extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 kg/hr automatic jockey extruder,3,4,brand,jockey,capacity,25 kg/hr,capacity,25 kg/hr,feature,automatic,type,extruder,type,jockey,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
250 kg/hr 1 phase epe foam extruder,3,4,capacity,250 kg/hr,capacity,250 kg/hr,phase,1 phase,material,epe foam,type,extruder,power,1 phase,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
250 kg/hr 3 phase herbal extraction plant,3,4,capacity,250 kg/hr,capacity,250 kg/hr,phase,3 phase,power,3 phase,product,herbal extraction plant,type,extraction,,,usage,herbal,,,,,,,,,,,,,,,,,,,,,,,,
250 kg/hr extruder machine cast iron body,3,3,capacity,250 kg/hr,capacity,"""250 kg/hr",material,cast iron,material,cast iron,usage,extruder machine,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 kg/hr manual twin screw extruder 220 v 1 phase ms body,6,8,automation grade,manual,capacity,"""250 kg/hr",capacity,250 kg/hr,control,manual,machine type,twin screw extruder,material,ms,material,ms,part,body,phase,1 phase,power_phase,1 phase,voltage,220 v,type,twin screw,,,type,extruder,,,voltage,220 v,,,,,,,,
30 kg 1 phase hdpe extruder,4,4,capacity,30 kg,capacity,"""30 kg",material,hdpe,material,hdpe,phase,1 phase,power,1 phase,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
30 kg automatic metal refining plant 380 v 1 phase hdpe body,6,7,automation grade,automatic,capacity,"""30 kg",capacity,30 kg,material,hdpe,material,hdpe,operation,automatic,phase,1 phase,part,body,usage,metal refining,power_phase,1 phase,voltage,380 v,usage,metal refining,,,voltage,380 v,,,,,,,,,,,,
30 kg fully automatic conical twin screw extruder,3,4,automation grade,automatic,capacity,30 kg,capacity,30 kg,feature,fully automatic,shape,conical,type,conical twin screw,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
30 kg metal refining plant ss 304 body,2,5,capacity,30 kg,capacity,"""30 kg",usage,metal refining,material,metal,,,material,ss 304,,,part,body,,,type,refining,,,,,,,,,,,,,,,,,,,,
30 kg monolayer extruder titanium body,2,5,capacity,30 kg,capacity,30 kg,material,titanium,material,titanium,,,part,body,,,type,monolayer,,,type,extruder,,,,,,,,,,,,,,,,,,,,
30 kg semi-automatic hydro extractor 230 v single phase hdpe body,6,7,automation grade,semi-automatic,capacity,"""30 kg",capacity,30 kg,material,hdpe,material,hdpe,part,body,phase,single phase,power_supply,single phase,product,hydro extractor,product,hydro extractor,voltage,230 v,type,semi-automatic,,,voltage,230 v,,,,,,,,,,,,
300 kg/hr manual copper extraction plant 380 v 1 phase pvc body,6,8,automation grade,manual,capacity,"""300 kg/hr",capacity,300 kg/hr,material,copper,material,pvc,material,pvc,phase,1 phase,operation,manual,usage,copper extraction,part,body,voltage,380 v,power_supply,1 phase,,,type,extraction,,,voltage,380 v,,,,,,,,
300 kg/hr monolayer extruder,2,3,capacity,300 kg/hr,capacity,300 kg/hr,type,extruder,layer,monolayer,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 kg/hr semi-automatic epe foam extruder,4,4,automation grade,semi-automatic,automation,semi-automatic,capacity,300 kg/hr,capacity,"""300 kg/hr",material,epe,material,epe foam,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
300 kg/hr semi-automatic pvc extruder,4,4,automation grade,semi-automatic,automation,semi-automatic,capacity,300 kg/hr,capacity,300 kg/hr,material,pvc,material,pvc,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
5 kg 1 phase curcumin extraction plant,2,4,capacity,5 kg,capacity,5 kg,phase,1 phase,power,1 phase,,,product,curcumin,,,type,extraction,,,,,,,,,,,,,,,,,,,,,,,,
5 kg three phase curcumin extraction plant,2,4,capacity,5 kg,capacity,5 kg,phase,three phase,power,three phase,,,product,curcumin,,,type,extraction plant,,,,,,,,,,,,,,,,,,,,,,,,
5 kg/hr curcumin extraction plant ms body,2,5,capacity,5 kg/hr,capacity,"""5 kg/hr",material,ms,material,ms body,,,product,curcumin,,,type,extraction,,,type,plant,,,,,,,,,,,,,,,,,,,,
5 kg/hr three phase oleoresin extraction plant,3,3,capacity,5 kg/hr,capacity,"""5 kg/hr",phase,three phase,power,three phase,product,oleoresin extraction plant,usage,oleoresin extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 ton manual plastic extruder 230 v 1 phase cast iron body,4,8,capacity,5 ton,capacity,"""5 ton",material,cast iron,material,plastic,phase,1 phase,material,cast iron,voltage,230 v,operation,manual,,,part,body,,,power_phase,1 phase,,,type,extruder,,,voltage,230 v,,,,,,,,
5 ton three phase film extrusion machine,2,4,clamping force,5 ton,capacity,5 ton,phase,three phase,machine type,extrusion,,,power,three phase,,,usage,film,,,,,,,,,,,,,,,,,,,,,,,,
5 tpd mother baby extruder ss body,3,4,capacity,5 tpd,capacity,"""5 tpd",material,ss,material,ss body,type,extruder,type,mother baby,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
5 tpd semi-automatic oil extraction plant 415 v single phase titanium body,6,7,capacity,5 tpd,automation,semi-automatic,material,titanium,capacity,"""5 tpd",operation type,semi-automatic,material,titanium,phase,single phase,part,body,usage,oil extraction,power_supply,single phase,voltage,415 v,usage,oil extraction,,,voltage,415 v,,,,,,,,,,,,
5 tpd xlpe cable extruder hdpe body,3,6,capacity,5 tpd,capacity,"""5 tpd",material,xlpe,material,xlpe,usage,cable extruder,material,hdpe,,,part,body,,,product,cable,,,type,extruder,,,,,,,,,,,,,,,,
50 kg 1 phase basket extruder,3,4,capacity,50 kg,capacity,50 kg,phase,1 phase,power,1 phase,type,basket extruder,type,basket,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
50 kg semi-automatic double die extruder 220 v 1 phase ms body,5,8,automation grade,semi-automatic,automation,semi-automatic,material,ms,capacity,"""50 kg",phase,1 phase,die type,double die,type,extruder,material,ms,voltage,220 v,part,body,,,power phase,1 phase,,,type,extruder,,,voltage,220 v,,,,,,,,
50 kg semi-automatic hydro extractor,3,3,automation grade,semi-automatic,capacity,50 kg,capacity,50 kg,feature,semi-automatic,product,hydro extractor,type,hydro extractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 kg three phase solvent extraction plant,3,3,capacity,50 kg,capacity,50 kg,phase,three phase,power,three phase,type,solvent extraction plant,usage,solvent extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 kg/hr 3 phase conical twin screw extruder,4,4,capacity,50 kg/hr,capacity,50 kg/hr,phase,3 phase,power,3 phase,shape,conical,type,conical twin screw,type,twin screw extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
50 kg/hr fully automatic blown film extrusion machine 440 v 1 phase aluminium body,5,8,capacity,50 kg/hr,capacity,"""50 kg/hr",machine type,automatic,feature,fully automatic,material,aluminium,machine type,extrusion,phase,1 phase,material,aluminium,voltage,440 v,part,body,,,power_phase,1 phase,,,usage,blown film,,,voltage,440 v,,,,,,,,
50 kg/hr fully automatic pvc extruder 480 v 1 phase mild steel body,5,8,automation grade,automatic,capacity,"""50 kg/hr",capacity,50 kg/hr,feature,fully automatic,material,mild steel,material,pvc,phase,1 phase,material,mild steel,voltage,480 v,part,body,,,power_supply,1 phase,,,type,extruder,,,voltage,480 v,,,,,,,,
50 kg/hr fully automatic xlpe cable extruder 240 v 3 phase aluminium body,5,8,automation grade,automatic,capacity,"""50 kg/hr",capacity,50 kg/hr,feature,fully automatic,material,aluminium,material,xlpe cable,phase,3 phase,material,aluminium,voltage,240 v,part,body,,,power,3 phase,,,type,extruder,,,voltage,240 v,,,,,,,,
50 kg/hr three phase solvent extraction plant,3,3,capacity,50 kg/hr,capacity,50 kg/hr,phase,three phase,power,three phase,type,solvent extraction plant,usage,solvent extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 ton plastic recycling extruder,3,3,capacity,50 ton,capacity,50 ton,type,extruder,type,extruder,usage,plastic recycling,usage,plastic recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 tpd herbal extraction plant pp body,3,4,capacity,50 tpd,capacity,"""50 tpd",material,pp,material,pp,usage,herbal extraction,part,body,,,usage,herbal extraction,,,,,,,,,,,,,,,,,,,,,,,,
500 kg aluminium extrusion plant ms body,3,4,capacity,500 kg,capacity,"""500 kg",material,ms,machine type,extrusion,usage,aluminium extrusion plant,material,aluminium,,,material,ms body,,,,,,,,,,,,,,,,,,,,,,,,
500 kg/hr hdpe extruder cast iron body,2,5,capacity,500 kg/hr,capacity,"""500 kg/hr",material,cast iron,material,hdpe,,,material,cast iron,,,part,body,,,type,extruder,,,,,,,,,,,,,,,,,,,,
500 kg/hr metal refining plant,2,2,capacity,500 kg/hr,capacity,500 kg/hr,usage,metal refining,usage,metal refining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 kg/hr metal refining plant,2,2,capacity,500 kg/hr,capacity,500 kg/hr,usage,metal refining,usage,metal refining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 kg/hr metal refining plant,2,2,capacity,500 kg/hr,capacity,500 kg/hr,usage,metal refining,usage,metal refining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 kg/hr metal refining plant,2,2,capacity,500 kg/hr,capacity,500 kg/hr,usage,metal refining,usage,metal refining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 kg/hr pp extruder,3,3,capacity,500 kg/hr,capacity,500 kg/hr,material,pp,material,pp,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 kg/hr wpc extruder pvc body,3,5,capacity,500 kg/hr,capacity,"""500 kg/hr",material,wpc,material,wpc,type,extruder,material,pvc,,,part,body,,,type,extruder,,,,,,,,,,,,,,,,,,,,
500 liter manual ldpe blown film machine 230 v 3 phase ss 316 body,6,8,capacity,500 liter,capacity,"""500 liter",machine type,manual,material,ldpe,material,ldpe,material,ss 316,material grade,ss 316,operation,manual,phase,3 phase,part,body,voltage,230 v,power,3 phase,,,type,blown film,,,voltage,230 v,,,,,,,,
500 liter semi-automatic tube extrusion machine,2,4,automation grade,semi-automatic,automation,semi-automatic,capacity,500 liter,capacity,500 liter,,,machine type,extrusion,,,product,tube,,,,,,,,,,,,,,,,,,,,,,,,
500 ton monolayer extruder,2,3,capacity,500 ton,capacity,500 ton,type,extruder,layer,monolayer,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 ton wpc extruder ss 316 body,2,5,capacity,500 ton,capacity,"""500 ton",type,extruder,material,wpc,,,material,ss 316,,,part,body,,,type,extruder,,,,,,,,,,,,,,,,,,,,
500 tpd fully automatic basket extruder,3,3,automation grade,automatic,capacity,500 tpd,capacity,500 tpd,feature,fully automatic,type,extruder,type,basket extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 tpd fully automatic extruder machine 480 v 1 phase pvc body,6,7,automation grade,automatic,automation,fully automatic,capacity,500 tpd,capacity,"""500 tpd",material,pvc,material,pvc,phase,1 phase,part,body,type,extruder,phase,1 phase,voltage,480 v,type,extruder,,,voltage,480 v,,,,,,,,,,,,
500 tpd manual epe foam extruder,3,4,automation grade,manual,capacity,500 tpd,capacity,500 tpd,material,epe foam,material,epe,operation,manual,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
750 kg/hr fully automatic mother baby extruder,3,4,automation grade,automatic,capacity,750 kg/hr,capacity,750 kg/hr,feature,fully automatic,type,extruder,type,mother baby,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
750 kg/hr gold refining machine,3,2,capacity,750 kg/hr,capacity,750 kg/hr,refining material,gold,usage,gold refining,type,refining machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750 kg/hr manual silver refining plant,2,4,automation grade,manual,capacity,750 kg/hr,capacity,750 kg/hr,material,silver,,,operation,manual,,,type,refining,,,,,,,,,,,,,,,,,,,,,,,,
