query,qmeans_attr_count,gemini_attr_count,qmeans_attr_key_1,qmeans_attr_value_1,gemini_attr_key_1,gemini_attr_value_1,qmeans_attr_key_2,qmeans_attr_value_2,gemini_attr_key_2,gemini_attr_value_2,qmeans_attr_key_3,qmeans_attr_value_3,gemini_attr_key_3,gemini_attr_value_3,qmeans_attr_key_4,qmeans_attr_value_4,gemini_attr_key_4,gemini_attr_value_4,qmeans_attr_key_5,qmeans_attr_value_5,gemini_attr_key_5,gemini_attr_value_5,qmeans_attr_key_6,qmeans_attr_value_6,gemini_attr_key_6,gemini_attr_value_6,qmeans_attr_key_7,qmeans_attr_value_7,gemini_attr_key_7,gemini_attr_value_7,qmeans_attr_key_8,qmeans_attr_value_8,gemini_attr_key_8,gemini_attr_value_8,qmeans_attr_key_9,qmeans_attr_value_9,gemini_attr_key_9,gemini_attr_value_9
10 kg/hr ldpe blown film machine,2,2,capacity,10 kg/hr,plastic processed,ldpe,material,ldpe,production capacity,"""10 kg/hr",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 kg/hr twin screw extruder,1,2,capacity,10 kg/hr,production capacity,"""10 kg/hr",,,screw design,twin screw,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 ton manual solid phase extraction system,3,0,automation grade,manual,,,capacity,10 ton,,,product,solid phase extraction,,,,,,,,,,,,,,,,,,,,,,,,,,
10 ton metal refining plant cast iron body,3,0,capacity,10 ton,,,material,cast iron,,,usage,metal refining plant,,,,,,,,,,,,,,,,,,,,,,,,,,
10 ton monolayer extruder ss 304 body,3,4,capacity,10 ton,body material,body material,material grade,ss 304,layer,monolayer,type,extruder,material grade,ss 304,,,weight,"""10 ton",,,,,,,,,,,,,,,,,,,,
10 tpd 1 phase conical twin screw extruder,3,4,capacity,10 tpd,capacity,"""10 tpd",phase,1 phase,phase,1 phase,shape,conical,screw design,conical,,,screw design,twin screw,,,,,,,,,,,,,,,,,,,,
10 tpd automatic plastic recycling extruder,4,3,automation grade,automatic,automation grade,automatic,capacity,10 tpd,capacity,10 tpd,type,extruder,material to be extruded,plastic,usage,plastic recycling,,,,,,,,,,,,,,,,,,,,,,
10 tpd fully automatic silver refinery machine,3,2,automation grade,automatic,automation grade,fully automatic,capacity,10 tpd,capacity,"""10 tpd",usage,silver refinery,,,,,,,,,,,,,,,,,,,,,,,,,,
10 tpd pvc extruder cast iron body,2,3,capacity,10 tpd,body material,cast iron,material,cast iron,capacity,"""10 tpd",,,plastic processed,pvc,,,,,,,,,,,,,,,,,,,,,,,,
100 kg 3 phase hdpe extruder,4,3,capacity,100 kg,capacity(kg),"""100 kg",material,hdpe,material to be extruded,hdpe,phase,3 phase,phase,three phase,type,extruder,,,,,,,,,,,,,,,,,,,,,,
100 kg 3 phase liquid extraction system,3,2,capacity,100 kg,capacity(kg),"""100 kg",phase,3 phase,phase,three phase,product,liquid extraction system,,,,,,,,,,,,,,,,,,,,,,,,,,
100 kg manual conical twin screw extruder,4,4,automation grade,manual,automation grade,manual,capacity,100 kg,capacity(kg),"""100 kg",shape,conical,screw design,conical,type,screw extruder,screw design,twin screw,,,,,,,,,,,,,,,,,,,,
100 kg single phase centrifuge extractor,3,2,capacity,100 kg,capacity(kg),"""100 kg",phase,single phase,phase,single phase,product,centrifuge extractor,,,,,,,,,,,,,,,,,,,,,,,,,,
100 kg/hr manual conical twin screw extruder 480 v 3 phase ss 304 body,5,8,automation grade,manual,automation grade,manual,capacity,100 kg/hr,machine body material,ss 304,machine type,twin screw extruder,material grade,ss 304,phase,3 phase,phase,three phase,voltage,480 v,production capacity,"""100 kg/hr",,,screw design,conical,,,screw design,twin screw,,,voltage,480 v,,,,
100 liter 1 phase centrifuge extractor,3,2,capacity,100 liter,capacity(litre),"""100 l",phase,1 phase,phase,1 phase,product,centrifuge extractor,,,,,,,,,,,,,,,,,,,,,,,,,,
100 liter pvc extruder,3,0,capacity,100 liter,,,material,pvc,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
100 ton semi-automatic multi layer extruder,4,3,automation grade,semi-automatic,automation grade,semi-automatic,capacity,100 ton,capacity,"""100 tpd",layer,multi layer,layer,multilayer,type,extruder,,,,,,,,,,,,,,,,,,,,,,
100 tpd double die extruder,3,2,capacity,100 tpd,capacity,100 tpd,number of dies,double die,screw design,twin screw,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
100 tpd fully automatic hdpe extruder 400 v 3 phase ss body,6,6,automation grade,automatic,automation grade,fully automatic,capacity,100 tpd,body material,ss,material,hdpe,capacity,"""100 tpd",phase,3 phase,material to be extruded,hdpe,type,extruder,phase,three phase,voltage,400 v,voltage,400 v,,,,,,,,,,,,
100 tpd fully automatic plastic extruder,3,3,automation grade,automatic,automation grade,fully automatic,capacity,100 tpd,capacity,"""100 tpd",type,extruder,material to be extruded,plastic,,,,,,,,,,,,,,,,,,,,,,,,
100 tpd sheet extruder cast iron body,2,2,capacity,100 tpd,body material,cast iron,material,cast iron,capacity,"""100 tpd",,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 tpd single phase gold refinery plant,2,2,capacity,100 tpd,capacity,"""100 tpd",phase,single phase,phase,single phase,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 tpd three phase pet extruder,3,3,capacity,100 tpd,capacity,"""100 tpd",phase,three phase,material to be extruded,pet,type,extruder,phase,three phase,,,,,,,,,,,,,,,,,,,,,,,,
1000 kg/hr 1 phase oil extraction plant,2,2,capacity,1000 kg/hr,phase,1 phase,phase,1 phase,production capacity,"""1000 kg/hr",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000 kg/hr automatic pet extruder 400 v three phase titanium body,6,5,automation grade,automatic,automation grade,automatic,capacity,1000 kg/hr,body material,pp,material,titanium,phase,three phase,phase,three phase,production capacity,"""1000 kg/hr",type,extruder,voltage,400 v,voltage,400 v,,,,,,,,,,,,,,
1000 kg/hr fully automatic pvc pipe extruder,4,6,automation grade,automatic,automation grade,fully automatic,capacity,1000 kg/hr,plastic processed,pvc,material,pvc,plastic processed,extruder,type,extruder,power source,electric,,,production capacity,"""1000 kg/hr",,,type,pipe extruder,,,,,,,,,,,,
1000 liter 3 phase epe foam extruder,3,2,capacity,1000 liter,capacity(litre),1000,phase,3 phase,phase,"""3 phase",type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
1000 liter automatic lab extruder,4,0,automation grade,automatic,,,capacity,1000 liter,,,type,extruder,,,usage,lab,,,,,,,,,,,,,,,,,,,,,,
1000 liter fully automatic lab extruder,4,2,automation grade,automatic,automation grade,fully automatic,capacity,1000 liter,capacity(litre),"""1000 l",type,extruder,,,usage,lab,,,,,,,,,,,,,,,,,,,,,,
1000 liter solid phase extraction system pp body,2,2,capacity,1000 liter,body material,pp,material,pp,capacity(litre),"""1000 l",,,,,,,,,,,,,,,,,,,,,,,,,,,,
150 kg/hr curcumin extraction plant,1,1,capacity,150 kg/hr,production capacity,150 kg/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 kg curcumin extraction plant pvc body,2,2,capacity,20 kg,body material,pvc,material,pvc,capacity(kg),"""20 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 kg ldpe blown film machine mild steel body,3,3,capacity,20 kg,body material,mild steel,material,mild steel,capacity(kg),"""20 kg",usage,ldpe blown film machine,plastic processed,ldpe,,,,,,,,,,,,,,,,,,,,,,,,
20 kg single phase oleoresin extraction plant,3,2,capacity,20 kg,capacity(kg),"""20 kg",phase,single phase,phase,single phase,product,oleoresin extraction plant,,,,,,,,,,,,,,,,,,,,,,,,,,
20 tpd manual blown film extrusion machine,2,3,capacity,20 tpd,automation grade,manual,machine type,manual,capacity,"""20 tpd",,,machine type,blown film extrusion machine,,,,,,,,,,,,,,,,,,,,,,,,
20 tpd pipe extrusion machine,2,2,capacity,20 tpd,capacity,20 tpd,machine type,pipe extrusion,type,pipe extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 tpd pvc extruder,3,2,capacity,20 tpd,capacity,20 tpd,material,pvc,plastic processed,pvc,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
20 tpd semi-automatic gold refinery plant,2,2,automation grade,semi-automatic,automation grade,semi automatic,capacity,20 tpd,capacity,"""20 tpd",,,,,,,,,,,,,,,,,,,,,,,,,,,,
200 kg 1 phase aluminium extrusion plant,3,2,capacity,200 kg,capacity,200 kg,machine type,extrusion,phase,"""1 phase",phase,1 phase,,,,,,,,,,,,,,,,,,,,,,,,,,
200 kg jockey extruder,3,0,brand,jockey,,,capacity,200 kg,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
200 kg single phase double die extruder,4,0,number of dies,double die,,,phase,single phase,,,type,extruder,,,weight,200 kg,,,,,,,,,,,,,,,,,,,,,,
200 kg/hr automatic oleoresin extraction plant,3,2,automation grade,automatic,automation grade,automatic,capacity,200 kg/hr,production capacity,"""200 kg/hr",product,oleoresin extraction plant,,,,,,,,,,,,,,,,,,,,,,,,,,
200 kg/hr oil extraction plant,1,1,capacity,200 kg/hr,production capacity,200 kg/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200 kg/hr pvc pipe extruder stainless steel body,2,4,capacity,200 kg/hr,body material,stainless steel,material,stainless steel,plastic processed,pvc,,,production capacity,"""200 kg/hr",,,type,pipe extruder,,,,,,,,,,,,,,,,,,,,
200 kg/hr semi-automatic xlpe cable extruder 480 v 3 phase aluminium body,5,6,automation grade,semi-automatic,automation grade,semi-automatic,capacity,200 kg/hr,material,aluminium,material,aluminium,material to be extruded,xlpe,phase,3 phase,phase,three phase,voltage,480 v,production capacity,"""200 kg/hr",,,voltage,480 v,,,,,,,,,,,,
200 kg/hr single phase conical twin screw extruder,3,5,capacity,200 kg/hr,phase,single phase,phase,single phase,production capacity,"""200 kg/hr",shape,conical,screw design,conical,,,screw design,twin screw,,,type,extruder,,,,,,,,,,,,,,,,
200 liter aluminium extrusion plant ms body,3,3,capacity,200 liter,body material,ms,material,ms,capacity(litre),"""200 l",usage,aluminium extrusion plant,usage/application,aluminium extrusion,,,,,,,,,,,,,,,,,,,,,,,,
200 liter gold refinery plant,3,1,capacity,200 liter,capacity(litre),"""200 l",type,refinery plant,,,usage,gold,,,,,,,,,,,,,,,,,,,,,,,,,,
200 liter semi-automatic lab extruder 380 v 3 phase pp body,7,5,automation grade,semi-automatic,automation grade,semi-automatic,capacity,200 liter,body material,pp,material,pp,capacity(litre),"""200 l",phase,3 phase,phase,three phase,type,extruder,voltage,380 v,usage,lab,,,voltage,380 v,,,,,,,,,,
200 liter semi-automatic sheet extruder,3,3,automation grade,semi-automatic,automation grade,semi-automatic,capacity,200 liter,capacity(litre),"""200 l",type,extruder,output shape,sheet,,,,,,,,,,,,,,,,,,,,,,,,
200 tpd 3 phase epe foam extruder,4,2,capacity,200 tpd,capacity,200 tpd,material,epe,phase,"""3 phase",phase,3 phase,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,
200 tpd 3 phase ldpe blown film machine,3,2,capacity,200 tpd,capacity,200 tpd,material,ldpe,phase,"""3 phase",phase,3 phase,,,,,,,,,,,,,,,,,,,,,,,,,,
25 kg cable extruder ss body,3,2,capacity,25 kg,body material,ss,material,ss,weight,"""25 kg",usage,cable extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
25 kg manual zinc recovery unit 415 v 1 phase hdpe body,6,5,automation grade,manual,automation grade,manual,capacity,25 kg,body material,hdpe,material,hdpe,phase,1 phase,phase,1 phase,voltage,415 v,usage,zinc recovery,weight,"""25 kg",voltage,415 v,,,,,,,,,,,,,,
25 kg three phase solvent extraction plant,3,2,capacity,25 kg,phase,three phase,phase,three phase,weight,"""25 kg",type,solvent extraction plant,,,,,,,,,,,,,,,,,,,,,,,,,,
25 kg/hr automatic jockey extruder,3,0,brand,jockey,,,capacity,25 kg/hr,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
250 kg/hr 1 phase epe foam extruder,3,2,capacity,250 kg/hr,phase,1 phase,phase,1 phase,production capacity,"""250 kg/hr",type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
250 kg/hr 3 phase herbal extraction plant,3,3,capacity,250 kg/hr,phase,three phase,phase,3 phase,production capacity,"""250 kg/hr",product,herbal extraction plant,usage/application,herbal extraction,,,,,,,,,,,,,,,,,,,,,,,,
250 kg/hr extruder machine cast iron body,3,2,capacity,250 kg/hr,body material,cast iron,material,cast iron,production capacity,"""250 kg/hr",usage,extruder machine,,,,,,,,,,,,,,,,,,,,,,,,,,
250 kg/hr manual twin screw extruder 220 v 1 phase ms body,6,6,automation grade,manual,automation grade,manual,capacity,250 kg/hr,body material,ms,machine type,twin screw extruder,phase,1 phase,material,ms,production capacity,"""250 kg/hr",phase,1 phase,type of extruder,twin screw,voltage,220 v,voltage,220 v,,,,,,,,,,,,
30 kg 1 phase hdpe extruder,4,3,capacity,30 kg,capacity(kg),"""30 kg",material,hdpe,material to be extruded,hdpe,phase,1 phase,phase,1 phase,type,extruder,,,,,,,,,,,,,,,,,,,,,,
30 kg automatic metal refining plant 380 v 1 phase hdpe body,6,7,automation grade,automatic,automation grade,automatic,capacity,30 kg,body material,body material,material,hdpe,capacity(kg),"""30 kg",phase,1 phase,material,hdpe,usage,metal refining,material to be extruded,metal,voltage,380 v,phase,1 phase,,,voltage,380 v,,,,,,,,
30 kg fully automatic conical twin screw extruder,3,4,automation grade,automatic,automation grade,fully automatic,capacity,30 kg,capacity(kg),"""30 kg",shape,conical,screw design,conical,,,screw design,twin screw,,,,,,,,,,,,,,,,,,,,
30 kg metal refining plant ss 304 body,2,4,capacity,30 kg,capacity(kg),"""30 kg",usage,metal refining,machine body material,ss 304,,,material grade,ss 304,,,metal,metal,,,,,,,,,,,,,,,,,,,,
30 kg monolayer extruder titanium body,2,3,capacity,30 kg,body material,titanium,material,titanium,capacity(kg),"""30 kg",,,layer,monolayer,,,,,,,,,,,,,,,,,,,,,,,,
30 kg semi-automatic hydro extractor 230 v single phase hdpe body,6,5,automation grade,semi-automatic,automation grade,semi-automatic,capacity,30 kg,body material,hdpe,material,hdpe,capacity(kg),"""30 kg",phase,single phase,phase,single phase,product,hydro extractor,voltage,230 v,voltage,230 v,,,,,,,,,,,,,,
300 kg/hr manual copper extraction plant 380 v 1 phase pvc body,6,6,automation grade,manual,automation grade,manual,capacity,300 kg/hr,body material,pvc,material,pvc,material to be extruded,copper,phase,1 phase,phase,1 phase,usage,copper extraction,production capacity,"""300 kg/hr",voltage,380 v,voltage,380 v,,,,,,,,,,,,
300 kg/hr monolayer extruder,2,2,capacity,300 kg/hr,layer,monolayer,type,extruder,production capacity,"""300 kg/hr",,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 kg/hr semi-automatic epe foam extruder,4,3,automation grade,semi-automatic,automation grade,semi-automatic,capacity,300 kg/hr,extruder,extruder,material,epe,production capacity,"""300 kg/hr",type,extruder,,,,,,,,,,,,,,,,,,,,,,
300 kg/hr semi-automatic pvc extruder,4,3,automation grade,semi-automatic,automation grade,semi-automatic,capacity,300 kg/hr,plastic processed,pvc,material,pvc,production capacity,"""300 kg/hr",type,extruder,,,,,,,,,,,,,,,,,,,,,,
5 kg 1 phase curcumin extraction plant,2,2,capacity,5 kg,capacity(kg),"""5 kg",phase,1 phase,phase,1 phase,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 kg three phase curcumin extraction plant,2,2,capacity,5 kg,capacity(kg),"""5 kg",phase,three phase,phase,three phase,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 kg/hr curcumin extraction plant ms body,2,2,capacity,5 kg/hr,body material,ms,material,ms,production capacity,"""5 kg/hr",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 kg/hr three phase oleoresin extraction plant,3,2,capacity,5 kg/hr,phase,"""three phase",phase,three phase,production capacity,5 kg/hr,product,oleoresin extraction plant,,,,,,,,,,,,,,,,,,,,,,,,,,
5 ton manual plastic extruder 230 v 1 phase cast iron body,4,6,capacity,5 ton,automation grade,manual,material,cast iron,body material,cast iron,phase,1 phase,material to be extruded,plastic,voltage,230 v,phase,1 phase,,,voltage,230 v,,,weight,"""5 ton",,,,,,,,,,,,
5 ton three phase film extrusion machine,2,2,clamping force,5 ton,phase,"""three phase",phase,three phase,weight,5 ton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 tpd mother baby extruder ss body,3,3,capacity,5 tpd,body material,ss,material,ss,capacity,"""5 tpd",type,extruder,type,mother baby extruder,,,,,,,,,,,,,,,,,,,,,,,,
5 tpd semi-automatic oil extraction plant 415 v single phase titanium body,6,5,capacity,5 tpd,automation grade,semi-automatic,material,titanium,body material,titanium,operation type,semi-automatic,capacity,"""5 tpd",phase,single phase,phase,single phase,usage,oil extraction,voltage,415 v,voltage,415 v,,,,,,,,,,,,,,
5 tpd xlpe cable extruder hdpe body,3,2,capacity,5 tpd,body material,hdpe,material,xlpe,capacity,"""5 tpd",usage,cable extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
50 kg 1 phase basket extruder,3,2,capacity,50 kg,capacity(kg),"""50 kg",phase,1 phase,phase,1 phase,type,basket extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
50 kg semi-automatic double die extruder 220 v 1 phase ms body,5,5,automation grade,semi-automatic,automation grade,semi-automatic,material,ms,body material,ms,phase,1 phase,capacity(kg),"""50 kg",type,extruder,phase,1 phase,voltage,220 v,voltage,220 v,,,,,,,,,,,,,,,,
50 kg semi-automatic hydro extractor,3,2,automation grade,semi-automatic,automation grade,semi automatic,capacity,50 kg,capacity(kg),"""50 kg",product,hydro extractor,,,,,,,,,,,,,,,,,,,,,,,,,,
50 kg three phase solvent extraction plant,3,2,capacity,50 kg,capacity(kg),"""50 kg",phase,three phase,phase,three phase,type,solvent extraction plant,,,,,,,,,,,,,,,,,,,,,,,,,,
50 kg/hr 3 phase conical twin screw extruder,4,4,capacity,50 kg/hr,phase,three phase,phase,3 phase,production capacity,"""50 kg/hr",shape,conical,screw design,conical,type,twin screw extruder,screw design,twin screw,,,,,,,,,,,,,,,,,,,,
50 kg/hr fully automatic blown film extrusion machine 440 v 1 phase aluminium body,5,6,capacity,50 kg/hr,automation grade,fully automatic,machine type,automatic,body material,body material,material,aluminium,material,aluminium,phase,1 phase,phase,1 phase,voltage,440 v,production capacity,"""50 kg/hr",,,voltage,440 v,,,,,,,,,,,,
50 kg/hr fully automatic pvc extruder 480 v 1 phase mild steel body,5,5,automation grade,automatic,automation grade,fully automatic,capacity,50 kg/hr,body material,mild steel,material,mild steel,phase,1 phase,phase,1 phase,production capacity,"""50 kg/hr",voltage,480 v,voltage,480 v,,,,,,,,,,,,,,,,
50 kg/hr fully automatic xlpe cable extruder 240 v 3 phase aluminium body,5,6,automation grade,automatic,automation grade,fully automatic,capacity,50 kg/hr,body material,body material,material,aluminium,material,aluminium,phase,3 phase,phase,three phase,voltage,240 v,production capacity,"""50 kg/hr",,,voltage,240 v,,,,,,,,,,,,
50 kg/hr three phase solvent extraction plant,3,2,capacity,50 kg/hr,phase,three phase,phase,three phase,production capacity,"""50 kg/hr",type,solvent extraction plant,,,,,,,,,,,,,,,,,,,,,,,,,,
50 ton plastic recycling extruder,3,0,capacity,50 ton,,,type,extruder,,,usage,plastic recycling,,,,,,,,,,,,,,,,,,,,,,,,,,
50 tpd herbal extraction plant pp body,3,2,capacity,50 tpd,body material,pp,material,pp,capacity,"""50 tpd",usage,herbal extraction,,,,,,,,,,,,,,,,,,,,,,,,,,
500 kg aluminium extrusion plant ms body,3,3,capacity,500 kg,body material,ms,material,ms,material to be extruded,aluminium,usage,aluminium extrusion plant,weight,"""500 kg",,,,,,,,,,,,,,,,,,,,,,,,
500 kg/hr hdpe extruder cast iron body,2,3,capacity,500 kg/hr,body material,cast iron,material,cast iron,material to be extruded,hdpe,,,production capacity,"""500 kg/hr",,,,,,,,,,,,,,,,,,,,,,,,
500 kg/hr metal refining plant,2,2,capacity,500 kg/hr,material to be extruded,metal,usage,metal refining,production capacity,500 kg/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 kg/hr metal refining plant,2,2,capacity,500 kg/hr,material to be extruded,metal,usage,metal refining,production capacity,500 kg/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 kg/hr metal refining plant,2,2,capacity,500 kg/hr,material to be extruded,metal,usage,metal refining,production capacity,500 kg/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 kg/hr metal refining plant,2,2,capacity,500 kg/hr,material to be extruded,metal,usage,metal refining,production capacity,500 kg/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 kg/hr pp extruder,3,2,capacity,500 kg/hr,material to be extruded,pp,material,pp,production capacity,"""500 kg/hr",type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
500 kg/hr wpc extruder pvc body,3,3,capacity,500 kg/hr,body material,ms,material,wpc,plastic processed,pvc,type,extruder,production capacity,"""500 kg/hr",,,,,,,,,,,,,,,,,,,,,,,,
500 liter manual ldpe blown film machine 230 v 3 phase ss 316 body,6,6,capacity,500 liter,automation grade,manual,machine type,manual,body material,ss 316,material,ldpe,capacity(litre),"""500 liter",material grade,ss 316,phase,3 phase,phase,3 phase,plastic processed,ldpe,voltage,230 v,voltage supply,230 v,,,,,,,,,,,,
500 liter semi-automatic tube extrusion machine,2,3,automation grade,semi-automatic,automation grade,semi-automatic,capacity,500 liter,machine type,tube extrusion machine,,,storage capacity,"""500 liter",,,,,,,,,,,,,,,,,,,,,,,,
500 ton monolayer extruder,2,2,capacity,500 ton,capacity,500 ton,type,extruder,layer,monolayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 ton wpc extruder ss 316 body,2,2,capacity,500 ton,body material,ss 316,type,extruder,capacity,"""500 ton",,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 tpd fully automatic basket extruder,3,3,automation grade,automatic,automation grade,fully automatic,capacity,500 tpd,capacity,500 tpd,type,extruder,machine type,basket extruder,,,,,,,,,,,,,,,,,,,,,,,,
500 tpd fully automatic extruder machine 480 v 1 phase pvc body,6,5,automation grade,automatic,automation grade,fully automatic,capacity,500 tpd,body material,pvc,material,pvc,capacity,"""500 tpd",phase,1 phase,phase,1 phase,type,extruder,voltage,480 v,voltage,480 v,,,,,,,,,,,,,,
500 tpd manual epe foam extruder,3,3,automation grade,manual,automation grade,manual,capacity,500 tpd,capacity,500 tpd,material,epe,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
750 kg/hr fully automatic mother baby extruder,3,3,automation grade,automatic,automation grade,fully automatic,capacity,750 kg/hr,machine type,mother baby extruder,type,extruder,production capacity,"""750 kg/hr",,,,,,,,,,,,,,,,,,,,,,,,
750 kg/hr gold refining machine,3,1,capacity,750 kg/hr,production capacity,750 kg/hr,refining material,gold,,,type,refining machine,,,,,,,,,,,,,,,,,,,,,,,,,,
750 kg/hr manual silver refining plant,2,3,automation grade,manual,automation grade,manual,capacity,750 kg/hr,metal,silver,,,production capacity,"""750 kg/hr",,,,,,,,,,,,,,,,,,,,,,,,
750 kg/hr wpc extruder ms body,3,2,capacity,750 kg/hr,body material,ms,material,ms,production capacity,"""750 kg/hr",type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
aba blown film machine,1,0,brand,aba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aba blown film machine 15 kw motor 25 kg,3,3,brand,aba,model name/number,"""aba",capacity,25 kg,motor power,15 kw,power,15 kw,weight,25 kg,,,,,,,,,,,,,,,,,,,,,,,,
aba blown film machine 20 hp motor 100 liter,3,4,brand,aba,capacity(litre),100 liter,capacity,100 liter,layer,3 layer,motor power,20 hp,model name/number,aba,,,motor power,"""20 hp",,,,,,,,,,,,,,,,,,,,
aba blown film machine 220 v,2,2,brand,aba,model name/number,"""aba",voltage,220 v,voltage,220 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aba blown film machine 380 v 1 phase,2,3,phase,1 phase,phase,1 phase,voltage,380 v,type,3 layer blown film machine,,,voltage,"""380 v",,,,,,,,,,,,,,,,,,,,,,,,
"aba blown film machine for wire & cable use, 50 ton, 220 v, turbo brand",1,5,brand,turbo,brand,turbo,,,capacity,50 ton,,,model name/number,"""aba",,,usage/application,wire & cable,,,voltage,220 v,,,,,,,,,,,,,,,,
aluminium body basket extruder with 50 tpd capacity and 415 v voltage,4,3,capacity,50 tpd,capacity,50 tpd,material,aluminium,material,aluminium,type,extruder,voltage,"""415 v",voltage,415 v,,,,,,,,,,,,,,,,,,,,,,
aluminium body co-rotating twin screw extruder with 100 tpd capacity and 220 v voltage,3,4,capacity,100 tpd,capacity,100 tpd,material,aluminium,material,"""aluminium",voltage,220 v,screw design,co rotating,,,voltage,220 v,,,,,,,,,,,,,,,,,,,,
