Key,Value
Usage/Application,Conveyors
Step Angle,1.8 Degree
Impact Energy,300 Bar
Brand,Saita
Horsepower,1.5 HP
Speed,1000 rpm
Voltage,210 V
Type Of Solenoid,Rotary Solenoid
Voltage,280 - 415  V
Unit Type,Split
Pressure,Medium Pressure
Horsepower,0.33 HP
No. of Poles,6
Horsepower,2 HP
Voltage,240 V
No Of Phase,Three Phase
Brand,Shree KrushiRaj
Rated Current,63A
Operation Mode,Automatic
Battery Voltage,12 V
No.Of Poles,2 Pole
Pressure,2 Bar
Country of Origin,Made in India
Horsepower,0-100 HP
Power,0-100 KW
Number Of Stages,Multi Stage Pump
Horse Power,5 HP
Type,DC Motor Carbon Brush
Type,Aluminium
Valve Motion,Linear Motion Valve
Max Temperature,1-5 HP
Weight Capacity,400 Kg
Weightlifting Capacity,300 Kg
Rated Speed,1000 RPM
Material,Glass Grinding Edging Machine Motor
Production Capacity,5 kg/hr
Usage,Angle Grinder
Number of Poles,2
Type,Power Tool Carbon Brush
Type of  Spare Part,Slip Ring
Neck Size,> 30 mm
Weight Capacity,Vary for each variety of side remote motor chosen.
Motor Type,AC
Horsepower,0-50 HP
Current,2 A
Material,PLASTIC HD
Diameter,15 mm
Size,18 inch
Usage/Applications,Automotive Industry
Power,0-50 KW
Speed,Upto 1500 RPM
Encoder Type,Incremental
Torque,15.0 kg-cm
Valve Motion Type,Rotary Motion
Number of Poles,4
Control Method,V/F Control
Load Capacity,550 Kg
Type,Aluminium And Copper
Power,1.5 W
Part Type,Motor
Motor Type,DC
Control Method,Manual
Type,Induction Motors
Load Capacity,280 Kg
Motion Type,Linear
Power,0-15 KW
Size,3 mm
Drilling Diameter,10 mm
Rated Speed,1440 RPM
Type,Hybrid Stepper Motor
Type,DC
Grade,Carbon Graphite
Power,550W
Wattage,10-100 KW
Rated Speed,2500 RPM
Valve Motion Type,Linear Motion
Power,1 W
Material of construction,High graded Aluminium
Power,105 W
Type Of Motor,DC
Speed,1200 RPM
Application,Drone
Diameter,35 mm
Speed,60 rpm
Usage,Generators
Mounting Type,Foot  Mounting And rotry
Brand,Simense
Brand,Tosiba
Type,Hydraulic Motor
Motor Voltage,220 B
Power,Electric
Brand,Godrej
Voltage,400 V
Motor Part Type,Cover or Frame
Brand,Top Gear
Model Name/Number,ATS48C11Q
Horsepower,0.75 HP
Usage/Application,Agriculture
Motor Power,10 HP
Phase,3Phase
Power,25W
Horsepower,3 HP
Mounting Type,Foot
Pressure,Electromagnetic
Brand,Garzia
Usage/Application,cut off machine
Rated Power,1.5 HP
Power,50-70W
Horsepower,0.5 HP
Brand,Asspice
Model Name/Number,AXN30
Voltage,12V / 24V
Brand,NBE
Horsepower,10 HP
Voltage,200-240VAC
Brand,Tufflam
Material,Aluminum Dia Casting
Input Current,4-20mA DC
Input Pressure,1.4-7 bar
Unit Type,Central
Step Angle,0.9 Degree
Speed,<2000 RPM
Voltage,60 V
Brand,Weg
Power,0.75kW
No. of Poles,2 Pole
Material,Carbon
Type of Motor,DC Motor
Type,Fan Motor
Speed,1330 RPM
Rated Power,0.5 HP
Horsepower,0.25 HP
Speed,1500 & 3000
Brand,marathon
Type Of Parts,Motor
Power,48W-70W
Voltage,Dc
Automation Grade,Semi-Automatic
Speed (Rpm),60
Phase,SINGAL
Brand,Hindustan Electric motor
Voltage,24
Rated Power,0.25-25 hp
Model Name/Number,MCD 600
Horsepower,15 HP
Rated Power,2hp
Power Rating,2.9ampere
IP Rating,IP22
Rated Power,20hp
Brand,Bharat Bijlee
Ambient Temperature,-20 to 45degree Celsius
Mounting Type,Foot Mount
Mounting Type,Flange Mount
Rated Power,3kW
Brand,Rajdhani
Brand,SGL
Voltage,220/440 V
Brand,VENANZETTI-ITALY
Phase,THREE PHASE & SINGLE
Brand,Power Con
Brand,Dynamic
Input Current,4-20 mA DC
Pole,2
Current,30 amp
Brand,KIRLOSKAR
Speed,12 m/min
Brand,Danfoss
Speed,1440
Usage/Application,Laboratory
Power Supply Voltage,240 V
Brand,SKY
Starter Type,Submersible
Brand,SSE
Input Current,4ma to 20ma
Power,200 Watt
Speed,1500RPM
Brand,KR
Material Type,Carbon
Speed,26000 Rpm
Voltage,230/440 V
Material,ss
Speed,according to variant
Fan Type,Exhaust
Speed,1400 rpm
Voltage,4.8 ~ 6.6V
Type Of Motor,Borewell and openwell
Type,Servo
Phase,Single
Brand,Simel
Power Supply Voltage,30  VDC
Brand,Royal
Usage/Application,Robotics
Power,HYDRAULIC
Horsepower,5 HP
Usage/Application,Industrial/Home/agriculture
Material,Aluminium Casting
Input Current,4-20
Input Pressure,2.5-4 Kg
Size,2 inch
Brand,Akassh
Usage/Application,Fans/Blowers
Voltage,48 V
Power,1500 W
Speed,1001-1500 RPM
Power,AC
Motor Type,Induction Motor
Brand,Roket
Power,0.09 kw to 160kw
Voltage,3.0V to 7.2V
Rated Power,<0.5 hp
Brand,Videocon
Power,High
Motor Voltage,12V
Brand,Hitachi
Type Of Motor,AC Motor
Brand,Intermot
Usage/Application,Refrigerator
Brand,Renjo
Power,0.8HP
Brand,Rian
Brand,HENGSTLER
Color,Black
Rotation,CCW
Speed,14 rpm to 400rpm
Power,15 Hp
Motor Power,1.5 HP
Mounting Type,Screws
Brand,REES52
Speed,36
Mounting,Foot
Pressure,High Pressure
Brand,Visam
Motor Voltage,440v
Usage/Application,Crushers
Motor Voltage,230V
Brand,Bauer
Material Type,Plastic
Power,5hp
Speed,2000-6000 RPM
Voltage,220V-415V
Type,Natural Circulation
Usage/Application,Drill Machine
Usage/Application,Pipe Cutter
Material Type,Copper
Horsepower,25 HP
Brand,Havells
Brand,Pradeep
Brand,PLT
Brand,Krishna
Actuator Type,Linear Actuator
Structure,Uflow
Brand,SAAD
Usage/Application,Commercial
Power,2
Input Voltage,200V
Rated Power,7.5hp
Brand,TRUSTMATIC
Type,Gear motors
Voltage,415
Star Rating,5 Star Inverter
Model Number,FTKM35UV16WC
Power,750W
Usage/Application,Mixer
Model Name/Number,MU-G6
Capacity,5
Brand,SAM
Model Name/Number,NLCS 40400
Brand,pneucon
Power Consumption,300 kg
Model Name/Number,EV24A-SR-TPC
Brand,Belimo
Motor Type,PMDC
Mounting Type,Panel Mount
Brand,Nord Drivesystems
Color,Gray
Motor Part Type,armature
Speed At Rated Load,8.4 in/min
Speed,1450
Usage/Application,Compressors
Power,Up to 30KW
Structure,Ball
Brand,DKM
Power,50 kW
Mounting Type,Surface Mounted
Brand,REXROTH
Power,50W - 7.5kW
Voltage,440 V
Mounting Type,Duct
Brand,MEZ
Structure,Control
Brand,Taiyo
Rated Power,40 hp
Phase,Single/Three
Brand,Triple-D
Diameter,44 mm
Encoder Type,shaft type
Speed,380 RPM
Number of Phase,1
Power Source,dc
Motor Type,BLDC
Mounting,Flange
Mounting Type,Foot mounted
Voltage,15 V
Voltage,36 V
Brand,OMO
Model Name/Number,SMBLS100
Voltage,24 volt dc
Speed,1420 RPM
Type Of Motor,kiln slip ring
Ambient Temperature,-20 t0 50degree  C
Speed,1500
Usage/Application,Water
Brand,YTC
Rated Power,1 HP
Brand,Rossi
Power,0.18 kw to 10 kw
Speed,1640 RPM
Brand,KAWASAKI STAFFA
AC Ton Capacity,1.5 ton
Speed,High
Voltage,24 V DC
Speed,1800 rpm
Number of Poles,2 Poles
Type Of Motor,Three Phase
Resolution,4000 Resolution
Hollow Shaft Diameter,10 mm
Type,Eco Solvent
Phase,1/3 Phase
Power Supply Voltage,5-10V
Power,230VAC
Power,300 KW
Usage/Application,Cooler
Power,0. 37 kW to 25 kW
Material Type,CARBON BRUSH
Length,13 mm
Brand,STANLEY
Usage/Application,Slip Ring
Usage/Application,Motor
Shape,Round
Material Grade,SS202
Usage/Application,POWER & CURRENT TRANSMISSION
Brand,SIENTEK
Switch Type,Key Lock
Usage/Application,Generator
Usage/Application,Auto Scrubber Dryer
Usage/Application,Cleaning
Voltage,220-280 V
Rated Power,0.5-1 hp
Usage/Application,Hydraulic Pipe
Voltage,106V
Brand,Trust Automation
Model Name/Number,150-C3NBD
Usage/Application,SMC Smart Motor Controller
Voltage,220-440V
We Repair,"AC Motor, DC Motor"
Voltage,230-440 V
Voltage,110-240 V
Brand,DCQ
Brand,Covaai Gears
Speed At Rated Load,10mm/second
Power,10 HP
Power,UPTO 2000KW
Motor Part Type,Motor Startor
Brand,Speed Controller Motor
Power Source,AC
Model Name/Number,RCH-1
Power,low to high
No Of Phase,2
Power,300W - 15kW
Power,1 HP TO 12.5 HP
Usage/Application,hydraulic
Voltage,330 V
Current Rating,20 A
Speed,1415 rpm
Voltage,460 / 480 V
Current,15 A
Motor Type,Three Phase Induction Motor
Speed,10000 rpm
Power,10-100 KW
Mounting Type,Floor
Speed At Rated Load,16 in/min
Material,Shaft Earth Brush
Power,0.25HP to 60HP
Speed,200
Motor Type,Brushless DC Motor
Mounting Type,FOOT MOUNTING
Power,90kW
Weight,5kg
Input Pressure,0.14-0.7 mPa
Model Name/Number,NFA-S2
Brand,"FRIEDRICH, Germany"
Speed,1300 rpm
Brand,Rexnord
Phase,2phade /3 Phase
Starter Type,Mobile
Brand,Samarth
Brand,Jencoder
Material,Electrode
Brand,BLACK+DECKER
Material,CARBON BRUSH
Actuator Type,Electric Actuator
Speed,1440 or 2880 RPM
Horsepower,0.27 HP
Color,Orange
Material,Steel
Structure,Damper
Horsepower,100 HP
Power,380 V-600 V
Speed,2500 RPM
Phase Type,Three Phase
Brand,Bentone
Power,101-200 KW
Brand,Power Equipments
No. of Poles,2
Pump Type,water
Usage/Application,Heating Electrode
Material,EG
Brand,BAJAJ TORITO
Brand,HAILING
Power,0.17 kW
Brand,Schneider
No. of Poles,8 Pole
Coil Voltage,480 V
Voltage,120 V
Voltage,210-380 V
Power,0.8kw
Power,1 kw to 160 KW
Speed,1450 RPM
Number of Phase,2
Speed,1350 rpm
Material,Pure Copper
Power (Watts or HP),90 Watt
Phase,single & three phase
Speed,3600 rpm
Weight,25 Kg
Phase,Three-phase
Brand,L&T
Brand,Toshiba
Brand,Altra Power
Power,415
Brand,FARMTECH
Size,20inch(Diameter)
Usage/Application,Fan
Voltage,High
Motor Voltage,240V
Mounting Type,Foot and Flange Mounting
Current,10A
Brand,Kalsi Power
Brand,ALTRA
Stroke Length,3000mm
Current,600A
Mounting,universal
Power,4KW
Voltage,220-240 V
Torque,4.77
Model Name/Number,SAM 2.0
IP Rating,IP23
Speed,10 m/min
Rated Power,2 HP
Voltage,200V
Actuator Type,Pneumatic Actuator
Brand,ANUPAM
Number Of Phase,THREE PHASE AND MORE
Packaging Type,Cartoon
Rated Power,3.7 kW
Brand,ROTEX
Switch Type,Vertical
Brand,Paras
Brand,CBC
Material,Carbographite
Voltage,480V
Usage/Application,Power Tools
Voltage,"415, 220V"
Battery Type,lead acid or lithium iron
Usage/Application,Starter Motor
Model Name/Number,NEMA23
Brand,Lenze
Type,Externally Excited
Model No.,JD57STH80
Stroke Length,1
Power,Electrical
Battery Current,8 AH
Brand,Ronak
Brand,M+S
Voltage,3~12 V
Power,15hp
Rated Power,3.45kW
Speed,1400
Input Phase,1 - Phase
Power,From 0.18 to 3.7 KW
Brand,Kera
Phase,1
Voltage,43
Material,Industrial Grade Plastic
Brand,Techno
Usage/Application,Electromechanical System
Usage/Application,Industry
Speed (Rpm),2200
Usage/Application,Sliding Gate
Usage/Application,Factory
Starter Type,Star Delta Starter
Input Phase,Single Phase
Voltage,240
Usage/Application,Treadmill Motor
Usage/Application,Motors
Port Size,2 inch
Material,ABS
Usage/Application,AP Fan
Model Name/Number,BOI/BO(W)/BO(R)
Speed,900 rpm
Type,PMDC
Brand,Hydac
Termination Method,STUD
Material Type,DMC WITH BRASS STUD
Power,1hp
Brand,Cantoni
Material,Gun Metal
Brand,Rotomotive
Usage/Application,HVAC Systems
Brand,Jinhulong
Material Type,HDPE
Voltage,380 V
Mounting Type,Foot/Flange
Speed,4000 RPM
Model Name/Number,GT2205
Brand,Hobbywing
Voltage,11.1V
Brand,Amrut
Capacity,2hp
Design,R T K Germany
Speed,60
Weight,4.5 kg
Usage/Application,Automotive Industry
Rated Power,0.25HP to 500HP
Usage/Application,outdoor motor
Brand,PICL
Phase,One Or Three Phase
Speed,1360 RPM
Voltage,0.6 A @10V
Model Name/Number,SM57BL(S)45
Model Name/Number,SM42BLS81
Brand,Emax
Voltage,480 VAC
Rated Power,5hp
Power,0.5hp
Brand,Cimme
Power,1.75kW
Speed,2905 RPM
Speed,338 RPM
Voltage,9V - 15V
Type Of Motor,Y2 series
Horsepower,0.13 HP
Speed,15000 rpm
Current,40 A
Speed,1500 & 960
Voltage,220 VAC
Brand,Aira
Usage/Application,Finishing
Power,1000-3000w
Model Name/Number,CS-M234120
Speed,18000 rpm
Speed,1440RPM
Power,360 Watt
Operating Voltage,300V - 415 V  AC
Power,2000 watts
Usage/Application,Heavy Duty Industrial Pump
Brand,Dowty
Input Current,2 Amp
Usage/Application,Personal
Power Consumption(Watt),250 Watt
Brand,Tissin
Material Type,Metal
Usage/Application,Vacuum Cleaner Motor
Phase Type,Single or three phase
Material,Aluminium Diecasting
Motor Voltage,220V
Model Name/Number,HC KFS73 S33
Voltage,12/24V DC
Packaging Type,Box
Material,Etp Copper
Horsepower,50 HP
Voltage,72 V
Power,3680 kW
Voltage,690 Volts
Power,290 kW
Voltage,6600 Volts
Power,750 kW
Voltage,11000 Volts
Power,315 kW
Speed,40 RPM
Motor Type,Shunt Motors
Motor Type,Stepper Motor
Power Source,90 W
Speed,8 RPM TO 500 RPM
Speed,150 RPM
Power,250W
Brand,RMCS
Speed,30 RPM
Speed,1500 TO 3000RPM
Brand,Dynaflux
Motor Type,DC Motor
Speed,200 RPM
Power Source,Electric
Power Source,Electrical
Type,Stepper Motor
Model Name/Number,RS775
Speed,10 RPM
Power Source,Battery
Motor Type,Shunt Motor
Motor Type,Spring Charging
Brand,Delco
Brand,Festo
Type,EMMS-ST stepper motor
Brand,Leadshine
Motor Type,nema
Brand,NEMA
Model Number,23HS7628
Brand,Ametek
Brand,HSD
Model Name/Number,CEC-V0034A
Model Name/Number,LK1386
Brand,Lawkim
Brand,Probots
Brand,Nidec
Speed,1500 or 3000 rpm
Speed,48000
Motor Type,Coreless
Model Name/Number,LK3199
Power,10HP
Brand,ROTOMAG
Model Name/Number,LIVI 6/24N/F
Brand,DEA
Brand,RADHE
Model Name/Number,12V Solenoid 0.5kg
Model Name/Number,MG995
Motor Type,Metal Gear Servo Motor
Motor Type,BO
Model Name/Number,150 RPM Double Shaft Straight BO Motor
Speed,4200
Power,1.25
Model Name/Number,S3003
Brand,Continental
Model Name/Number,Leadshine CM Series - 57CM06 NEMA 23
Power Source,12V
Motor Type,DC Shunt Motor
Speed,300RPM
Model Name/Number,300 RPM L type single shaft BO Motor
Motor Type,STEPPER
Motor Type,SHUNT
Motor Type,Spring Charging Motor
Brand,Microtech
Model Name/Number,XING2 1404 3800Kv Toothpick Ultralight Build (unibell)
Brand,Electronic Spices
Motor Type,555
Material Type,Aluminium
Performance,410 W
Tension,24 V
Model Name/Number,741 E Z16
Power,8HP
Color,SIlver
Voltage,"230 , 110 V AC"
Brand,Mercotac
Usage/Application,Air Cooler
Usage/Application,Industries
Temperature Range,30 Deg C
Switch Type,Push
Horsepower,20 HP
Usage/Application,For Vacuum Cleaner
Phase,Gear motor
Valve Size,1.5 Inch
Type Of Motor,Single Phase Motor
Brand,FUJI
Current,12 A
Phase Type,single
Diameter,"24"""
Weight,20kg
Model Name/Number,260231001
Usage/Application,Pumping
Ambient Temperature,45degree Celsius
Brand,Welson
Voltage,400-440V
Blade Material,Plastic
Mounting Type,4 bolt
Type Of Motor,FLAME PROOF MOTOR
Voltage,120V
Usage/Application,Table Fan
Type,Pneumatic Bellow
Model Name/Number,3TW72911A.64
Model Name/Number,TG0335HW030AAA5
Power,40 hp
Motor Type,SYN3
Speed,10000-rpm
Rated Power,0.75 HP
Voltage,220 to 415 V
Voltage,4 V
Motor Part Type,Commutator
Application,motor
Horsepower,7.5 HP
Power,915 kw
Power,275 kW
Model Name/Number,my6812
Model Name/Number,SIMOTICS-CAST IRON SERIES 1LE7 - IE3
Motor Type,DC Electric Motors
Speed,14000 rpm
Motor Type,PMR5
Power Source,D c motor
Brand,Qsd
Brand,Robocraze
Motor Type,DC BO Motor
Model Number,Nema-17
Type,BO
Model Name/Number,BO Motor
Motor Type,Spindle Motor
Usage/Application,Textile Industry
Motor Type,Brushless BLDC Motor
Motor Type,DC Toy Motor
Model Name/Number,5V UNIPOLAR
Torque,20kg/cm
Model Name/Number,EC4750
Model Name/Number,LK1326
Model Name/Number,LK1350
Brand,EARTH
Power Source,12w
Model Name/Number,30 RPM RS-50 High Torque Side Shaft DC
Motor Type,Brushless Motor
Speed,80 to 3000 r/min
Model Name/Number,BLH Series
Model Name/Number,10 RPM RS-50 High Torque Side Shaft DC
Power,2 W
Model Name/Number,12V 3500 RPM Base DC Motor
Motor Type,BO MOTOR
Model Name/Number,DC motor
Model Name/Number,Leadshine CM Series - 42CM06-1A NEMA 17
Rated Power,15 HP
Brand,Uflow
Brand,Schneider Electric
Brand,Auma
Brand,Honeywell
No Load Speed,1000 TO 2000 RPM
Brand,Kenwood Valve
Speed,24000 RPM
Brand,HMM
Model Name/Number,AFXUP
Type Of Gate,Automatic
Motor Type,Coreless drone motor
Brand,Natraj Super
Length,50 mm
Peak Force,50 N
Model Name/Number,SS96210POKO
Rated Power,5 HP
Speed At Rated Load,8.9 in/min
Speed,1440 & 960 RPM
Motor Type,Brushless DC Motors
Speed (RPM),1250 RPM
Current,22 Amp
Brand,Moog
Type,Metal Carbon Brush
Model Name/Number,410
Model Name/Number,DU10
Model Name/Number,20180
Width,14 mm
Brand,CG
Voltage,220 and 440 V AC
Brand,JSS
Model Name/Number,ACT 83
Power,1200 Watt
Usage/Application,Shutter
Phase,3
Brand,KOLLMORGEN
Brand,Deepak
Voltage,NII
Power,2.2KW
Body Material,metal
Supply Air Pressure Mpa,4Kg
Starter Type,DOL
Type of Motor,AC
Power,220 V AC
Power (Watts or HP),10 HP
Speed,2880
Suitable For,Motors
Power,PNEUMATIC
Brand,Panasonic AC Servo Motor
Model Name/Number,MSMD022P1S
Input Pressure,3-15PSI
Capacity,1 Ton
Thickness,<0.25 inch
Brand,K Priya
Size,1-16 inch
Motor Brand,Havells
Model Name/Number,GQD321.1A
Motor Type,PMDC Geared Motor
Starter Type,Star Delta
Model Name/Number,MDX60
Usage/Application,Cooling towers
Model Name/Number,HGKN13
Body Material,Mild Steel
Application,Cooler Motor
Model Name/Number,HC-MFS23B
Voltage,440 V AC
Body Material,Cast Iron
Speed,2880-960-1440 RPM
Brand,Werkin
Power,230 V AC
Brand,SIEMCAS
Horse Power,5 HP - 50 HP
Type Of Motor,cooler motor
Power,1000 to 2600 Watts
Brand,Sanyo
Model Name/Number,A2212
Number Of Phase,single
Type,Carbon Brush
Usage/Application,Rolling Shutter
Material,Brass
Model Name/Number,MG995 180 Degree Servo Motor
Brand,ANSAR
Brand,YASKAWA
Brand,JDS
Speed,24000-40000
Brand,Tibcon
Usage/Application,Machine
Model Name/Number,BCH0801O12F1C
Brand,DELTON
Material,Glass
Brand,Autotek
Speed,"1440 RPM,960 RPM"
Model Name/Number,ASD-A2
Speed (Rpm),1500
Power (Watts or HP),550KW
Motor Brand,Weg
Body Enclosure,MS
Model Name/Number,150 RPM 12V Square Gearbox DC motor
Speed,46000 RPM
Model Name/Number,Leadshine DCM50202A
Speed,15000
Model Name/Number,MG996R
Brand,Agni Motor
Speed,3300 RPM
Model Name/Number,63ZYT
Motor Type,WORM GEAR MOTOR
Model Name/Number,Pmdc Motor
Motor Type,Motor Power Steering
Model Name/Number,120706
Brand,Crown Forklift
Pole,4
Speed,20RPM
Motor Type,FHP GEARED MOTOR
Speed,8 to 500rpm
Motor Type,Toy Motor
Brand,ESRDNS
Brand,Synchronous
