"fk_im_spec_master_desc","fk_im_spec_options_desc"
Strength,CBX-S-3-30-45-IV-50-A Maruyasu
Surface Finishing,CBX-S-3-30-45-IV-50-A Maruyasu
Phase,Three Phase
Speed,"1500 rpm"
Mounting Type,Foot
Type of Motor,AC
Voltage,"415 V"
Rated Power,"10 HP"
Power,"1 HP"
Power,"1.5 KW"
Power,"10 KW"
Rated Speed,"1440 RPM"
Power,"0.3 kw to 1000 kw"
Speed,<2000 RPM
Brand,Seipee Spa
Material,"1HP/1440 RPM FOOT/FLANGE"
Brand,BKS
Type,Copper Motor
Power,"10-100 KW"
Voltage,"415 V"
Speed,"2000-6000 RPM"
Voltage,"220 V"
Mounting Type,Foot
Power,"1 to 15Kw"
Brand,"10 hp"
Type,AC
Brand,ABB
Speed,"10001-14000 RPM"
Phase,Single Phase
Speed,"2000-6000 RPM"
Voltage,"380-415V"
Ambient Temperature,"45 Degree celsius"
Mounting Type,B3 / B5 / B35
Power,<10 KW
Brand,"REMI,ELTEK"
Speed,ANY RPM
Voltage,"230 V"
Material,Stainless Steel
Brand,HAVELLS
Phase,Single phase
Voltage,"280 V"
Brand,Tecno
Phase,All
Mounting Type,All
Brand,Simran
Type,Photocell Motor
Color,Black
Ambient Temperature,"85 degree"
Power,"50 KW"
Speed,>14000 RPM
Brand,Kirloskar
Speed,"2000-6000 RPM"
Speed,"760 -2800"
Phase,"Single Phase,Three Phase"
Usage/Application,"Domestic,Industrial,Agriculture"
Voltage,"220V"
Phase,Three Phase
Power,<10 KW
Brand,Gold Star
Power,"0.5 hp to 425 hp"
Phase,three phase
Power,"10-100 KW"
Mounting Type,Foot
Capacity,"Min 5 HP,1440 rpm,720 rpm,960 rpm and 2900 rpm."
Voltage,"240 Volt"
Phase,Three Phase
Voltage,"340V"
Phase,"3 Face"
Voltage,as per your requirment
Phase,"3 Phase"
Usage/Application,Industrial
Speed,"1440 rpm"
Phase,Three Phase
Mounting Type,Foot
Number Of Poles,"4"
Features,Industrial Electric Motor
Shutter Size,Industrial Electric Motor
Finishing,Paint Coated
Frame Size,"180"
Frequency,"50 Hz"
IP Rating,IP45
Automation Grade,Semi Automatic
Application,For Industrial Use
No of Poles,"4"
Number Of Poles,"2"
Surface Treatment,Color Coated
Country of Origin,Made in India
Insulation Class,f class
Color,green
Usage/Application,"Industrial,pharmaceuticals,textile"
Number Of Poles,"6"
Number Of Poles,"2"
Material,Mildsteel
Weight,"500 gm"
Number Of Poles,"4"
Frequency,"50 Hz"
Number Of Poles,"4"
Frame Size,"80"
Gear Ratios,"10:1 to 100:1"
Frequency,"50HZ"
Frame,"80"
Power,"1/10 HP"
I Deal In,Second Hand Only
Number Of Poles,"2"
Rated Power, 10-100 KW
Insulation Type,Class H
Current,"1450 Amp"
Speed,"2880 rpm"
Speed,"2880 rpm"
Speed,"2000-6000 RPM"
Type of Motor,AC
Phase,Three Phase
Size,"15X12X10(LXWXB)"
Material,Mild Steel
Number Of Poles,All
Type of Motor,DC
Type of end use,Industrial
Type of Motor,AC
Type of Motor,AC
Type of Motor,DC
Material of Construction,Steel
Condition,Used
Type of end use,Agricultural
Type of end use,Domestic
Type of Motor,DC
Material,Mild Steel
Condition,Second hand
Frame Size,"71 to 132"
IP Rating,ip 44
Speed,"6001-10000 RPM"
Type of Motor,DC
No. Of Poles,"2"
Is It Customized,Non Customized
No Of Poles,"4"
Temperature Rise,Upto 70 Degree C
Insulation Class,Class F
Power Source,Electric
Voltage,"12 V"
Motor Horse Power,"1 HP"
Voltage,"230V"
Frequency,"45Hz"
IP Rating,IP60
Power,"2HP"
No. Of Phase,single
Power,"5 hp"
Power,"1 hp"
Power,"7.5 KW"
Power,"15 hp"
Power,"2 hp"
Usage/Application,Industrial
Type,AC
Power,"7.5 hp"
Wattage,"10-100 KW"
Power,"2 hp"
Power,"5  hp"
Power,"7.5 hp"
Power,"5  hp"
Power,"5  hp"
Power,"7.5 KW"
Power,"5  hp"
Power,"2 hp"
Power,"5  hp"
Power,"5  hp"
Power,"7.5 hp"
Power,"7.5 hp"
Power,"7.5 hp"
Power,"10 hp"
Phase,Three Phase
Speed,"1500 rpm"
Horsepower,"10 HP"
Speed,"960 rpm"
Type,Three Phase Electric Motor
Speed,"960 rpm"
Features,motor
Type of Motor,AC
Source,Electrical
Power,"5  hp"
Power,"0.55 KW"
Power,"5 HP"
Power,"5  hp"
Power,"5  hp"
Power,"15 hp"
Power,"2 hp"
Power,"7.5 hp"
Power,"5 hp"
Horsepower,"50 HP"
Phase,Single Phase
Voltage,"220 V"
Number Of Poles,"2"
Surface Treatment,Paint Coated
Features,yes
Temperature Degree Celsius,yes
Country of Origin,Made in India
Number Of Poles,"4"
Diameter Mm,"60mm"
Frame Size,frame Q
Number Of Poles,"4"
Frame Size,"100"
Number Of Poles,"4"
Shape,C
Size,"132 frame"
Customized,YES
Number Of Poles,"2"
Material,Mild Steel
Duty,S 4
Automation Grade,Semi Automatic
Frequency (Hertz),"90 Hz"
Color,Blue
Number Of Poles,"2"
Finishing,Color Coated
Shape,Cylindrical
Number Of Poles,"2"
Material,Mild Steel
Surface Treatment,Hot Rolled
I Deal In,New and Second Hand
Number Of Poles,"2"
Bearing Type,Bearing  6306
Number Of Poles,"2"
Number Of Poles,"2"
Frame Size,yes
Automation Grade,yes
Material,Iron
Surface Treatment,Polished
Number Of Poles,"2"
Automation Grade,Automatic
Surface Treatment,Powder Coated
Number Of Poles,"2"
Features,"contamination, moisture, vibration and demanding duty cycles"
Frame Size,A. B. H. D. E. 63. 100 mm. 80 mm.
Number Of Poles,"2"
Automation Grade,Semi- Automatic
Material,Mild Steel
Horse Power,"100hp"
Country of Origin,Made in India
Shape,Round
Bearing Type,Ball bearing
Frame Size,"100m"
Bearing Lubrication,"6205"
Features,"The METRO Induction Motor is a robust and reliable powerhouse designed for continuous industrial and commercial use. Engineered with precision and backed by decades of experience, this motor delivers high efficiency, long operational life, and low maintenance performance in the most demanding environments."
Number Of Poles,"4"
Country of Origin,Made in India
AMC,Yes
Automation Grade,Automatic
Number Of Poles,"2"
DIMESNION AVAILABLE,"83X83X13 , 83X83X20 , 83X83X25 , 83X83X30 , 83X83X40, 83X83X45"
IMPELLER,AVAILABLE
INPUT VOLTAGE,"230V AC"
Power,"7.5 KW"
Voltage,"440 V"
Usage,Industrial
Finish,Color Coated
RPM,"440"
Voltage,"24V DC"
DC Motor Type,"3500"
WATTAGE,"5 TO 34W AVAILABLE"
Usage,For Industrial Use
Color,Olive Green
BEARING,SLEEVE AND BALL
Frame Size,upto 355
Brand,Laxmi
Speed in RPM,"800 RPM"
Power Source,Electric
Horsepower of Motor,"2 hp"
Power (KW),"5 kW"
Type,AC
Power,"0.37 - 315 kW"
Power,"3 HP"
Speed,Standard and Variable
Power,"201-300 KW"
Speed,">300 KW,<500 RPM,500-1000 RPM,1001-1500 RPM,1501-2000 RPM"
Phase,"Single Phase,Three Phase"
IP Rating,IP44
Brand,ABB
Voltage,"230 V"
Power,"24VDC/230VAC"
Phase,Single Phase
Speed,"10001-14000 RPM"
Power,Less than 10 KW or 10 to 100 KW or 101 to 200 KW or 201 to 300 KW or Greater than 300 KW
No of Phase,Single and Three Phase both are available
Speed,>14000 RPM
Type,High and Low Voltage
Mounting,Standard
Automation Grade,A
Usage/Application,Industrial
Power,"10-100 KW"
Brand,Marathon
Brand,"Crompton,Siemens,ABB"
Phase,"3 phase & 1 phase"
Mounting Type,Foot mount
Type,AC
Ambient Temperature,"45 Degree celsius"
Phase,Phase Three
Speed,"2000-6000 RPM"
Brand,EPC
Power,"10-100 KW"
Voltage,"230 V"
Speed,"2000-6000 RPM"
Brand,Havells
Speed,"1500 rpm"
Usage/Application,Industrial
No of Poles,"2 Pole"
IP Rating,IP23
Phase,Three Phase
No. of Poles,"2"
Voltage,"415 V"
Speed,"2000-6000 RPM"
Speed,"1,425 r/min"
Orientation,Horizontal
Type of Motor,AC
Power Source,Electrical
Type of Motor,AC
IP Rating,IP55
Speed,"2000-6000 RPM"
Speed,"10001-14000 RPM"
Material,CAST IRON
Efficiency,IE2
Installation After Sales Service,yes
Material,cast iron
Motor Type,Electric.
Automation Grade,Manual
Brand,BKS
Number Of Poles,"2"
Brand,REMI MAKE
Model Name/Number,RU-56-1G & RU-56-3G
I Deal In,New Only
Mounting Type,Flange Mount
Power Source,"10-10KW"
Frequency (Hertz),"50/60HZ"
No. Of Phase,SINGLE
Country of Origin,Made in India
Usage/Application,Industry
I Deal In,New Only
Country of Origin,Made in India
Usage/Application,Industial
Frame Size,"71 -355 Frame"
Usage/Application,For Electrical Device Use
I Deal In,New Only
Usage/Application,FRIENDELY
Bearing Type,Fag
IP Rating,IP55
Capacity,"20 HP"
No Of Poles,"2,4 & 6 Pole"
Speed,"1450 Rpm"
Frequency,"50 Hz"
Material,Cast  Iron
Type of Motor,<500 RPM
Number Of Poles,"2"
Measuring Range,"1/8 HP & 1/20 HP WITH 75 RPM & 150 RPM."
Color,Grey
Number Of Poles,"4"
Frequency,"50Hz"
IP Rating,IP55
Temperature (Degree Celsius),"0 to 40 Degree"
Mounting,Foot
Phase,Single Phase
Frequency (Hertz),"50Hz"
Speed,"6001-10000 RPM"
Usage/Application,Industrial
Power,"5HP"
Material,Mild Steel
Frame,"80 S"
No Of Poles,"4"
Weight,"5-10 Kilograms (kg)"
Surface Finish,Polish
Color,Blue
Frequency,"50 Hz"
Warranty,"1 Year"
Speed,"1400-2800 RPM"
Voltage,"220-280 V"
Class,F
Body Material,Mild Steel
Weight,"22kg"
Power,"2 HP"
Type of Motor,AC
Usage/Application,Industrial
Horsepower.,"15 Hp"
BRAND,REXNORD
Brand,Suguna
I Deal In,New Only
Speed,All
Shape,NA
I Deal In,New Only
I Deal In,New Only
Shape,Customised
Features,All
Frame Size,Standard
Size,Standard
Number Of Poles,"4"
Mounting Type,Foot and Flange
Number Of Poles,"2/4/6/8 Pole"
Power,"2 hp"
Capacity(Ton),"20 Ton"
Voltage,"415 V"
No. of Poles,"4"
Voltage,"240 V"
Material,Cast Iron
Mounting Type,Foot
Number Of Poles,"6"
Country of Origin,Made in India
Number Of Poles,"6"
Frame Size,"71 TO 180"
Number Of Poles,"4"
Automation Grade,Automatic
Number Of Poles,"4"
Country of Origin,Made in India
Power,<10 KW
Speed,"1440 rpm"
Speed,"1000 rpm"
Brand,Matrukrupa
Phase,Single and Three Phase
Voltage,"250 V"
Number Of Poles,"2"
Warranty,"1 Year"
Number Of Poles,"4"
Frequency,"50 Hz"
Automation Grade,Automatic
Head,Round
Number Of Poles,"8"
Surface Treatment,Polished
Frame Size,"0.18KW-315kW"
Features,IE2/IE3/IE4- Non Flp/Flp
Number Of Poles,"2"
Number Of Poles,"4"
I Deal In,New and Second Hand
Body Enclosure,TEFC
Phase,Three Phase
Type of Induction Motors,Variable Frequency Drive Induction Motors
Power,"5  hp"
Power,Other
Voltage,"415 V"
Voltage,"240 V"
Pole,"4"
Speed,<2000 RPM
Phase,"3"
Mounting Type,B3 / V1 / B14....
Power,"0-450 kw"
Brand,Sri Vennila
Voltage,"220 V & 440 V"
Speed,Standardised
Phase,"3 PHASE"
Material,COPPER
Ambient Temperature,"65"
Brand,Siemens
Voltage,"240 Volts"
Mounting Type,Foot Mounted
Type,Copper Motor
Power,"1 HP"
Phase,Single Phase
Ambient Temperature,-40 to 60 degree C
Brand,Siemens
Power,"101-200 KW"
Brand,"ABB,Crompton,Siemens,Scheider,Havells"
Power,"300 HP"
Speed,"750 RPM"
Voltage,"440 V"
Power,"15 hp"
Brand,Any
Usage,Industrial
Power,"0.18 to 22.5"
Brand,ABB / CG / BHARAT BIJLEE / HAVELLS
Power,"201-300 KW"
Type,Copper Motor
Material,ayarn
Voltage,"220 V"
Phase,SINGLE PHASE
Voltage,"220 V"
Type,Standardised
Phase,"1 Phase"
Type,Semi Automatic
Power,"5-10 HP"
Phase,Single Phase
Brand,DIVINE
Speed,"750 TO 3000"
Speed,"600-3000 RPM"
Voltage,"415"
Speed,"2000-6000 RPM"
Type,Copper Motor
Speed,<2000 RPM
Voltage,"415V"
Type of Motor,AC
Efficiency,IE2
Number Of Poles,"2"
Material,MS
Speed,<2000 RPM
Speed,>14000 RPM
Installation After Sales Service,Yes
Frequency,"60 Hz"
Country of Origin,Made in India
Material,Mild Steel
Source,Electricity
Automation Grade,Industrial
Installation Services Available,Yes
I Deal In,New Only
Country of Origin,Made in India
IP Rating,IP55
Type,High Voltage Motor
Number Of Poles,"2"
Duty,heavy duty
Nominal Current,"230 vac"
Finishing,metallic
Winding,copper coil winding
Starting Current Ratio,"230 vac"
Protection,pvc insulation
I Deal In,New Only
Usage/Application,Industrial
Voltage (Volt),"220V"
Number Of Poles,Single Pole
IP Rating,IP55
Speed,"2000-6000 RPM"
Mounting Type,Foot Mount
Mounting Type,Foot Cum Flange Mount
Color,"Grey,Blue etc"
Usage/Application,Industrial motor
Mounting Type,Foot
Frequency,"50 Hz"
Usage/Application,For Band Saw Machine Use
Frequency,"50 Hz"
No Load Speed,"1500 RPM"
Usage/Application,INDUSTRIAL
Capacity,"5HP TO 150HP"
IP Rating,"55"
Color,BRO
Features,varies on type
Customized,Yes
Color,Green
Frequency,"50 Hz"
Mounting Type,Flange
Features,cooper coil
Installation Services Available,yes
Country of Origin,Made in India
Duty,Heavy
Number Of Poles,"3"
I Deal In,New Only
Automation Grade,Automatic
Automation Grade,Semi Automatic
Number Of Poles,"2"
Motor Type,"3 HP"
IP Rating,IP55
Mounting,B3 Foot Mounted/B5 Flange Mounted/B14 Face Mounted
Usage/Application,industrial
Color,multicolor
Number Of Poles,"2"
Frequency,"60Hz"
Usage/Application,Cement Plant
Frequency,"50 Hz"
Finishing,Color Coated
Number Of Poles,"4"
I Deal In,New and Second Hand
Number Of Poles,"2"
Color,Grey
Number Of Poles,"4"
Usage/Application,Industrial And Agriculture
Usage/Application,Industry
Number Of Poles,"2"
Capacity,"400KG to 3000KG"
Number Of Poles,"4"
Material,Cast Iron
Usage/Application,Industrial
Material,copper
Frequency,"50 Hz"
Country of Origin,Made in India
Number Of Poles,"2-4-6-8"
Frame Size,"71TO355"
Insulation Class,F
Number Of Poles,"4"
Usage/Application,Industrial
Number Of Poles,"2"
Location,Coimbatore
Power Source,Electric
Power Source,Electric
Usage/Application,Industrial
Brand,Everest
Power,As per your request
Number Of Poles,As per your request
Power,"0.5 to 425"
Horsepower,"0.5 to 425"
I Deal In,New Only
I Deal In,New Only
Features,NA
Automation Grade,As per request
Shutter Size,As per request
Bearing Lubrication,As per request
Frame Size,As per request
Size,As per request
Speed,"3000 rpm"
Product Code,LGGE083
Horsepower,"10 HP"
Phase,Three Phase
Frequency,"50Hz"
AMPS,"0.5"
HP,"0.15"
Phase,Three Phase
Rated Voltage,"415 V"
Brand,Crompton
Brand,Siemens
Brand,ABB
Brand,Hindustan
Brand,Schneider Electric
Phase,"1phase"
Phase,Single Phase
Phase,Single Phase
Phase,Three Phase
Phase,Single Phase
Speed,<2000 RPM
Type,Copper Motor
Horsepower,"1 HP"
IP Rating,IP44
Brand,Crompton
No Of Phase,Three Phase
Speed,"960 rpm"
No. of Poles,"2"
Voltage,"220 V"
Type,AC
Mounting Type,Flange
Country of Origin,Made in India
Number Of Poles,"6"
I Deal In,New and Second Hand
No Of Poles,"4"
Material,COPPER
Motor Voltage,"415 VOLTS"
Material,Cast Iron
IP Rating,IP35
Frequency,"50 Hz"
Power Rating,"7.5 kW"
Phase,Three Phase
Motor Type,AC Induction
Power Rating,"0.75 kW"
Motor Type,DC Motor
Power Rating,"2.2 kW"
Phase,Three Phase
Motor Type,DC Motor
Phase,Three Phase
Motor Poles,"4 Pole"
Mounting Type,Flange Mounted
Brand,Shubh Electrical Engeeniering
Country origin,Made in India
Speed,"1440 rpm"
Power Rating,"0.37 kW"
Motor Type,Synchronous
Phase,Single Phase
Starter Type,Fully Automatic
Current,"20 A"
Voltage,"220 V"
Horsepower,"1.5 HP"
Mounting Type,Flange
Type of Induction Motors,Three Phase Induction Motors
No. of Poles,"4"
Automation Grade,Manual
Type of end use,Agricultural
Type of end use,Domestic
Finishing,Paint Coated
Color,"Black,Blue,Grey"
Cooling Method,Water Cooled
No Of Poles,"4"
Type of end use,Resale
Motor Phase,Three Phase
Warranty,"1 year"
Body Material,Cast Iron
Frequency,"50 Hz"
Type of End Use,Agricultural
Type of End Use,Industrial
Motor Horsepower,"0.1 - 1 HP"
IP Rating, IP55
Pipe Size,"25 x 25 mm"
HP,"1.0"
Pipe Size,"25 x 25 mm"
No of Poles,"4"
No of Poles,"6"
Color,"Black, Blue, Grey"
Power,Quarter hp-500 hp
RPM,"1400,2800,750,960"
Warranty,"1 year"
Portable,Yes
IP Rating,IP55
Type of end use,Industrial
Motor Phase,Single Phase
Automation Grade,Manual
Warranty,"1 year"
Color,"Black,Grey"
Power Source,AC Powered
Motor Phase,Single Phase
Motor Horsepower,"2 - 5 HP"
Motor Horsepower,"27 - 140 HP"
Type of Motor,AC
Power Source,Electric
Phase,Three Phase
Mounting Type,"Foot Mount, Flange Mount, Foot Cum Flange Mount"
Phase,Single Phase
Power,"201-300 KW"
Voltage,"440 V"
Power,"500 KW"
No of Poles,"4"
Power,"101-200 KW"
Frequency,"50 Hz"
Warranty,"1 year"
Customized,on your requirement
Voltage,"440 V"
Phase,Three Phase
Material,Mild Steel
Current,"0.18 Amp"
Industrial Class,F
No Of Poles,"4"
Phase,Single Phase
No of Poles,"2"
No of Poles,"8"
No of Poles,"10"
Automation Grade,Automatic
Brand,ABB
Power,"101-200 KW"
Brand,Usha
HP,"0.5 / 0.37"
Brand,Usha
Discharge In LPH,"2500 to 200"
Color,"Black,Blue,Grey"
Cooling Method,Air Cooled
Cooling Method,Water Cooled
Power Source,Electric
Automation Grade,Manual
Type of End Use,Domestic
Motor Phase,Three Phase
Motor Horsepower,"5 - 27 HP"
No Of Poles,"2"
No Of Poles,"4"
Brand,ABB
Power,"3.7 KW"
Power Rating,"3.7 kW"
Input Voltage,"415V"
Country of Origin,Made in India
Power Rating,"1400 RPM"
Rated Voltage,"380 V"
Input Phase,"3 - Phase"
Enclosure,TEFC
Phase,Three Phase
Motor Type,AC Induction
Model Name/Number,ACS880 - ABB Drives
Duty Type,S1
Motor Poles,BASE ON 2 POLE TO 8 POLE
Mounting Type,Foot Mounted
Motor Power,"0.55 to 250 kW"
Ingress Protection,IP55
Country of Origin,Made in India
Standard,ISO 9001:2015
Efficiency,"0.80 TO 0.90"
Motor Type,AC Induction
Pole,"2.4.6"
Phase,Three Phase
Frames,"63 TO 160L"
Power,"3.7 KW"
Power,"1 hp"
Power,"7.5 hp"
Phase,Three Phase
Power,"300 W"
Power,"5  hp"
Power,"2 hp"
Power,"7.5 hp"
Power,"7 HP"
Power,"2 HP"
Power,"2 hp"
Power,"10 KW"
Power,"5  hp"
Power,"2 hp"
Power,"2 hp"
Power,"5  hp"
Power,"7.5 hp"
Power,"5  hp"
Power,"40 HP"
Power,"0.37 KW"
Voltage,"415 V"
No of Poles,"4 Pole"
Pole,"4"
Speed,"1440 rpm"
Phase,Single Phase
Speed,"1000 rpm"
Power Source,Electric
Speed,"960 rpm"
Horsepower,"0.75 HP"
Number Of Poles,"2"
Efficiency,IE2
Brand,Suguna
Number Of Poles,"2"
Material,Mild Steel
Number Of Poles,"2"
Power,"5 HP"
Power,"7.5 hp"
Power,"7.5 hp"
Usage,Industrial
Voltage,"12V"
Power,"7.5 hp"
Power,"5  hp"
Power,"0.37 KW"
Power,"2.2 KW"
Power,"5  hp"
Power,"30 KW"
Speed,"1500 rpm"
Type,DC Motor
Horsepower,"1 HP"
Horsepower,"3 HP"
Speed,"1440 rpm"
Engine Type,Air Cooled
Product Type,Agricultural Water Pump
Motor Phase,Single Phase
Voltage,"220 V"
No. of Poles,"2"
Frequency,"50 Hz"
Starting Current Ratio,yes
Country of Origin,Made in India
Frame Size,ND160M
Number Of Poles,"4"
DC Brake,YES
Country of Origin,Made in India
