Query,Key Match Count,Value Match Count,GT Unique Keys,Gemma Unique Keys,GT Unique Values,Gemma Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),Gemma: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,Gemma Only Keys
1 fan motor,0,0,4,3,2,1,0.0%,0.0%,fan motor - motor_type | product_type |||| fan - application | use,1 - number_of_poles | no_of_poles | poles,,,application | motor type | product type | use,no of poles | number of poles | poles
1 for business use piece 22 kw Allen Bradley 150-C43NBD SMC-3 Soft Starter 43A 480V 3-Phase 100-240V AC Control,0,0,14,0,6,0,0.0%,0.0%,allen bradley - brand | manufacturer | company |||| 22 kw - power | kilowatt | wattage |||| 480v - voltage | supply_voltage |||| 240v - voltage | supply_voltage |||| ac - current_type | supply_type |||| starter - application | use |||| starter - product_category | category,,,,application | brand | category | company | current type | kilowatt | manufacturer | power | product category | supply type | supply voltage | use | voltage | wattage,
1 for business use piece ABB Soft Starters,4,1,7,15,2,4,57.1%,50.0%,abb - brand | manufacturer | company |||| starter - application | use |||| starter - product_category | category,Business Use - usage_application | application | usage | suitable_for |||| ABB - brand | company | manufacturer | make |||| 1 - number_of_poles | no_of_poles | poles |||| Soft Starters - type | product_type | device_type | starter_type,application | brand | company | manufacturer,abb,category | product category | use,device type | make | no of poles | number of poles | poles | product type | starter type | suitable for | type | usage | usage application
1 for reselling piece Panasonic Geared Motor,3,1,5,11,2,3,60.0%,50.0%,panasonic - brand | manufacturer | company |||| gear motor - motor_type | product_type,1 - number_of_poles | no_of_poles | poles |||| For Reselling - usage_application | application | usage | suitable_for |||| Panasonic - brand | company | manufacturer | make,brand | company | manufacturer,panasonic,motor type | product type,application | make | no of poles | number of poles | poles | suitable for | usage | usage application
1 hp bench polisher motor,4,1,5,8,2,2,80.0%,50.0%,motor - motor_type | product_type |||| 1 hp - power | horsepower | hp,1 HP - horsepower | horse_power | hp | motor_horsepower |||| Bench Polisher - type | motor_type | product_type | device_type,horsepower | hp | motor type | product type,1 hp,power,device type | horse power | motor horsepower | type
1 hp motor,2,1,5,4,2,1,40.0%,50.0%,motor - motor_type | product_type |||| 1 hp - power | horsepower | hp,1 HP - horsepower | horse_power | hp | motor_horsepower,horsepower | hp,1 hp,motor type | power | product type,horse power | motor horsepower
1 phase electric motor,1,0,4,4,2,1,25.0%,0.0%,motor - motor_type | product_type |||| single phase - phase | supply_phase,1 Phase - phase | number_of_phase | input_phase | phase_type,phase,,motor type | product type | supply phase,input phase | number of phase | phase type
1 piece 750 watt 3000 rpm AC Servo Motor,2,2,9,12,4,4,22.2%,50.0%,servo motor - motor_type | product_type |||| 750 w - power | wattage |||| 3000 rpm - speed | rpm | rated_speed |||| ac - current_type | supply_type,AC - power_source | power_supply | power_type |||| 3000 RPM - number_of_poles | no_of_poles | poles |||| 1 piece - number_of_phase | phase | number_of_phase | input_phase |||| 750 Watt - power | wattage | motor_power,power | wattage,3000 rpm | ac,current type | motor type | product type | rated speed | rpm | speed | supply type,input phase | motor power | no of poles | number of phase | number of poles | phase | poles | power source | power supply | power type
1 piece ABB Soft Starters,3,1,7,7,2,2,42.9%,50.0%,abb - brand | manufacturer | company |||| starter - application | use |||| starter - product_category | category,ABB - brand | company | manufacturer | make |||| 1 Piece - number_of_poles | no_of_poles | poles,brand | company | manufacturer,abb,application | category | product category | use,make | no of poles | number of poles | poles
1 piece Allen Bradley Soft Starters,3,1,7,7,2,2,42.9%,50.0%,allen bradley - brand | manufacturer | company |||| starter - application | use |||| starter - product_category | category,Allen Bradley - brand | company | manufacturer | make |||| 1 Piece - number_of_poles | no_of_poles | poles,brand | company | manufacturer,allen bradley,application | category | product category | use,make | no of poles | number of poles | poles
1 piece Slip Rings,0,0,2,6,1,2,0.0%,0.0%,slip ring - product_category | category,1 Piece - number_of_poles | no_of_poles | poles |||| Slip Rings - type | motor_type | product_type,,,category | product category,motor type | no of poles | number of poles | poles | product type | type
1.5 KW Halcyon Three Phase Induction Motor,2,2,7,9,3,3,28.6%,66.7%,induction motor - motor_type | product_type |||| 1.5 kw - power | kilowatt | wattage |||| three phase - phase | supply_phase,Three Phase - power_source | power_supply | power_type |||| 1.5 KW - power | wattage | motor_power |||| Halcyon - brand | company | manufacturer,power | wattage,1.5 kw | three phase,kilowatt | motor type | phase | product type | supply phase,brand | company | manufacturer | motor power | power source | power supply | power type
1.5 kw crompton single phase motor,5,3,10,10,4,3,50.0%,75.0%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 1.5 kw - power | kilowatt | wattage |||| single phase - phase | supply_phase,Single Phase - power_source | power_supply | power_type |||| 1.5 KW - power | wattage | motor_power |||| Crompton - brand | company | manufacturer | make,brand | company | manufacturer | power | wattage,1.5 kw | crompton | single phase,kilowatt | motor type | phase | product type | supply phase,make | motor power | power source | power supply | power type
10 HP Transtech Gear Electric Motor,2,1,5,8,2,2,40.0%,50.0%,motor - motor_type | product_type |||| 10 hp - power | horsepower | hp,10 HP - horsepower | horse_power | hp | motor_horsepower |||| Transtech - brand | company | manufacturer | make,horsepower | hp,10 hp,motor type | power | product type,brand | company | horse power | make | manufacturer | motor horsepower
10 hp crompton motor,5,2,8,8,3,2,62.5%,66.7%,crompton - brand | manufacturer | company |||| motor - motor_type | product_type |||| 10 hp - power | horsepower | hp,10 HP - horsepower | horse_power | hp | motor_horsepower |||| Crompton - brand | company | manufacturer | make,brand | company | horsepower | hp | manufacturer,10 hp | crompton,motor type | power | product type,horse power | make | motor horsepower
100 HP Slip Ring Motor Starter,2,1,7,7,3,2,28.6%,33.3%,slip ring motor - motor_type | product_type |||| 100 hp - power | horsepower | hp |||| starter - application | use,100 HP - horsepower | horse_power | hp | motor_horsepower |||| Slip Ring Motor Starter - power_source | power_supply | power_type,horsepower | hp,100 hp,application | motor type | power | product type | use,horse power | motor horsepower | power source | power supply | power type
100 HP to 2000 HP  Slip Ring Motor Starter,3,0,7,7,3,1,42.9%,0.0%,slip ring motor - motor_type | product_type |||| 100 hp - power | horsepower | hp |||| starter - application | use,100 HP to 2000 HP - horsepower | horse_power | hp | motor_horsepower |||| 100 HP to 2000 HP - power | wattage | power_rating,horsepower | hp | power,,application | motor type | product type | use,horse power | motor horsepower | power rating | wattage
100 W Chimney Motor,2,2,6,8,3,2,33.3%,66.7%,motor - motor_type | product_type |||| 100 w - power | wattage |||| chimney - application | use,100 W - power_source | power_supply | power_type | power |||| Chimney - usage_application | application | usage | suitable_for,application | power,100 w | chimney,motor type | product type | use | wattage,power source | power supply | power type | suitable for | usage | usage application
100 mm linear motor,0,0,2,6,1,1,0.0%,0.0%,linear motor - motor_type | product_type,100 mm - size | dimension | frame_size | number_of_poles | no_of_poles | poles,,,motor type | product type,dimension | frame size | no of poles | number of poles | poles | size
1000 RPM Electric Sliding Gate Motor,3,1,5,11,2,3,60.0%,50.0%,motor - motor_type | product_type |||| 1000 rpm - speed | rpm | rated_speed,1000 RPM - speed | power_source | usage_application |||| 1000 RPM - rpm | power_supply | application |||| 1000 RPM - motor_speed | power_type | usage |||| 1000 RPM - rated_speed | suitable_for,rated speed | rpm | speed,1000 rpm,motor type | product type,application | motor speed | power source | power supply | power type | suitable for | usage | usage application
1000 n (100 kg) 1 100 mm 24 v telescopic linear actuators,2,0,6,13,2,4,33.3%,0.0%,24v - voltage | supply_voltage |||| actuator - application | use |||| actuator - product_category | category,1000 N (100 Kg) - capacity | load_capacity | weight_capacity | lifting_capacity |||| 1 - number_of_poles | no_of_poles | poles |||| 100 mm - diameter | shaft_diameter | inner_diameter |||| 24 V - voltage | operating_voltage | supply_voltage,supply voltage | voltage,,application | category | product category | use,capacity | diameter | inner diameter | lifting capacity | load capacity | no of poles | number of poles | operating voltage | poles | shaft diameter | weight capacity
101-200 KW 1 HP Bharat Bijlee Ac Motor,7,3,12,13,5,4,58.3%,60.0%,bharat bijlee - brand | manufacturer | company |||| ac motor - motor_type | product_type |||| 1 hp - power | horsepower | hp |||| 200 kw - power | kilowatt | wattage |||| ac - current_type | supply_type,AC - power_source | power_supply | power_type |||| 101-200 KW - power | wattage | motor_power |||| Bharat Bijlee - brand | company | manufacturer | make |||| 1 HP - horsepower | horse_power | hp,brand | company | horsepower | hp | manufacturer | power | wattage,1 hp | ac | bharat bijlee,current type | kilowatt | motor type | product type | supply type,horse power | make | motor power | power source | power supply | power type
105 W Alqer 16 Inch Super Cooler Motor,1,1,6,13,3,4,16.7%,33.3%,cooler motor - motor_type | product_type |||| 105 w - power | wattage |||| cooler - application | use,105 W - power_source | power_supply | power_type |||| 16 Inch - size | dimension | frame_size |||| Alqer - brand | company | manufacturer | make |||| Super Cooler - usage_application | application | usage,application,105 w,motor type | power | product type | use | wattage,brand | company | dimension | frame size | make | manufacturer | power source | power supply | power type | size | usage | usage application
105 Wat Single Phase Cooler Motor,2,1,8,6,4,2,25.0%,25.0%,cooler motor - motor_type | product_type |||| 105 w - power | wattage |||| single phase - phase | supply_phase |||| cooler - application | use,Single Phase - power_source | power_supply | power_type |||| 105 Wat - wattage | power | motor_power,power | wattage,single phase,application | motor type | phase | product type | supply phase | use,motor power | power source | power supply | power type
10hp motor,2,0,5,4,2,1,40.0%,0.0%,motor - motor_type | product_type |||| 10 hp - power | horsepower | hp,10HP - horsepower | horse_power | hp | motor_horsepower,horsepower | hp,,motor type | power | product type,horse power | motor horsepower
10m3flow rate 30 mtr headpumpwith motor,0,0,4,8,2,2,0.0%,0.0%,motor - motor_type | product_type |||| pump - application | use,10m3flow rate - capacity | load_capacity | weight_capacity | lifting_capacity |||| 30 mtr - head | lift | lifting_height | pressure,,,application | motor type | product type | use,capacity | head | lift | lifting capacity | lifting height | load capacity | pressure | weight capacity
10w deep freezer motor,0,0,4,7,2,2,0.0%,0.0%,motor - motor_type | product_type |||| 10 w - power | wattage,10W - power_source | power_supply | power_type |||| Deep Freezer - usage_application | application | usage | suitable_for,,,motor type | power | product type | wattage,application | power source | power supply | power type | suitable for | usage | usage application
11 KW 15 HP Crompton Greaves Electric Motor,5,1,10,10,4,3,50.0%,25.0%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type |||| 15 hp - power | horsepower | hp |||| 11 kw - power | kilowatt | wattage,Electric - power_source | power_supply | power_type |||| 11 KW 15 HP - power | wattage | motor_power |||| Crompton Greaves - brand | company | manufacturer | make,brand | company | manufacturer | power | wattage,crompton greaves,horsepower | hp | kilowatt | motor type | product type,make | motor power | power source | power supply | power type
110HS20 Two Phase Stepper Motor,2,1,5,8,2,2,40.0%,50.0%,stepper motor - motor_type | product_type |||| 110HS20 - model_number | part_number | model,Two Phase - phase | phase_type | number_of_phase | input_phase |||| 110HS20 - model_number | model_name | model | model_no,model | model number,110hs20,motor type | part number | product type,input phase | model name | model no | number of phase | phase | phase type
11KW Kirloskar Electric Motor,5,1,8,10,3,3,62.5%,33.3%,kirloskar - brand | manufacturer | company |||| motor - motor_type | product_type |||| 11 kw - power | kilowatt | wattage,Electric - power_source | power_supply | power_type |||| Kirloskar - brand | company | manufacturer | make |||| 11KW - power | wattage | motor_power,brand | company | manufacturer | power | wattage,kirloskar,kilowatt | motor type | product type,make | motor power | power source | power supply | power type
12 Inch 3000W Scooter Brushless DC Wheel Hub Motor Controller,0,0,6,14,3,4,0.0%,0.0%,hub motor - motor_type | product_type |||| 3000 w - power | wattage |||| dc - current_type | supply_type,3000W - power_source | power_supply | power_type |||| 12 Inch - diameter | shaft_diameter | inner_diameter |||| Scooter - usage_application | application | usage | suitable_for |||| Brushless DC - brand | company | manufacturer | make,,,current type | motor type | power | product type | supply type | wattage,application | brand | company | diameter | inner diameter | make | manufacturer | power source | power supply | power type | shaft diameter | suitable for | usage | usage application
12v 775 Dc Motor,2,1,6,8,3,2,33.3%,33.3%,dc motor - motor_type | product_type |||| 12v - voltage | supply_voltage |||| dc - current_type | supply_type,12V - voltage | operating_voltage | supply_voltage | rated_voltage |||| 775 - speed | rpm | motor_speed | rated_speed,supply voltage | voltage,12v,current type | motor type | product type | supply type,motor speed | operating voltage | rated speed | rated voltage | rpm | speed
12v bldc,4,1,4,8,2,2,100.0%,50.0%,bldc motor - motor_type | product_type |||| 12v - voltage | supply_voltage,12V - voltage | operating_voltage | supply_voltage | rated_voltage |||| BLDC - type | motor_type | product_type | device_type,motor type | product type | supply voltage | voltage,12v,,device type | operating voltage | rated voltage | type
12v dc dual shaft motor,2,1,8,7,4,2,25.0%,25.0%,motor - motor_type | product_type |||| 12v - voltage | supply_voltage |||| dc - current_type | supply_type |||| dual shaft - shaft_type | shaft,12V DC - voltage | operating_voltage | supply_voltage | rated_voltage |||| Dual Shaft - number_of_shaft | no_of_shaft | shaft_number,supply voltage | voltage,dual shaft,current type | motor type | product type | shaft | shaft type | supply type,no of shaft | number of shaft | operating voltage | rated voltage | shaft number
12v dc motor,2,0,6,5,3,1,33.3%,0.0%,dc motor - motor_type | product_type |||| 12v - voltage | supply_voltage |||| dc - current_type | supply_type,12V DC - voltage | operating_voltage | supply_voltage | rated_voltage | power_source,supply voltage | voltage,,current type | motor type | product type | supply type,operating voltage | power source | rated voltage
130 Flat Motor,2,0,2,8,1,2,100.0%,0.0%,motor - motor_type | product_type,130 - model_number | model_name | model | model_no |||| Flat Motor - type | motor_type | product_type | device_type,motor type | product type,,,device type | model | model name | model no | model number | type
1400 rpm 230 v apex cool 410w single phase exhaust fan motor,0,0,13,0,7,0,0.0%,0.0%,fan motor - motor_type | product_type |||| exhaust motor - motor_type | product_type |||| 410 w - power | wattage |||| 230v - voltage | supply_voltage |||| single phase - phase | supply_phase |||| 1400 rpm - speed | rpm | rated_speed |||| fan - application | use,,,,application | motor type | phase | power | product type | rated speed | rpm | speed | supply phase | supply voltage | use | voltage | wattage,
1400 rpm apex cool 410w single phase exhaust fan motor,5,2,11,14,6,4,45.5%,33.3%,fan motor - motor_type | product_type |||| exhaust motor - motor_type | product_type |||| 410 w - power | wattage |||| single phase - phase | supply_phase |||| 1400 rpm - speed | rpm | rated_speed |||| fan - application | use,1400 RPM - speed | rpm | motor_speed | rated_speed |||| Single Phase - power_source | power_supply | power_type |||| 410W - power_rating | wattage | power |||| Apex Cool - brand | company | manufacturer | make,power | rated speed | rpm | speed | wattage,1400 rpm | single phase,application | motor type | phase | product type | supply phase | use,brand | company | make | manufacturer | motor speed | power rating | power source | power supply | power type
1400 rpm single phase 230 v 230v apex cool 410w single phase exhaust fan motor,0,0,13,0,7,0,0.0%,0.0%,fan motor - motor_type | product_type |||| exhaust motor - motor_type | product_type |||| 410 w - power | wattage |||| 230v - voltage | supply_voltage |||| single phase - phase | supply_phase |||| 1400 rpm - speed | rpm | rated_speed |||| fan - application | use,,,,application | motor type | phase | power | product type | rated speed | rpm | speed | supply phase | supply voltage | use | voltage | wattage,
1400 rpm single phase 230 v flange mounted 230v apex cool 410w exhaust fan motor,0,0,15,0,8,0,0.0%,0.0%,fan motor - motor_type | product_type |||| exhaust motor - motor_type | product_type |||| 410 w - power | wattage |||| 230v - voltage | supply_voltage |||| single phase - phase | supply_phase |||| 1400 rpm - speed | rpm | rated_speed |||| flange mount - mounting_type | mounting |||| fan - application | use,,,,application | motor type | mounting | mounting type | phase | power | product type | rated speed | rpm | speed | supply phase | supply voltage | use | voltage | wattage,
1440 rpm three phase 9841043643 3 hp crompton greaves motor,0,0,13,0,5,0,0.0%,0.0%,crompton greaves - brand | manufacturer | company |||| motor - motor_type | product_type |||| 3 hp - power | horsepower | hp |||| three phase - phase | supply_phase |||| 1440 rpm - speed | rpm | rated_speed,,,,brand | company | horsepower | hp | manufacturer | motor type | phase | power | product type | rated speed | rpm | speed | supply phase,
1450 Rpm 1 Hp Motor Cg Make,6,2,11,11,4,3,54.5%,50.0%,cg power - brand | manufacturer | company |||| motor - motor_type | product_type |||| 1 hp - power | horsepower | hp |||| 1450 rpm - speed | rpm | rated_speed,1450 Rpm - speed | rpm | motor_speed | rated_speed |||| 1 Hp - power_source | power_supply | power_type |||| Cg - brand | company | manufacturer | make,brand | company | manufacturer | rated speed | rpm | speed,1 hp | 1450 rpm,horsepower | hp | motor type | power | product type,make | motor speed | power source | power supply | power type
15 hp motor,2,1,5,4,2,1,40.0%,50.0%,motor - motor_type | product_type |||| 15 hp - power | horsepower | hp,15 HP - horsepower | horse_power | hp | motor_horsepower,horsepower | hp,15 hp,motor type | power | product type,horse power | motor horsepower
1500 cfm FAN MOTOR,0,1,4,8,2,2,0.0%,50.0%,fan motor - motor_type | product_type |||| fan - application | use,1500 CFM - capacity | load_capacity | weight_capacity | lifting_capacity |||| FAN MOTOR - power_source | power_supply | power_type | power_requirement,,fan motor,application | motor type | product type | use,capacity | lifting capacity | load capacity | power requirement | power source | power supply | power type | weight capacity
1500 kv ccw multirotor motor,0,1,6,9,3,3,0.0%,33.3%,motor - motor_type | product_type |||| drone - application | use |||| 1500 kv - kv_rating | kv,CCW - power_source | power_supply | power_type |||| 1500 KV - voltage | operating_voltage | supply_voltage |||| Multirotor - number_of_poles | no_of_poles | poles,,1500 kv,application | kv | kv rating | motor type | product type | use,no of poles | number of poles | operating voltage | poles | power source | power supply | power type | supply voltage | voltage
150HP 960 RPM ELECTRIC MOTOR,5,1,8,8,3,2,62.5%,33.3%,motor - motor_type | product_type |||| 150 hp - power | horsepower | hp |||| 960 rpm - speed | rpm | rated_speed,150HP - horsepower | horse_power | hp | motor_horsepower |||| 960 RPM - speed | rpm | motor_speed | rated_speed,horsepower | hp | rated speed | rpm | speed,960 rpm,motor type | power | product type,horse power | motor horsepower | motor speed
150c43nbd smc3 soft starter,0,0,4,11,1,3,0.0%,0.0%,starter - application | use |||| starter - product_category | category,SMC3 - brand | company | manufacturer | make |||| 150C43NBD - model_number | model_name | model | model_no |||| 150C - ambient_temperature | operating_temperature | temperature_range,,,application | category | product category | use,ambient temperature | brand | company | make | manufacturer | model | model name | model no | model number | operating temperature | temperature range
170M7167-6500A,2,0,3,4,1,1,66.7%,0.0%,170M7167 - model_number | part_number | model,170M7167-6500A - model_number | model_name | model | model_no,model | model number,,part number,model name | model no
18 inch g c exhaust fan motor housing,0,0,4,8,3,2,0.0%,0.0%,fan motor - motor_type | product_type |||| exhaust motor - motor_type | product_type |||| fan - application | use,18 inch - size | dimension | frame_size | casing_size |||| G C - material | body_material | material_type | casing_material,,,application | motor type | product type | use,body material | casing material | casing size | dimension | frame size | material | material type | size
180 Watt Electro Magnetic Brake Motor,1,0,4,6,2,2,25.0%,0.0%,brake motor - motor_type | product_type |||| 180 w - power | wattage,Electro Magnetic Brake - power_source | power_supply | power_type |||| 180 Watt - power_rating | wattage | motor_power,wattage,,motor type | power | product type,motor power | power rating | power source | power supply | power type
1FK2104-6AF01-1MB0,2,1,3,4,1,1,66.7%,100.0%,1FK2104-6AF01-1MB0 - model_number | part_number | model,1FK2104-6AF01-1MB0 - model_number | model_name | model | model_no,model | model number,1fk2104-6af01-1mb0,part number,model name | model no
1FK2104-6AF01-1SB0,2,1,3,4,1,1,66.7%,100.0%,1FK2104-6AF01-1SB0 - model_number | part_number | model,1FK2104-6AF01-1SB0 - model_number | model_name | model | model_no,model | model number,1fk2104-6af01-1sb0,part number,model name | model no
1FK2104-6AF10-0MB0,2,1,3,4,1,1,66.7%,100.0%,1FK2104-6AF10-0MB0 - model_number | part_number | model,1FK2104-6AF10-0MB0 - model_number | model_name | model | model_no,model | model number,1fk2104-6af10-0mb0,part number,model name | model no
1FK2104-6AF10-0SB0,2,1,3,4,1,1,66.7%,100.0%,1FK2104-6AF10-0SB0 - model_number | part_number | model,1FK2104-6AF10-0SB0 - model_number | model_name | model | model_no,model | model number,1fk2104-6af10-0sb0,part number,model name | model no
1FK2104-6AF10-1MB0,2,1,3,4,1,1,66.7%,100.0%,1FK2104-6AF10-1MB0 - model_number | part_number | model,1FK2104-6AF10-1MB0 - model_number | model_name | model | model_no,model | model number,1fk2104-6af10-1mb0,part number,model name | model no
1FK2104-6AF11-0MB0,2,1,3,4,1,1,66.7%,100.0%,1FK2104-6AF11-0MB0 - model_number | part_number | model,1FK2104-6AF11-0MB0 - model_number | model_name | model | model_no,model | model number,1fk2104-6af11-0mb0,part number,model name | model no
1HP Single Phase Godrej Lawkim Foot Mounted,8,2,10,16,4,4,80.0%,50.0%,godrej lawkim - brand | manufacturer | company |||| 1 hp - power | horsepower | hp |||| single phase - phase | supply_phase |||| foot mount - mounting_type | mounting,1HP - horsepower | horse_power | hp | motor_horsepower |||| Godrej Lawkim - brand | company | manufacturer | make |||| Single Phase - phase | phase_type | number_of_phase | input_phase |||| Foot Mounted - mounting_type | mounting | mounting_style | mounting_method,brand | company | horsepower | hp | manufacturer | mounting | mounting type | phase,godrej lawkim | single phase,power | supply phase,horse power | input phase | make | motor horsepower | mounting method | mounting style | number of phase | phase type
1hp single phase ac motor,3,1,9,8,4,2,33.3%,25.0%,ac motor - motor_type | product_type |||| 1 hp - power | horsepower | hp |||| single phase - phase | supply_phase |||| ac - current_type | supply_type,1HP - horsepower | horse_power | hp | motor_horsepower |||| Single Phase - phase | phase_type | number_of_phase | input_phase,horsepower | hp | phase,single phase,current type | motor type | power | product type | supply phase | supply type,horse power | input phase | motor horsepower | number of phase | phase type
1hp three phase ac vibration motor,1,0,9,9,4,3,11.1%,0.0%,vibrator motor - motor_type | product_type |||| 1 hp - power | horsepower | hp |||| three phase - phase | supply_phase |||| ac - current_type | supply_type,Three Phase AC - power_source | power_supply | power_type |||| 1HP - power | wattage | motor_power |||| Vibration Motor - usage_application | application | usage,power,,current type | horsepower | hp | motor type | phase | product type | supply phase | supply type,application | motor power | power source | power supply | power type | usage | usage application | wattage
1kw( 1.3hp) bldc motor,1,0,7,8,4,2,14.3%,0.0%,bldc motor - motor_type | product_type |||| dc motor - motor_type | product_type |||| 1.3 hp - power | horsepower | hp |||| 1 kw - power | kilowatt | wattage,1KW( 1.3HP) - power_source | power_supply | power_type | power |||| BLDC - model_number | model_name | model | model_no,power,,horsepower | hp | kilowatt | motor type | product type | wattage,model | model name | model no | model number | power source | power supply | power type
1kw( 1.3hp) bldc motor near jharsuguda,2,0,7,10,4,3,28.6%,0.0%,bldc motor - motor_type | product_type |||| dc motor - motor_type | product_type |||| 1.3 hp - power | horsepower | hp |||| 1 kw - power | kilowatt | wattage,Electric - power_source | power_supply | power_type |||| 1KW( 1.3HP) - power | wattage | motor_power |||| Near Jharsuguda - location | usage_application | application | suitable_for,power | wattage,,horsepower | hp | kilowatt | motor type | product type,application | location | motor power | power source | power supply | power type | suitable for | usage application
1le7501‑1bb23‑5aa4,0,0,0,4,0,1,N/A,N/A,,1LE7501-1BB23-5AA4 - model_number | model_name | model | model_no,,,,model | model name | model no | model number
2 200 w chimney motor,2,2,6,10,3,3,33.3%,66.7%,motor - motor_type | product_type |||| 200 w - power | wattage |||| chimney - application | use,2 - power_source | power_supply | power_type |||| 200 W - power_rating | wattage | motor_power |||| Chimney - usage_application | application | usage | suitable_for,application | wattage,200 w | chimney,motor type | power | product type | use,motor power | power rating | power source | power supply | power type | suitable for | usage | usage application
