query,gt_success,qmeans_success,gt_total_keys,gt_unique_values,qmeans_total_keys,matched_key_count,matched_value_count,gt_only_key_count,qmeans_only_key_count,key_match_rate,value_match_rate,matched_keys,gt_only_keys,qmeans_only_keys,matched_values,key_match_details_json,value_match_details_json
brushless dc motor,True,True,6,3,1,1,1,3,0,25.00%,33.33%,motor type,product type; current type; supply type,,dc,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""bldc motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""motor type"", ""qmeans_value"": ""dc"", ""value_also_matches"": false}]","[{""value"": ""dc"", ""gt_keys"": [{""key"": ""current_type"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""supply_type"", ""key_priority"": 2, ""attr_priority"": 3}], ""qmeans_keys"": [""motor type""]}]"
ABB Electric Motor,True,True,5,2,2,1,1,4,1,20.00%,50.00%,brand,product type; manufacturer; company; motor type,power source,abb,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""abb"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""abb"", ""value_also_matches"": true}]","[{""value"": ""abb"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}]"
sensor plate,True,True,4,2,0,0,0,2,0,0.00%,0.00%,,product category; category,,,[],[]
electronic components bo moters,True,True,2,1,2,0,0,2,2,0.00%,0.00%,,product type; motor type,usage; type,,[],[]
1500 kv ccw multirotor motor,True,True,6,3,2,1,1,5,1,16.67%,33.33%,motor type,kv rating; use; application; kv; product type,power,1500 kv,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""motor type"", ""qmeans_value"": ""multirotor"", ""value_also_matches"": false}]","[{""value"": ""1500 kv"", ""gt_keys"": [{""key"": ""kv_rating"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""kv"", ""key_priority"": 2, ""attr_priority"": 3}], ""qmeans_keys"": [""power""]}]"
Panasonic Geared Motor,True,True,5,2,1,1,1,4,0,20.00%,50.00%,brand,product type; manufacturer; company; motor type,,panasonic,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""panasonic"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""panasonic"", ""value_also_matches"": true}]","[{""value"": ""panasonic"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}]"
worm geared brake motor,True,True,2,1,1,1,0,1,0,50.00%,0.00%,motor type,product type,,,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""brake motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""motor type"", ""qmeans_value"": ""worm"", ""value_also_matches"": false}]",[]
eletical motors 40hp,True,True,5,2,1,1,0,4,0,20.00%,0.00%,power,product type; horsepower; motor type; hp,,,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""40 hp"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""qmeans_key"": ""power"", ""qmeans_value"": ""40hp"", ""value_also_matches"": false}]",[]
Rotomotive Induction Motor 3 Phase,True,True,7,3,3,2,1,5,1,28.57%,33.33%,brand; motor type,company; manufacturer; product type; phase; supply phase,no of phase,rotomotive,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""rotomotive"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""rotomotive"", ""value_also_matches"": true}, {""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""induction motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""qmeans_key"": ""motor type"", ""qmeans_value"": ""induction"", ""value_also_matches"": false}]","[{""value"": ""rotomotive"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}]"
100 W Chimney Motor,True,True,6,3,2,1,2,5,1,16.67%,66.67%,power,wattage; use; application; product type; motor type,usage,chimney; 100 w,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""100 w"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""qmeans_key"": ""power"", ""qmeans_value"": ""100 w"", ""value_also_matches"": true}]","[{""value"": ""chimney"", ""gt_keys"": [{""key"": ""application"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""use"", ""key_priority"": 2, ""attr_priority"": 3}], ""qmeans_keys"": [""usage""]}, {""value"": ""100 w"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""wattage"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""power""]}]"
1 for reselling piece Panasonic Geared Motor,True,True,5,2,1,1,1,4,0,20.00%,50.00%,brand,product type; manufacturer; company; motor type,,panasonic,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""panasonic"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""panasonic"", ""value_also_matches"": true}]","[{""value"": ""panasonic"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}]"
Motor Cover,True,True,2,1,1,0,0,2,1,0.00%,0.00%,,product type; motor type,motor part type,,[],[]
b04420065,False,True,0,0,0,0,0,0,0,0.00%,0.00%,,,,,[],[]
1 piece Slip Rings,True,True,2,1,2,0,0,2,2,0.00%,0.00%,,product category; category,motor part type; set contains,,[],[]
venex 3 phase dol motor starter,True,True,9,4,4,2,1,7,2,22.22%,25.00%,brand; phase,motor type; company; use; application; manufacturer; product type; supply phase,usage; starter type,venex,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""venex"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""venex"", ""value_also_matches"": true}, {""normalized_key"": ""phase"", ""gt_key"": ""phase"", ""gt_value"": ""three phase"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""qmeans_key"": ""phase"", ""qmeans_value"": ""3 phase"", ""value_also_matches"": false}]","[{""value"": ""venex"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}]"
Used Crompton Greaves Motor,True,True,7,3,3,2,2,5,1,28.57%,66.67%,brand; condition,company; product condition; manufacturer; product type; motor type,part type,motor; used,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""crompton greaves"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""crompton"", ""value_also_matches"": false}, {""normalized_key"": ""condition"", ""gt_key"": ""condition"", ""gt_value"": ""used"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""qmeans_key"": ""condition"", ""qmeans_value"": ""used"", ""value_also_matches"": true}]","[{""value"": ""motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""part type""]}, {""value"": ""used"", ""gt_keys"": [{""key"": ""condition"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""product_condition"", ""key_priority"": 2, ""attr_priority"": 3}], ""qmeans_keys"": [""condition""]}]"
Mobile Starter Prime,True,True,4,1,1,0,0,4,1,0.00%,0.00%,,product category; category; use; application,model name/number,,[],[]
1kw( 1.3hp) bldc motor,True,True,10,4,2,2,0,5,0,28.57%,0.00%,power; motor type,wattage; kilowatt; hp; product type; horsepower,,,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""1.3 hp"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""qmeans_key"": ""power"", ""qmeans_value"": ""1kw( 1.3hp)"", ""value_also_matches"": false}, {""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""bldc motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""motor type"", ""qmeans_value"": ""bldc"", ""value_also_matches"": false}]",[]
1kw( 1.3hp) bldc motor near jharsuguda,True,True,10,4,2,2,0,5,0,28.57%,0.00%,power; motor type,wattage; kilowatt; hp; product type; horsepower,,,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""1.3 hp"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""qmeans_key"": ""power"", ""qmeans_value"": ""1kw( 1.3hp)"", ""value_also_matches"": false}, {""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""bldc motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""motor type"", ""qmeans_value"": ""bldc"", ""value_also_matches"": false}]",[]
spg motor,True,True,5,2,1,0,1,5,1,0.00%,50.00%,,brand; company; manufacturer; product type; motor type,part type,motor,[],"[{""value"": ""motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""part type""]}]"
crompton greaves motor 5 hp 3.70 kw 3 phase 1450 rpm foot mount,True,True,18,7,6,6,3,11,0,35.29%,42.86%,power; speed; brand; mounting type; phase; horsepower,mounting; wattage; motor type; company; rated speed; hp; manufacturer; product type; rpm; kilowatt,,3.70 kw; 5 hp; 1450 rpm,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""5 hp"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""qmeans_key"": ""power"", ""qmeans_value"": ""3.70 kw"", ""value_also_matches"": false}, {""normalized_key"": ""speed"", ""gt_key"": ""speed"", ""gt_value"": ""1450 rpm"", ""gt_key_priority"": 1, ""gt_attr_priority"": 6, ""qmeans_key"": ""speed"", ""qmeans_value"": ""1450 rpm"", ""value_also_matches"": true}, {""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""crompton greaves"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""crompton"", ""value_also_matches"": false}, {""normalized_key"": ""mounting type"", ""gt_key"": ""mounting_type"", ""gt_value"": ""foot mount"", ""gt_key_priority"": 1, ""gt_attr_priority"": 7, ""qmeans_key"": ""mounting type"", ""qmeans_value"": ""foot"", ""value_also_matches"": false}, {""normalized_key"": ""phase"", ""gt_key"": ""phase"", ""gt_value"": ""three phase"", ""gt_key_priority"": 1, ""gt_attr_priority"": 5, ""qmeans_key"": ""phase"", ""qmeans_value"": ""3 phase"", ""value_also_matches"": false}, {""normalized_key"": ""horsepower"", ""gt_key"": ""horsepower"", ""gt_value"": ""5 hp"", ""gt_key_priority"": 2, ""gt_attr_priority"": 3, ""qmeans_key"": ""horsepower"", ""qmeans_value"": ""5 hp"", ""value_also_matches"": true}]","[{""value"": ""3.70 kw"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 4}, {""key"": ""kilowatt"", ""key_priority"": 2, ""attr_priority"": 4}, {""key"": ""wattage"", ""key_priority"": 3, ""attr_priority"": 4}], ""qmeans_keys"": [""power""]}, {""value"": ""5 hp"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""horsepower"", ""key_priority"": 2, ""attr_priority"": 3}, {""key"": ""hp"", ""key_priority"": 3, ""attr_priority"": 3}], ""qmeans_keys"": [""horsepower""]}, {""value"": ""1450 rpm"", ""gt_keys"": [{""key"": ""speed"", ""key_priority"": 1, ""attr_priority"": 6}, {""key"": ""rpm"", ""key_priority"": 2, ""attr_priority"": 6}, {""key"": ""rated_speed"", ""key_priority"": 3, ""attr_priority"": 6}], ""qmeans_keys"": [""speed""]}]"
Vacuum Cleaner Motors,True,True,4,2,2,0,1,4,2,0.00%,50.00%,,product type; application; use; motor type,usage; part type,vacuum cleaner,[],"[{""value"": ""vacuum cleaner"", ""gt_keys"": [{""key"": ""application"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""use"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""usage""]}]"
Siemens Electric Three Phase Motor,True,True,7,3,3,2,2,5,1,28.57%,66.67%,brand; phase,company; supply phase; manufacturer; product type; motor type,power source,siemens; three phase,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""siemens"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""siemens"", ""value_also_matches"": true}, {""normalized_key"": ""phase"", ""gt_key"": ""phase"", ""gt_value"": ""three phase"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""qmeans_key"": ""phase"", ""qmeans_value"": ""three phase"", ""value_also_matches"": true}]","[{""value"": ""siemens"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}, {""value"": ""three phase"", ""gt_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""supply_phase"", ""key_priority"": 2, ""attr_priority"": 3}], ""qmeans_keys"": [""phase""]}]"
panasonic gear box MY9G30B,True,True,5,2,2,1,1,4,1,20.00%,50.00%,brand,product category; category; manufacturer; company,model name/number,panasonic,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""panasonic"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""panasonic"", ""value_also_matches"": true}]","[{""value"": ""panasonic"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}]"
Three Phase Dol Starter (elcw-s-digi),True,True,6,2,3,1,1,5,2,16.67%,50.00%,phase,use; application; product category; category; supply phase,starter type; model name/number,three phase,"[{""normalized_key"": ""phase"", ""gt_key"": ""phase"", ""gt_value"": ""three phase"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""phase"", ""qmeans_value"": ""three phase"", ""value_also_matches"": true}]","[{""value"": ""three phase"", ""gt_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""supply_phase"", ""key_priority"": 2, ""attr_priority"": 1}], ""qmeans_keys"": [""phase""]}]"
Motor Plate,True,True,2,1,1,0,0,2,1,0.00%,0.00%,,product type; motor type,motor part type,,[],[]
three phase dol dry run motor starter,True,True,6,3,3,1,1,5,2,16.67%,33.33%,phase,motor type; use; application; product type; supply phase,usage; starter type,three phase,"[{""normalized_key"": ""phase"", ""gt_key"": ""phase"", ""gt_value"": ""three phase"", ""gt_key_priority"": 1, ""gt_attr_priority"": 2, ""qmeans_key"": ""phase"", ""qmeans_value"": ""three phase"", ""value_also_matches"": true}]","[{""value"": ""three phase"", ""gt_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""supply_phase"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""phase""]}]"
Single Phase Electric Motor,True,True,4,2,2,0,1,4,2,0.00%,50.00%,,product type; phase; motor type; supply phase,power source; no of phase,single phase,[],"[{""value"": ""single phase"", ""gt_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""supply_phase"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""no of phase""]}]"
auto switch,True,True,2,1,0,0,0,2,0,0.00%,0.00%,,product category; category,,,[],[]
Mdt Knx Actuator Automation Products Dealer,True,True,9,3,4,1,1,6,3,14.29%,33.33%,brand,company; use; application; manufacturer; product category; category,business type; product; model name/number,mdt,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""mdt"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""mdt"", ""value_also_matches"": true}]","[{""value"": ""mdt"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}]"
Three Phase DOL  Auto Switch With Timer With Connector (Rocker Switch),True,True,8,4,2,1,1,3,1,25.00%,25.00%,phase,product category; category; supply phase,starter type,three phase,"[{""normalized_key"": ""phase"", ""gt_key"": ""phase"", ""gt_value"": ""three phase"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""phase"", ""qmeans_value"": ""three phase"", ""value_also_matches"": true}]","[{""value"": ""three phase"", ""gt_keys"": [{""key"": ""phase"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""supply_phase"", ""key_priority"": 2, ""attr_priority"": 1}], ""qmeans_keys"": [""phase""]}]"
Hydraulic Motor,True,True,2,1,1,0,0,2,1,0.00%,0.00%,,product type; motor type,power source,,[],[]
sliding door motor,True,True,2,1,2,0,0,2,2,0.00%,0.00%,,product type; motor type,usage; open style,,[],[]
solenoid-switches,True,True,6,2,0,0,0,4,0,0.00%,0.00%,,product category; category; application; use,,,[],[]
symphony air cooler motor,True,True,7,3,3,1,2,6,2,14.29%,66.67%,brand,company; use; application; manufacturer; product type; motor type,usage; part type,cooler; symphony,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""symphony"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""symphony"", ""value_also_matches"": true}]","[{""value"": ""cooler"", ""gt_keys"": [{""key"": ""application"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""use"", ""key_priority"": 2, ""attr_priority"": 3}], ""qmeans_keys"": [""usage""]}, {""value"": ""symphony"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}]"
PBL Geared Motors,True,True,5,2,1,1,1,4,0,20.00%,50.00%,brand,product type; manufacturer; company; motor type,,pbl,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""pbl"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""pbl"", ""value_also_matches"": true}]","[{""value"": ""pbl"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}]"
super max oil immersed dol motor starter,True,True,7,3,3,1,1,6,2,14.29%,33.33%,brand,company; use; application; manufacturer; product type; motor type,usage; starter type,super max,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""super max"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""super max"", ""value_also_matches"": true}]","[{""value"": ""super max"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}]"
Sunflag Table Fan Motor,True,True,7,3,2,1,1,6,1,14.29%,33.33%,brand,company; use; application; manufacturer; product type; motor type,usage,sunflag,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""sunflag"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""sunflag"", ""value_also_matches"": true}]","[{""value"": ""sunflag"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}]"
Industrial Motors,True,True,2,1,1,0,0,2,1,0.00%,0.00%,,product type; motor type,usage,,[],[]
