keyword,mcat_name,mcat_id,mcat_accuracy_level
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-5AK00-0SB0 0.12 kW,Siemens Servo Motors,184102,High
SIEMENS SIMOTICS S-1FK2 SERVO MOTER 1FK2106-4AF10-0SA0 2.7 kW,Siemens Servo Motors,184102,High
Servo Motor,Servo Motor,448,High
copper sewing machine motor armature,Sewing Machine Motor Armature,312874,High
cooler motor high speed,Cooler Motor,52897,High
cooler hee motor,Cooler Motor,52897,High
Kerovit Ege Actuation Plate,Actuators,3148,High
ABB Soft Starters,ABB Soft Starters,220182,High
Bullet Farrata Fan Motor,Fan Motor,28231,Medium
happymodel motor,Mitsubishi Servo Motors,184101,Medium
Double Shaft Motor,Double Shaft Motor,139590,High
incubator turning motor,Electric Motor,1274,High
abb motor,ABB Electric Motor,181114,High
2hp single phase motor cg model gf7010,Single Phase Motors,9484,High
2hp single phase motor near kolkata cg model no gf7010,Single Phase Motors,9484,High
100 HP Slip Ring Motor Starter,Slip Ring Starter,149795,High
battery operated pmdc motor,PMDC Motor,52920,High
Automatic Door Motor,Automatic Door Motor,52891,High
Automatic Rolling Shutters Motor,Rolling Shutter Motor,77612,High
Nxu Gear Brake Motor In Pune,Geared Brake Motors,44652,High
Bosch Carbon Brushes,Bosch Carbon Brushes,204469,High
1 piece 750 watt 3000 rpm AC Servo Motor,AC Servo Motor,14970,High
Arun D O L Motor Starter,DOL Starter,26266,High
v12 mobile starter,Mobile Starter,161896,High
1 hp motor,Electric Motor,1274,High
angle grinder armature,Power Tool Armature,653304,Medium
ola motor,Electric Motor,1274,Medium
altistart 22 soft starters,Schneider Soft Starters,220183,High
tawagawa hollow encoder ts 5700n8500,Hollow Shaft Encoders,30451,High
tawagawa hollow encoder ts-5700n8500,Hollow Shaft Encoders,30451,High
actuator model %3A rr a50 d,Actuators,3148,High
86HS120 Two Phase Stepper Motor,Bipolar Stepper Motors,4423,High
86 HS 65 Two Phase Stepper Motor,Bipolar Stepper Motors,4423,High
Ola motot,Electric Motor,1274,Medium
Swing Gate Motor,Gate Motor,29337,High
COPCARBON BRUSH 25X40X10,Carbon Brush,903,High
DC GEAR MOTOR,DC Geared Motor,25556,High
motor-armature,Motor Armature,167444,High
57 HS 22 Two Phase Stepper Motor,Bipolar Stepper Motors,4423,High
57 HS 13 Two Phase Stepper Motor,Bipolar Stepper Motors,4423,High
57 HS 09 Two Phase Stepper Motor,Bipolar Stepper Motors,4423,High
el%20tech%20motors,Series Motor,52924,Medium
Leadshine ISV5713V36 1000 AC Servo Motor,AC Servo Motor,14970,Medium
PDA Sliding Gate Motor,Electric Sliding Gate Motor,52905,High
42 HS 02 Two Phase Stepper Motor,Stepper Motor,18794,High
Jencoder Hollow Type  Rotary Encoder J-50T,Rotary Encoders,36883,Medium
Inverter Duty Induction Motors,Inverter Duty Motor,131724,High
39 HS 02 Two Phase Stepper Motor,Bipolar Stepper Motors,4423,High
aluminium bell,Bell Housing,136623,Medium
spindle-motors,Spindle Motors,38084,High
Schneider Ats48 Soft Starter Repairs,Schneider Soft Starters,220183,High
Jencoder Rotory Encoder : Hollow Type,Hollow Shaft Encoders,30451,Medium
swing starter,Starters,7853,Medium
Rhino 12V DC 30RPM 70Kgcm IG32 Heavy Duty Planetary Geared Motor,Planetary Gear Motor,153816,High
18 inch g c exhaust fan motor housing,Motor Housings,33555,High
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF01-1SB0,Siemens Servo Motors,184102,High
12v bldc,Brushless DC Motor,15240,High
1 Inch Kit Cooler Motor,Cooler Motor,52897,High
Jencoder Hollow Shaft Rotary Encoder J-50T,Hollow Shaft Encoders,30451,High
110HS20 Two Phase Stepper Motor,Bipolar Stepper Motors,4423,High
Toothed Belt Axis Egc-tb,Festo Actuators,203380,Medium
lifting-column-actuator,Linear Actuator,32181,High
Electric Rotary Actuators,Electric Rotary Actuators,183590,High
Single Phase Motors,Single Phase Motors,9484,High
AC Servo Motor,AC Servo Motor,14970,High
Unbalance Motors,Vibration Motor,2743,High
Starters,Starters,7853,High
industrial-electric-motor,Industrial Motors,52915,High
siemens motor,Siemens Electric Motor,184089,High
Marsh Actuators,Marsh Actuators,208012,High
Spindle Motors,Spindle Motors,38084,High
carbon brush size: 08 x 20 x 30mm,Carbon Brush,903,High
1FK2104-6AF01-1SB0,Siemens Servo Motors,184102,High
spal blower motor,Blower Motors,23098,High
VDS Automatic Sliding Gate Motor,Electric Sliding Gate Motor,52905,High
BLDC Motor Sa42bld002 - 3000 Rpm 24vdc 52 Watt,Brushless DC Motor,15240,High
Electric Actuator,Electric Actuator,27216,High
Hollow Shaft Rotary Encoder :Jencoder,Hollow Shaft Encoders,30451,High
75 acrylic square 2 x 2 inch piece Photo print Polaroid Fridge Magnets Neodymium Acrylic,DC Motor,445,Medium
double shaft encoder gear motor,Double Shaft Motor,139590,Medium
960 rpm 1 foot mounted 15 hp three phase electric motor,Three Phase Electric Motor,52930,Medium
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0MB0 1 kW,Siemens Servo Motors,184102,High
Y07-59d1-17155 Stepper Motor,Laser Equipment Parts,80634,High
Schneider Electric BSH0703P11A2A Servo Motor,Servo Motor,448,High
bldc motor,Brushless DC Motor,15240,High
double shaft gear motor,Double Shaft Motor,139590,High
ATS22 Softstarter Repair Service,Starters Repair Service,174217,High
ac bus blower motor 24 v spal,Blower Motors,23098,High
dc motor 8 watt,DC Motor,445,High
crompton-greaves-industrial-motors,Crompton Greaves Industrial Motors,193884,High
bus  ac dual shaft 1330 RPM BLOWER FAN MOTOR,Blower Motors,23098,High
air  conditioning dual shaft 1330 RPM BLOWER FAN MOTOR,Blower Motors,23098,High
Siemens Servo Motors,Siemens Servo Motors,184102,High
Kitchen Chimney Motor,Chimney Motor,446121,High
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-0MA0 2.7 kW,Siemens Servo Motors,184102,High
Slip Ring Motor,Slip Ring Motor,37228,High
Break Motor,Brake Motors,21078,High
3 phase 15hp motor starter,3 Phase Motor Starter,226794,High
DC Carbon,DC Motor Carbon Brushes,133005,High
external motor rotor die casting,Die Cast Rotors,120951,High
c 10 micro 2900 bldc moter,Brushless DC Motor,15240,High
extra power breaker 1 power tool armature,Power Tool Armature,653304,High
Gear Motor,Gear Motor,29373,High
Liquid Resistance Starter,Liquid Resistance Starter,163465,High
a c blower motor spal,Blower Motors,23098,High
1HP Single Phase Godrej Lawkim Foot Mounted,Single Phase Motors,9484,High
Automatic Sliding Gate Motor,Electric Sliding Gate Motor,52905,High
fcma soft starter,Soft Starters,12256,High
three phase 1 mini dol automatic-switch,Motor Automatic Switch,140407,High
push button shutter motor,Rolling Shutter Motor,77612,High
SIEMENS 1LE7501‑1BB23‑5AA4,Siemens Servo Motors,184102,Medium
blower-motors,Blower Motors,23098,High
Servo Motor Repairing Service,Servo Motor Repair,168060,High
Petrosa Starter medium 200 Grams,Dog Food,938,High
automatic switch,Motor Automatic Switch,140407,High
Telescopic Linear Actuators,Linear Actuator,32181,High
speed on  outdoor motar,Air Conditioner Motor,186009,High
Motor Automatic Switch,Motor Automatic Switch,140407,High
speed on outdoor motar,Air Conditioner Motor,186009,High
Crompton Greaves Flameproof IE3 Motor,Crompton Greaves Motor,126348,High
a c blower motor spal 24v,Blower Motors,23098,High
brake motor,Brake Motors,21078,High
star-delta-starter,Star Delta Starter,653300,High
deep vibrator motor,Concrete Vibrator Motor,184082,High
Hydromatik Rexroth A2F-12-Wp6 Hydraulic Piston Motor,Hydraulic Motor,10834,High
vibrator cover,Motor Cover,117875,Medium
Rotork Yt 3300 Smart Positioner,Valve Positioners,40629,High
Concrete Vibrator Motor,Concrete Vibrator Motor,184082,High
blower motors in port blair,Blower Motors,23098,High
Hydromatik A2F-107 Hydraulic Piston Pump Motor,Hydraulic Pump Motor,141877,High
Rexroth A2Fo180,Rexroth Piston Pump,192780,Medium
Brueninghaus Hydromatik Rexroth A2Fm-28/61 Hydraulic Piston Motor,Hydraulic Motor,10834,High
parker hydraulic motor,Hydraulic Motor,10834,High
Kirloskar Three Phase Induction Motor,Three Phase Induction Motor,131725,High
Three Phase Induction Motor,Three Phase Induction Motor,131725,High
Hanning Motor for Bentone Burner,Burner Servo Motors,162318,High
hyundai/kia clutch actuator,Hyundai Car Clutch & Pressure Plate,656114,High
Remi Centrifuge Carbon Brushes,Carbon Brush,903,High
2hp motor,Electric Motor,1274,High
aluminium die cast rotors,Die Cast Rotors,120951,High
bhavani induction motor,Induction Motors,10971,High
DC Motor,DC Motor,445,High
Intermot hydro motors 800cc,Intermot Hydraulic Motor,205463,High
Mobile Starter,Mobile Starter,161896,High
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-0MB0 0.12 kW,Siemens Servo Motors,184102,High
Single Phase Induction Motor,Single Phase Induction Motor,9483,High
5 watts motor rexnord rec-8313-05-a2,AC Motor,444,High
AC Fan Motor,AC Fan Motor,146600,High
helical-geared-motor,Helical Geared Motor,43308,High
three phase electric motor 20 hp 960 rpm,Three Phase Electric Motor,52930,High
three phase electric motor near agra 20 hp 960 rpm,Three Phase Electric Motor,52930,High
gsm mobile starter,Mobile Starter,161896,High
Domestic Appliance Motors,Domestic Appliance Motors,22810,High
schneider soft starter,Schneider Soft Starters,220183,High
Door han,Electric Sliding Gate Motor,52905,Medium
linear-actuators,Linear Actuator,32181,High
Motor Starter,Motor Starter,33567,High
Three Phase Electric Motor,Three Phase Electric Motor,52930,High
l t mpower pro mobile motor starter,Mobile Starter,161896,Medium
Kenstar Air Cooler Motor With Pump,Kenstar Cooler Motor,658622,High
Three Phase Motor,Three Phase Motor,2415,High
Pneumatic Actuators,Pneumatic Actuators,5084,High
Crane Duty Geared Motor With Brake,Geared Brake Motors,44652,High
1000 n (100 kg) 1 100 mm 24 v telescopic linear actuators,Linear Actuator,32181,High
Pneumatic Rotary Actuators,Pneumatic Rotary Actuators,183587,High
Petrosa Starter medium,Starters,7853,Medium
Pneumatic Rotary Actuator,Pneumatic Rotary Actuators,183587,High
Shade Pole Rexnord c Frame Motor Rec-6110-A2,Shaded Pole Motors,36931,High
dc motor bush,DC Brush Motor,25364,Medium
crompton motors 20 hp 3 phase 960 rpm,Crompton Greaves Motor,126348,High
geared motors,Gear Motor,29373,High
ball screw or belt driven actuator,Ball Screw Actuators,22519,High
Die Cast Rotors,Die Cast Rotors,120951,High
Crompton Greaves Motor,Crompton Greaves Motor,126348,High
automation switches,Motor Automatic Switch,140407,High
क्लीनर प्रोडक्ट के लिए केमिकल कहां मिलता है,E-Learning Solution,45998,Medium
Aluminium Bell Housing,Bell Housing,136623,High
crompton motors 20 hp 3 phase near khair 960 rpm,Crompton Greaves Motor,126348,High
SIEMENS 1FL6064-1AC61-2LA1 SIMOTICS S-1FL6-1FL6 Operating voltage 3AC 400 V,Siemens Servo Motors,184102,High
Danfoss/Eaton Char-Lynn 2000 series,Hydraulic Motor,10834,Medium
crompton greaves motors 20 hp 3 phase,Crompton Greaves Motor,126348,High
Landt Motor Starter Mk1 Direct On Line (dol) (mk1 Dol 9-14 A.),DOL Starter,26266,High
fdhhdfh,FHP Motor,446,Medium
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR  1FK2106-4AF01-1SA0 2.7 kW,Siemens Servo Motors,184102,High
Vibration Motor,Vibration Motor,2743,High
Remi Geared Motor,Remi Geared Motor,193182,High
Tata Signa Bs4 Blower Motor,Blower Motors,23098,High
Allen Bradley SMC-3 43A Smart Motor starer,Allen Bradley Soft Starters,220186,High
skill-3220-armature-powerbilt(9683),Power Tool Armature,653304,High
50W Wall Fan Motor,Fan Motor,28231,High
m9mz90g4yga panasonic gear motor /90watt/ three phase,Panasonic Geared Motor,193206,High
ll braider soft starer,Siemens Soft Starters,220184,Medium
kollmorgen servo motors akm63k-anc2r-00,KOLLMORGEN Servo Motors,271284,High
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-1MB0 0.12 kW,Siemens Servo Motors,184102,High
Crane Current Collector Carbon Brush,Crane Current Collector,443328,High
Pneumatic Actuatos,Pneumatic Actuators,5084,High
1440 rpm three phase 9841043643 3 hp crompton greaves motor,Crompton Greaves Motor,126348,High
horse power,FHP Motor,446,High
Terminal plate,Motor Terminal Plate,137749,High
dc brake motors in mumbai,Brake Motors,21078,High
hindustan ac motor,Hindustan AC Motor,203386,High
24 inch three phase 4 exhaust fan fibre,Exhaust Fan Motor,28080,High
panasonic-ac-servo-motor,Panasonic AC Servo Motor,187161,High
three phase 1 piece 5 hp 2800 rpm 3.7 KW 5HP Crompton Greaves Motor 1500 rpm,Crompton Greaves Motor,126348,High
3 Phase Motor Starter,3 Phase Motor Starter,226794,High
0.5 hp motor,Electric Motor,1274,High
ac-fan-motor,AC Fan Motor,146600,High
L&T Mpower Pro Mobile Motor Starter,Mobile Starter,161896,High
linear actuator purlin,Linear Actuator,32181,High
1 piece Allen Bradley Soft Starters,Allen Bradley Soft Starters,220186,High
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2210-3AB01-1SB0 4.5 kW,Siemens Servo Motors,184102,High
dg geared motor,Gear Motor,29373,High
Alternator Stator Core,Alternator Stator Core,155572,High
servo motors repairs,Servo Motor Repair,168060,High
Motor Carbon Brushes,Carbon Brush,903,High
Pmdc Stirrer Motor,Stirrer Motor,142027,High
dol-starter,DOL Starter,26266,High
Fan Motor,Fan Motor,28231,High
Three Phase Motors Crompton Greaves,Crompton Greaves Motor,126348,High
TR 7 25x50 Holder,Carbon Brush Holder,55772,Medium
End Shield Cover,Motor Cover,117875,High
three phase 3.7 kw crompton greaves induction motor,Crompton Greaves Motor,126348,Medium
1 for business use piece 22 kw Allen Bradley 150-C43NBD SMC-3 Soft Starter 43A 480V 3-Phase 100-240V AC Control,Allen Bradley Soft Starters,220186,High
3.7 kw crompton greaves induction motor,Crompton Induction Motors,203369,High
Direct On Line Starter DOL Motor Starter (DMC),DOL Starter,26266,High
crompton greaves induction motor,Crompton Induction Motors,203369,High
three phase-motors,Three Phase Motor,2415,High
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0MB0,Siemens Servo Motors,184102,High
Stators,Stators,7863,High
1 fan motor,Fan Motor,28231,High
Makita MT-958 Armature By PowerSpeed,Armature,25,High
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF01-1MA0  2.7 kW,Siemens Servo Motors,184102,High
KOLLMORGEN Servo Motors,KOLLMORGEN Servo Motors,271284,High
10 HP Transtech Gear Electric Motor,Electric Gear Motor,52906,High
Hollow Shaft Type Incremental Rotary Encoder,Hollow Shaft Encoders,30451,High
Ti Motion Linear Actuator,Linear Actuator,32181,High
Rhino+12V+DC+30RPM+70Kgcm+IG32+Heavy+Duty+Planetary+Geared+Motor,Planetary Gear Motor,153816,High
1FK2104-6AF10-0MB0,Siemens Servo Motors,184102,High
dual shaft 1330 RPM BLOWER FAN MOTOR,Blower Motors,23098,Medium
Worm Geared Motor,Worm Geared Motor,41500,High
3 Phase Electric Motor,Three Phase Electric Motor,52930,High
linear 1 festo actuators,Festo Actuators,203380,High
FL57BLS01-24V-10000A- Regular BLDC Motor,Brushless DC Motor,15240,High
starter,Starters,7853,High
motor starter controller,Motor Starter,33567,High
EG224 Grade DC Motor Carbon Brush,DC Motor Carbon Brushes,133005,High
mini motors,Electric Motor,1274,High
Air Vane Motor,Air Vane Motor,84523,High
1 HP Impel VGGH25 Electric Motor,Electric Motor,1274,High
dc fan motor 15 20 watt,Fan Motor,28231,High
fan motor 25 30 watt,Fan Motor,28231,High
3-phase-motor-starter,3 Phase Motor Starter,226794,High
Electric Motors and Components,Motor Parts,150022,High
three phase l&t mpower pro mobile motor starter,3 Phase Motor Starter,226794,High
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF10-0SB0 1 kW,Siemens Servo Motors,184102,High
Motor Terminal Plate,Motor Terminal Plate,137749,High
1 hp bench polisher motor,Polisher Motor,106938,High
Air Conditioner Motor,Air Conditioner Motor,186009,High
partition frames for motor,Traction Motor Frame,117965,High
FL28STH51-0674AF-Hybrid Stepper Motor,Hybrid Stepper Motor,15599,High
Electrical carbon Brushes,Electro Graphite Carbon Brush,133002,High
Vibratory Motor Foot Mounted,Vibration Motor,2743,High
Omp Series Orbital Motors,Orbit Hydraulic Motor,205464,High
Hydraulic Motor bmr,Orbit Hydraulic Motor,205464,High
25 Amp Motor Starter Fresh Material,Motor Starter,33567,High
M S Hydraulic Motor,Hydraulic Motor,10834,High
Jyoti Motor Starter And Starter Oil Set,Oil Starter,142116,High
FL57BL01-24V-1500AD Brushless Motor,Brushless Motors,23616,High
MIG PMDC MOTOR 24V/42V,PMDC Motor,52920,High
500 rpm mig pmdc motor 24v/42v,PMDC Motor,52920,High
2 hp three phase motor,Three Phase Motor,2415,High
Havells Electric Motor,Havells Electric Motor,189725,High
2 200 w chimney motor,Chimney Motor,446121,High
Synchronous Motor,Synchronous Motor,18917,High
