success,query,ground_truth_attr_count,ground_truth_isq_list,ground_truth_isq_pipe,api_version,raw_response
True,mango bags jute material,2,"['jute:material:specification', 'mango bags:product:specification']",jute:material:specification | mango bags:product:specification,1.0,"{'api_version': '1.0', 'attributes': {'bags jute': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'bags jute', 'attr_value_id': '-', 'char_offset': '6', 'model': 'probable-product', 'word_offset': '1'}, 'jute': {'attr_meta': {}, 'attr_name': 'material', 'attr_type': 'specification', 'attr_value': 'jute', 'attr_value_id': '-', 'char_offset': '11', 'model': 'q-means/2.0.1', 'word_offset': '2'}, 'jute material': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'jute material', 'attr_value_id': '-', 'char_offset': '11', 'model': 'probable-product', 'word_offset': '2'}, 'mango bags': {'attr_meta': {}, 'attr_name': 'product', 'attr_type': 'specification', 'attr_value': 'mango bags', 'attr_value_id': '-', 'char_offset': '0', 'model': 'dictionary', 'word_offset': '0'}}, 'banned_status': 'not_banned', 'models_executed': {'attr-v2': {'enabled': True, 'response_time_ms': 8.49, 'status': 'success'}, 'probable-product': {'enabled': True, 'response_time_ms': 11.4, 'status': 'success'}, 'q-means/2.0.1': {'enabled': True, 'response_time_ms': 21.05, 'status': 'success'}}, 'response_code': 200, 'response_time': 27.27, 'timeout': False}"
True,mango bags for storage,1,['mango bags:product:specification'],mango bags:product:specification,1.0,"{'api_version': '1.0', 'attributes': {'mango bags': {'attr_meta': {}, 'attr_name': 'product', 'attr_type': 'specification', 'attr_value': 'mango bags', 'attr_value_id': '-', 'char_offset': '0', 'model': 'dictionary', 'word_offset': '0'}, 'storage': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'storage', 'attr_value_id': '-', 'char_offset': '15', 'model': 'probable-product', 'others': [{'attr_meta': {}, 'attr_name': 'usage', 'attr_type': 'specification', 'attr_value': 'storage', 'attr_value_id': '-', 'model': 'q-means/2.0.1'}], 'word_offset': '3'}}, 'banned_status': 'not_banned', 'models_executed': {'attr-v2': {'enabled': True, 'response_time_ms': 9.09, 'status': 'success'}, 'probable-product': {'enabled': True, 'response_time_ms': 14.61, 'status': 'success'}, 'q-means/2.0.1': {'enabled': True, 'response_time_ms': 21.01, 'status': 'success'}}, 'response_code': 200, 'response_time': 26.4, 'timeout': False}"
True,mango bags plastic 5 kg capacity,2,"['mango bags:product:specification', 'plastic:material:specification']",mango bags:product:specification | plastic:material:specification,1.0,"{'api_version': '1.0', 'attributes': {'5 kg': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'unit', 'attr_value': '5 kg', 'attr_value_id': '-', 'char_offset': '19', 'model': 'attr-v2', 'others': [{'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': '5 kg', 'attr_value_id': '-', 'model': 'probable-product'}, {'attr_meta': {}, 'attr_name': 'capacity', 'attr_type': 'specification', 'attr_value': '5 kg', 'attr_value_id': '-', 'model': 'q-means/2.0.1'}], 'word_offset': '3'}, 'bags plastic': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'bags plastic', 'attr_value_id': '-', 'char_offset': '6', 'model': 'probable-product', 'word_offset': '1'}, 'mango bags': {'attr_meta': {}, 'attr_name': 'product', 'attr_type': 'specification', 'attr_value': 'mango bags', 'attr_value_id': '-', 'char_offset': '0', 'model': 'dictionary', 'word_offset': '0'}, 'plastic': {'attr_meta': {}, 'attr_name': 'material', 'attr_type': 'specification', 'attr_value': 'plastic', 'attr_value_id': '-', 'char_offset': '11', 'model': 'q-means/2.0.1', 'word_offset': '2'}, 'plastic 5': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'plastic 5', 'attr_value_id': '-', 'char_offset': '11', 'model': 'probable-product', 'word_offset': '2'}}, 'banned_status': 'not_banned', 'models_executed': {'attr-v2': {'enabled': True, 'response_time_ms': 8.52, 'status': 'success'}, 'probable-product': {'enabled': True, 'response_time_ms': 12.86, 'status': 'success'}, 'q-means/2.0.1': {'enabled': True, 'response_time_ms': 21.05, 'status': 'success'}}, 'response_code': 200, 'response_time': 26.28, 'timeout': False}"
True,eco friendly mango bags,1,['mango bags:product:specification'],mango bags:product:specification,1.0,"{'api_version': '1.0', 'attributes': {'eco friendly': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'eco friendly', 'attr_value_id': '-', 'char_offset': '0', 'model': 'probable-product', 'others': [{'attr_meta': {}, 'attr_name': 'features', 'attr_type': 'specification', 'attr_value': 'eco friendly', 'attr_value_id': '-', 'model': 'q-means/2.0.1'}], 'word_offset': '0'}, 'mango bags': {'attr_meta': {}, 'attr_name': 'product', 'attr_type': 'specification', 'attr_value': 'mango bags', 'attr_value_id': '-', 'char_offset': '13', 'model': 'dictionary', 'word_offset': '2'}}, 'banned_status': 'not_banned', 'models_executed': {'attr-v2': {'enabled': True, 'response_time_ms': 66.54, 'status': 'success'}, 'probable-product': {'enabled': True, 'response_time_ms': 70.36, 'status': 'success'}, 'q-means/2.0.1': {'enabled': True, 'response_time_ms': 59.53, 'status': 'success'}}, 'response_code': 200, 'response_time': 122.38, 'timeout': False}"
True,printed mango bags wholesale,2,"['mango bags:product:specification', 'printed:pattern:specification']",mango bags:product:specification | printed:pattern:specification,1.0,"{'api_version': '1.0', 'attributes': {'bags wholesale': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'bags wholesale', 'attr_value_id': '-', 'char_offset': '14', 'model': 'probable-product', 'word_offset': '2'}, 'mango bags': {'attr_meta': {}, 'attr_name': 'product', 'attr_type': 'specification', 'attr_value': 'mango bags', 'attr_value_id': '-', 'char_offset': '8', 'model': 'dictionary', 'word_offset': '1'}, 'printed': {'attr_meta': {}, 'attr_name': 'pattern', 'attr_type': 'specification', 'attr_value': 'printed', 'attr_value_id': '-', 'char_offset': '0', 'model': 'q-means/2.0.1', 'word_offset': '0'}, 'wholesale': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'biztype', 'attr_value': 'wholesaler', 'attr_value_id': '30', 'char_offset': '19', 'model': 'attr-v2', 'others': [{'attr_meta': {}, 'attr_name': 'business type', 'attr_type': 'specification', 'attr_value': 'wholesale', 'attr_value_id': '-', 'model': 'q-means/2.0.1'}], 'word_offset': '3'}}, 'banned_status': 'not_banned', 'models_executed': {'attr-v2': {'enabled': True, 'response_time_ms': 10.21, 'status': 'success'}, 'probable-product': {'enabled': True, 'response_time_ms': 11.44, 'status': 'success'}, 'q-means/2.0.1': {'enabled': True, 'response_time_ms': 23.01, 'status': 'success'}}, 'response_code': 200, 'response_time': 28.32, 'timeout': False}"
True,mango bags with handles,1,['mango bags:product:specification'],mango bags:product:specification,1.0,"{'api_version': '1.0', 'attributes': {'handles': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'handles', 'attr_value_id': '-', 'char_offset': '16', 'model': 'probable-product', 'word_offset': '3'}, 'mango bags': {'attr_meta': {}, 'attr_name': 'product', 'attr_type': 'specification', 'attr_value': 'mango bags', 'attr_value_id': '-', 'char_offset': '0', 'model': 'dictionary', 'word_offset': '0'}}, 'banned_status': 'not_banned', 'models_executed': {'attr-v2': {'enabled': True, 'response_time_ms': 6.81, 'status': 'success'}, 'probable-product': {'enabled': True, 'response_time_ms': 15.79, 'status': 'success'}, 'q-means/2.0.1': {'enabled': True, 'response_time_ms': 25.49, 'status': 'success'}}, 'response_code': 200, 'response_time': 31.19, 'timeout': False}"
True,mango bags net type,1,['mango bags:product:specification'],mango bags:product:specification,1.0,"{'api_version': '1.0', 'attributes': {'bags net': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'bags net', 'attr_value_id': '-', 'char_offset': '6', 'model': 'probable-product', 'word_offset': '1'}, 'mango bags': {'attr_meta': {}, 'attr_name': 'product', 'attr_type': 'specification', 'attr_value': 'mango bags', 'attr_value_id': '-', 'char_offset': '0', 'model': 'dictionary', 'word_offset': '0'}, 'type': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'type', 'attr_value_id': '-', 'char_offset': '15', 'model': 'probable-product', 'word_offset': '3'}}, 'banned_status': 'not_banned', 'models_executed': {'attr-v2': {'enabled': True, 'response_time_ms': 8.53, 'status': 'success'}, 'probable-product': {'enabled': True, 'response_time_ms': 11.64, 'status': 'success'}, 'q-means/2.0.1': {'enabled': True, 'response_time_ms': 23.05, 'status': 'success'}}, 'response_code': 200, 'response_time': 28.2, 'timeout': False}"
True,mango bags paper material,2,"['mango bags:product:specification', 'paper:material:specification']",mango bags:product:specification | paper:material:specification,1.0,"{'api_version': '1.0', 'attributes': {'bags paper': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'bags paper', 'attr_value_id': '-', 'char_offset': '6', 'model': 'probable-product', 'word_offset': '1'}, 'mango bags': {'attr_meta': {}, 'attr_name': 'product', 'attr_type': 'specification', 'attr_value': 'mango bags', 'attr_value_id': '-', 'char_offset': '0', 'model': 'dictionary', 'word_offset': '0'}, 'paper': {'attr_meta': {}, 'attr_name': 'material', 'attr_type': 'specification', 'attr_value': 'paper', 'attr_value_id': '-', 'char_offset': '11', 'model': 'q-means/2.0.1', 'word_offset': '2'}, 'paper material': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'paper material', 'attr_value_id': '-', 'char_offset': '11', 'model': 'probable-product', 'word_offset': '2'}}, 'banned_status': 'not_banned', 'models_executed': {'attr-v2': {'enabled': True, 'response_time_ms': 8.01, 'status': 'success'}, 'probable-product': {'enabled': True, 'response_time_ms': 11.2, 'status': 'success'}, 'q-means/2.0.1': {'enabled': True, 'response_time_ms': 28.94, 'status': 'success'}}, 'response_code': 200, 'response_time': 34.27, 'timeout': False}"
True,mango bags exporters,1,['mango bags:product:specification'],mango bags:product:specification,1.0,"{'api_version': '1.0', 'attributes': {'exporters': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'biztype', 'attr_value': 'exporter', 'attr_value_id': '20', 'char_offset': '11', 'model': 'attr-v2', 'others': [{'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'exporters', 'attr_value_id': '-', 'model': 'probable-product'}], 'word_offset': '2'}, 'mango bags': {'attr_meta': {}, 'attr_name': 'product', 'attr_type': 'specification', 'attr_value': 'mango bags', 'attr_value_id': '-', 'char_offset': '0', 'model': 'dictionary', 'word_offset': '0'}}, 'banned_status': 'not_banned', 'models_executed': {'attr-v2': {'enabled': True, 'response_time_ms': 8.89, 'status': 'success'}, 'probable-product': {'enabled': True, 'response_time_ms': 11.53, 'status': 'success'}, 'q-means/2.0.1': {'enabled': True, 'response_time_ms': 22.28, 'status': 'success'}}, 'response_code': 200, 'response_time': 25.99, 'timeout': False}"
True,reusable mango bags set of 10,2,"['10:set contains:specification', 'mango bags:product:specification']",10:set contains:specification | mango bags:product:specification,1.0,"{'api_version': '1.0', 'attributes': {'10': {'attr_meta': {}, 'attr_name': 'set contains', 'attr_type': 'specification', 'attr_value': '10', 'attr_value_id': '-', 'char_offset': '27', 'model': 'q-means/2.0.1', 'word_offset': '5'}, 'bags set': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'bags set', 'attr_value_id': '-', 'char_offset': '15', 'model': 'probable-product', 'word_offset': '2'}, 'mango bags': {'attr_meta': {}, 'attr_name': 'product', 'attr_type': 'specification', 'attr_value': 'mango bags', 'attr_value_id': '-', 'char_offset': '9', 'model': 'dictionary', 'word_offset': '1'}}, 'banned_status': 'not_banned', 'models_executed': {'attr-v2': {'enabled': True, 'response_time_ms': 10.08, 'status': 'success'}, 'probable-product': {'enabled': True, 'response_time_ms': 19.41, 'status': 'success'}, 'q-means/2.0.1': {'enabled': True, 'response_time_ms': 25.29, 'status': 'success'}}, 'response_code': 200, 'response_time': 31.88, 'timeout': False}"
