keyword,api_mcat_name,api_mcat_id,api_accuracy,trans_mcat_name,trans_mcat_id,trans_vs_api_id,trans_vs_api_name,unsloth_mcat_name,unsloth_mcat_id,unsloth_vs_api_id,unsloth_vs_api_name,trans_vs_unsloth_id,all_three_agree
ABB Electric Motor,ABB Electric Motor,181114,High,ABB Electric Motor,181114,MATCH,MATCH,ABB Electric Motor,181114,MATCH,MATCH,MATCH,YES
sensor plate,Motor Plate,190101,High,Motor Plate,190101,MATCH,MATCH,Motor Plate,190101,MATCH,MATCH,MATCH,YES
electronic components bo moters,Battery Operated Motor,52893,High,Servo Motor,448,DIFF,DIFF,DC Motor,445,DIFF,DIFF,DIFF,NO
1500 kv ccw multirotor motor,Rotor mounted Motor,36904,High,Brushless Motors,23616,DIFF,DIFF,Brushless Motors,23616,DIFF,DIFF,MATCH,NO
Panasonic Geared Motor,Panasonic Geared Motor,193206,High,Panasonic AC Geared Motor,193206,MATCH,DIFF,Panasonic AC Geared Motor,193239,DIFF,DIFF,DIFF,NO
worm geared brake motor,Worm Geared Motor,41500,High,Geared Brake Motors,44652,DIFF,DIFF,Geared Brake Motors,44652,DIFF,DIFF,MATCH,NO
eletical motors 40hp,Electric Motor,1274,High,Electric Motor,1274,MATCH,MATCH,Three Phase Motor,2415,DIFF,DIFF,DIFF,NO
Rotomotive Induction Motor 3 Phase,Three Phase Induction Motor,131725,High,Three Phase Induction Motor,131725,MATCH,MATCH,Three Phase Induction Motor,131725,MATCH,MATCH,MATCH,YES
100 W Chimney Motor,Chimney Motor,446121,High,Chimney Motors,186074,DIFF,DIFF,Chimney Motors,443256,DIFF,DIFF,DIFF,NO
1 for reselling piece Panasonic Geared Motor,Panasonic Geared Motor,193206,High,Panasonic Geared Motor,187161,DIFF,MATCH,Panasonic AC Geared Motor,187161,DIFF,DIFF,MATCH,NO
Motor Cover,Motor Cover,117875,High,Motor Cover,117875,MATCH,MATCH,Motor Cover,117875,MATCH,MATCH,MATCH,YES
b04420065,Pneumatic Actuators,5084,Medium,Cooler Motor,52897,DIFF,DIFF,Single Phase Induction Motor,9483,DIFF,DIFF,DIFF,NO
1 piece Slip Rings,Slip Rings,37229,High,Slip Rings,37229,MATCH,MATCH,Slip Rings,37229,MATCH,MATCH,MATCH,YES
venex 3 phase dol motor starter,DOL Starter,26266,High,DOL Starter,26266,MATCH,MATCH,DOL Starter,26266,MATCH,MATCH,MATCH,YES
Used Crompton Greaves Motor,Crompton Greaves Motor,126348,High,Used Motors,60115,DIFF,DIFF,Used Motors,178664,DIFF,DIFF,DIFF,NO
Mobile Starter Prime,Mobile Starter,161896,High,Mobile Starter,161896,MATCH,MATCH,Mobile Starter,161896,MATCH,MATCH,MATCH,YES
1kw( 1.3hp) bldc motor,Brushless DC Motor,15240,High,Brushless DC Motor,15240,MATCH,MATCH,Brushless DC Motor,15240,MATCH,MATCH,MATCH,YES
1kw( 1.3hp) bldc motor near jharsuguda,Brushless DC Motor,15240,High,Brushless DC Motor,15240,MATCH,MATCH,Brushless DC Motor,15240,MATCH,MATCH,MATCH,YES
spg motor,Gear Motor,29373,High,Single Phase Motors,9484,DIFF,DIFF,Single Phase Motors,9484,DIFF,DIFF,MATCH,NO
crompton greaves motor 5 hp 3.70 kw 3 phase 1450 rpm foot mount,Crompton Greaves Motor,126348,High,Crompton Greaves Motor,126348,MATCH,MATCH,Crompton Greaves Motor,126348,MATCH,MATCH,MATCH,YES
Vacuum Cleaner Motors,Vacuum Cleaner Motors,40749,High,Vacuum Cleaner Motors,40749,MATCH,MATCH,Vacuum Cleaner Motors,40749,MATCH,MATCH,MATCH,YES
Siemens Electric Three Phase Motor,Siemens Electric Motor,184089,High,Siemens Electric Motor,184089,MATCH,MATCH,Siemens Electric Motor,184089,MATCH,MATCH,MATCH,YES
panasonic gear box MY9G30B,Panasonic Geared Motor,193206,High,Panasonic Geared Motor,193206,MATCH,MATCH,Panasonic AC Servo Motor,187161,DIFF,DIFF,DIFF,NO
Three Phase Dol Starter (elcw-s-digi),DOL Starter,26266,High,DOL Starter,26266,MATCH,MATCH,DOL Starter,26266,MATCH,MATCH,MATCH,YES
Motor Plate,Motor Plate,190101,High,Motor Plate,190101,MATCH,MATCH,Motor Plate,190101,MATCH,MATCH,MATCH,YES
three phase dol dry run motor starter,DOL Starter,26266,High,3 Phase Motor Starter,226794,DIFF,DIFF,DOL Starter,26266,MATCH,MATCH,DIFF,NO
Single Phase Electric Motor,Single Phase Electric Motor,52927,High,Single Phase Electric Motor,52927,MATCH,MATCH,Single Phase Motors,9484,DIFF,DIFF,DIFF,NO
auto switch,Motor Automatic Switch,140407,High,Motor Automatic Switch,140407,MATCH,MATCH,Motor Automatic Switch,140407,MATCH,MATCH,MATCH,YES
Mdt Knx Actuator Automation Products Dealer,KNX Actuators,653163,High,Knx Actuator,184089,DIFF,DIFF,Knx Actuators,184101,DIFF,MATCH,DIFF,NO
Three Phase DOL  Auto Switch With Timer With Connector (Rocker Switch),Motor Automatic Switch,140407,High,DOL Starter,26266,DIFF,DIFF,DOL Starter,26266,DIFF,DIFF,MATCH,NO
Hydraulic Motor,Hydraulic Motor,10834,High,Hydraulic Motor,10834,MATCH,MATCH,Hydraulic Motor,10834,MATCH,MATCH,MATCH,YES
sliding door motor,Door Motor,52902,High,Automatic Door Motor,52891,DIFF,DIFF,Door Motor,52902,MATCH,MATCH,DIFF,NO
solenoid-switches,Solenoid Switches,7646,High,Solenoid Switches,7646,MATCH,MATCH,Solenoid Switches,7646,MATCH,MATCH,MATCH,YES
symphony air cooler motor,Cooler Motor,52897,High,Cooler Motor,52897,MATCH,MATCH,Cooler Motor,52897,MATCH,MATCH,MATCH,YES
PBL Geared Motors,PBL Geared Motors,206096,High,PBL Geared Motors,206096,MATCH,MATCH,PBL Geared Motors,206096,MATCH,MATCH,MATCH,YES
super max oil immersed dol motor starter,DOL Starter,26266,High,Motor Starter,33567,DIFF,DIFF,DOL Starter,26266,MATCH,MATCH,DIFF,NO
Sunflag Table Fan Motor,Fan Motor,28231,High,Fan Motor,28231,MATCH,MATCH,Fan Motor,28231,MATCH,MATCH,MATCH,YES
Industrial Motors,Industrial Motors,52915,High,Industrial Motors,52915,MATCH,MATCH,Industrial Motors,52915,MATCH,MATCH,MATCH,YES
crompton 3 phase motor 7.5 hp i3,Crompton Greaves Motor,126348,Medium,Crompton Greaves Motor,126348,MATCH,MATCH,Crompton Greaves Motor,126348,MATCH,MATCH,MATCH,YES
linear actuator control board,Linear Actuator,32181,High,Linear Actuator Controller,183593,DIFF,DIFF,Linear Actuator Controller,166531,DIFF,DIFF,DIFF,NO
panasonic gar box,Panasonic Geared Motor,193206,Medium,Gear Motor,29373,DIFF,DIFF,Gear Motor,29373,DIFF,DIFF,MATCH,NO
ड्रोन डीसी मोटर,DC Motor,445,Medium,DC Motor,445,MATCH,MATCH,DC Motor,445,MATCH,MATCH,MATCH,YES
single phase servo motor,Servo Motor,448,High,Single Phase Servo Motor,184116,DIFF,DIFF,DC Servo Motor,13275,DIFF,DIFF,DIFF,NO
single phase mild steel geared motor,Gear Motor,29373,High,Electric Gear Motor,52906,DIFF,DIFF,Single Phase Motors,9484,DIFF,DIFF,DIFF,NO
Gold Power Single Phase Induction Motor,Single Phase Induction Motor,9483,High,Single Phase Induction Motor,9483,MATCH,MATCH,Single Phase Induction Motor,9483,MATCH,MATCH,MATCH,YES
Siemens 3TW72911AW78,Siemens DOL Starter,654653,High,Siemens Servo Motors,184102,DIFF,DIFF,Siemens Servo Motors,184102,DIFF,DIFF,MATCH,NO
Siemens 3TW72911AW74,Siemens DOL Starter,654653,High,Siemens Servo Motors,184102,DIFF,DIFF,Siemens Servo Motors,184102,DIFF,DIFF,MATCH,NO
Siemens 3TW72911AW72,Siemens DOL Starter,654653,High,Siemens Servo Motors,184102,DIFF,DIFF,Siemens Servo Motors,184102,DIFF,DIFF,MATCH,NO
Siemens 3TW72911AW71,Siemens DOL Starter,654653,High,Siemens Servo Motors,184102,DIFF,DIFF,Siemens Servo Motors,184102,DIFF,DIFF,MATCH,NO
Vertical Hollow Shaft Motor Service,Vertical Hollow Shaft Motor,44655,High,Vertical Hollow Shaft Motor,44655,MATCH,MATCH,Vertical Hollow Shaft Motor,44655,MATCH,MATCH,MATCH,YES
Siemens 3TW72911AW69,Siemens DOL Starter,654653,High,Siemens Servo Motors,184102,DIFF,DIFF,Siemens Servo Motors,184102,DIFF,DIFF,MATCH,NO
Siemens 3TW72911AW68,Siemens DOL Starter,654653,High,Siemens Servo Motors,184102,DIFF,DIFF,Siemens Servo Motors,184102,DIFF,DIFF,MATCH,NO
Siemens 3TW72911AW66,Siemens DOL Starter,654653,High,Siemens Servo Motors,184102,DIFF,DIFF,Siemens Servo Motors,184102,DIFF,DIFF,MATCH,NO
Siemens 3TW72911AW64,Siemens DOL Starter,654653,High,Siemens Servo Motors,184102,DIFF,DIFF,Siemens Servo Motors,184102,DIFF,DIFF,MATCH,NO
100 HP to 2000 HP  Slip Ring Motor Starter,Slip Ring Starter,149795,High,Slip Ring Motor Starter,653300,DIFF,DIFF,Slip Ring Motor Starter,446528,DIFF,DIFF,DIFF,NO
Crompton Single Phase Electric Motor,Crompton Motors,446133,High,Crompton Greaves Motor,126348,DIFF,DIFF,Crompton Greaves Motor,126348,DIFF,DIFF,MATCH,NO
6 for business use piece electronic Valve Positioners,Valve Positioners,40629,High,Valve Positioners,40629,MATCH,MATCH,Valve Positioners,40629,MATCH,MATCH,MATCH,YES
drondch motor,Electric Motor,1274,High,Brushless Motors,23616,DIFF,DIFF,DC Motor,445,DIFF,DIFF,DIFF,NO
STP-43D2035 Stepper Motor,Stepper Motor,18794,High,Bipolar Stepper Motors,4423,DIFF,DIFF,Stepper Motor,18794,MATCH,MATCH,DIFF,NO
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0,Siemens Servo Motors,184102,High,Siemens Servo Motors,184102,MATCH,MATCH,Siemens Servo Motors,184102,MATCH,MATCH,MATCH,YES
Crompton 0.5hp Motor,Crompton Motors,446133,High,Crompton Greaves Motor,126348,DIFF,DIFF,Crompton Motors,446133,MATCH,MATCH,DIFF,NO
Jencode Hollow Shaft Encoder,Hollow Shaft Encoders,30451,High,Hollow Shaft Encoders,30451,MATCH,MATCH,Hollow Shaft Encoders,30451,MATCH,MATCH,MATCH,YES
AC MOTARS,AC Motor,444,High,AC Motor,444,MATCH,MATCH,AC Motor,444,MATCH,MATCH,MATCH,YES
Hadrulicl Power motar,Hydraulic Motor,10834,High,Hydraulic Motor,10834,MATCH,MATCH,Hydraulic Motor,10834,MATCH,MATCH,MATCH,YES
RC Car Brushless ESC Platinum Edition 120A,Brushless Motors,23616,High,Brushless ESC,121391,DIFF,DIFF,Brushless Speed Controller,15240,DIFF,DIFF,DIFF,NO
RPG15Q Motor,Air Conditioner Motor,186009,High,Three Phase Electric Motor,52930,DIFF,DIFF,AC Servo Motor,14970,DIFF,DIFF,DIFF,NO
Honeywell V4055 Fuild Power Actuator,Fluid Power Actuators,28339,High,Honeywell Actuators,203382,DIFF,DIFF,Honeywell Actuators,203382,DIFF,DIFF,MATCH,NO
servo motor .,Servo Motor,448,High,AC Servo Motor,14970,DIFF,DIFF,AC Servo Motor,14970,DIFF,DIFF,MATCH,NO
L & T SOFT STARTOR,Soft Starters,12256,High,Soft Starters,12256,MATCH,MATCH,Soft Starters,12256,MATCH,MATCH,MATCH,YES
775 dc motor,DC Motor,445,High,DC Motor,445,MATCH,MATCH,DC Motor,445,MATCH,MATCH,MATCH,YES
Brake Motors,Brake Motors,21078,High,Brake Motors,21078,MATCH,MATCH,Brake Motors,21078,MATCH,MATCH,MATCH,YES
1FK2104-6AF01-1MB0,Siemens Servo Motors,184102,High,Siemens Servo Motors,184102,MATCH,MATCH,Siemens Servo Motors,184102,MATCH,MATCH,MATCH,YES
Electric Motor,Three Phase Electric Motor,52930,Medium,Electric Motor,1274,DIFF,DIFF,Electric Motor,1274,DIFF,DIFF,MATCH,NO
3 phase 415 V 0.09KW Motor,Three Phase Motor,2415,High,Three Phase Electric Motor,52930,DIFF,DIFF,Three Phase Electric Motor,52930,DIFF,DIFF,MATCH,NO
crompton motors crompton motor 5 hp single phase near patna,Crompton Motors,446133,High,Crompton Greaves Motor,126348,DIFF,DIFF,Crompton Greaves Motor,126348,DIFF,DIFF,MATCH,NO
12v 775 Dc Motor,DC Motor,445,High,DC Micro Motors,25372,DIFF,DIFF,DC Micro Motors,25372,DIFF,DIFF,MATCH,NO
Linear Actuator,Linear Actuator,32181,High,Linear Actuator,32181,MATCH,MATCH,Linear Actuator,32181,MATCH,MATCH,MATCH,YES
Gold Power Single Phase Induction Motor,Single Phase Induction Motor,9483,High,Single Phase Induction Motor,9483,MATCH,MATCH,Single Phase Induction Motor,9483,MATCH,MATCH,MATCH,YES
dc motors,DC Motor,445,High,DC Motor,445,MATCH,MATCH,DC Motor,445,MATCH,MATCH,MATCH,YES
dol starter,DOL Starter,26266,High,DOL Starter,26266,MATCH,MATCH,DOL Starter,26266,MATCH,MATCH,MATCH,YES
Wages Patti,Mixer Grinder Motor,84526,Medium,Industrial Motors,52915,DIFF,DIFF,Industrial Motors,52915,DIFF,DIFF,MATCH,NO
Lift Motor,Lift Motor,77611,High,Lift Motor,77611,MATCH,MATCH,Lift Motor,77611,MATCH,MATCH,MATCH,YES
0.25HP Single Phase Electric Motor,Single Phase Electric Motor,52927,High,Single Phase Electric Motor,52927,MATCH,MATCH,Single Phase Electric Motor,52927,MATCH,MATCH,MATCH,YES
12v dc dual shaft motor,Double Shaft Motor,139590,High,Double Shaft Motor,139590,MATCH,MATCH,Dual Shaft Motor,139590,MATCH,DIFF,MATCH,YES
single phase submersible pump starter,Pump Starter,146491,High,Pump Starter,146491,MATCH,MATCH,Pump Starter,146491,MATCH,MATCH,MATCH,YES
Bharat Bijlee Ie3 Motor,Bharat Bijlee AC Motor,203388,High,Bharat Bijlee AC Motor,203388,MATCH,MATCH,Bharat Bijlee AC Motor,203388,MATCH,MATCH,MATCH,YES
Crompton Single Phase Vibrator,Single Phase Motors,9484,High,Vibration Motor,2743,DIFF,DIFF,Vibration Motor,2743,DIFF,DIFF,MATCH,NO
Telescopic Brushes,Telescopic Brush,136910,High,Telescopic Brush,136910,MATCH,MATCH,Telescopic Brush,136910,MATCH,MATCH,MATCH,YES
Carbon Brush,Carbon Brush,903,High,Carbon Brush,903,MATCH,MATCH,Carbon Brush,903,MATCH,MATCH,MATCH,YES
electric gate motor,Electric Sliding Gate Motor,52905,High,Electric Sliding Gate Motor,52905,MATCH,MATCH,Electric Sliding Gate Motor,52905,MATCH,MATCH,MATCH,YES
101-200 KW 1 HP Bharat Bijlee Ac Motor,Bharat Bijlee AC Motor,203388,High,Bharat Bijlee AC Motor,203388,MATCH,MATCH,Bharat Bijlee AC Motor,203388,MATCH,MATCH,MATCH,YES
Auto Switch for 3 Phase Motor,Motor Automatic Switch,140407,High,Motor Automatic Switch,140407,MATCH,MATCH,Motor Automatic Switch,140407,MATCH,MATCH,MATCH,YES
crompton motors crompton motor 5 hp single phase,Crompton Motors,446133,High,Crompton Greaves Motor,126348,DIFF,DIFF,Crompton Greaves Motor,126348,DIFF,DIFF,MATCH,NO
Motors,Electric Motor,1274,High,Three Phase Electric Motor,52930,DIFF,DIFF,Three Phase Electric Motor,52930,DIFF,DIFF,MATCH,NO
electrical motor,Electric Motor,1274,High,Three Phase Electric Motor,52930,DIFF,DIFF,Three Phase Electric Motor,52930,DIFF,DIFF,MATCH,NO
0.37 KW 0.5 HP Bharat Bijlee Electric Motor,Bharat Bijlee AC Motor,203388,High,Bharat Bijlee AC Motor,203388,MATCH,MATCH,Bharat Bijlee AC Motor,203388,MATCH,MATCH,MATCH,YES
Three Phase Bharat Bijlee Motor,Bharat Bijlee AC Motor,203388,High,Bharat Bijlee AC Motor,203388,MATCH,MATCH,Bharat Bijlee AC Motor,203388,MATCH,MATCH,MATCH,YES
peco pk1 3 phase dol motor starter,DOL Starter,26266,High,3 Phase Motor Starter,226794,DIFF,DIFF,DOL Starter,26266,MATCH,MATCH,DIFF,NO
Dol Motor Starter Dmc,DOL Starter,26266,High,DOL Starter,26266,MATCH,MATCH,DOL Starter,26266,MATCH,MATCH,MATCH,YES
tower-fan-motor,Tower Fan Motor,443716,High,Fan Motor,28231,DIFF,DIFF,Tower Fan Motor,443716,MATCH,MATCH,DIFF,NO
11 KW 15 HP Crompton Greaves Electric Motor,Crompton Greaves Motor,126348,High,Crompton Greaves Motor,126348,MATCH,MATCH,Crompton Greaves Motor,126348,MATCH,MATCH,MATCH,YES
3 Phase Induction Motor,Three Phase Induction Motor,131725,High,Three Phase Induction Motor,131725,MATCH,MATCH,Three Phase Induction Motor,131725,MATCH,MATCH,MATCH,YES
Siemens Electric Motor,Siemens Electric Motor,184089,High,Siemens Electric Motor,184089,MATCH,MATCH,Siemens Electric Motor,184089,MATCH,MATCH,MATCH,YES
3.7 KW 5 HP Crompton Greaves AC motor,Crompton Greaves Motor,126348,High,Crompton Greaves Industrial Motors,193884,DIFF,DIFF,Crompton Greaves Industrial Motors,193884,DIFF,DIFF,MATCH,NO
Crompton,Crompton Greaves Motor,126348,High,Crompton Motors,446133,DIFF,DIFF,Crompton Motors,446133,DIFF,DIFF,MATCH,NO
Crompton Greaves Industrial Motors,Crompton Greaves Industrial Motors,193884,High,Crompton Greaves Industrial Motors,193884,MATCH,MATCH,Crompton Greaves Industrial Motors,193884,MATCH,MATCH,MATCH,YES
White Motor Starter,Motor Starter,33567,Medium,Motor Starter,33567,MATCH,MATCH,Single Phase Motor Starter,226793,DIFF,DIFF,DIFF,NO
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-1MA0 2.7 kW,Siemens Servo Motors,184102,High,Siemens Servo Motors,184102,MATCH,MATCH,Siemens Servo Motors,184102,MATCH,MATCH,MATCH,YES
CG Three Phase Crompton Greaves Flameproof Motor,Flame Proof Motors,21079,High,Crompton Greaves Motor,126348,DIFF,DIFF,Crompton Greaves Motor,126348,DIFF,DIFF,MATCH,NO
Makita HR-2440 Armature By PowerSpeed,Armature,25,High,Armature,25,MATCH,MATCH,Armature,25,MATCH,MATCH,MATCH,YES
bldc 50w 24v 3000rpm,Brushless DC Motor,15240,High,Brushless DC Motor,15240,MATCH,MATCH,Brushless DC Motor,15240,MATCH,MATCH,MATCH,YES
Mixer Grinder Motor,Mixer Grinder Motor,84526,High,Mixer Grinder Motor,84526,MATCH,MATCH,Mixer Grinder Motor,84526,MATCH,MATCH,MATCH,YES
3000 rpm 24 v bldc 50w 24v 3000rpm,Brushless DC Motor,15240,High,BLDC Motor,154416,DIFF,DIFF,Brushless DC Motor,15240,MATCH,MATCH,DIFF,NO
three phase 5 ac induction motor piece 10 hp 1440 rpm Three Phase Induction Motor Cg Make 3 HP,Three Phase Induction Motor,131725,High,Three Phase Induction Motor,131725,MATCH,MATCH,Three Phase Induction Motor,131725,MATCH,MATCH,MATCH,YES
motor protection cover,Motor Cover,117875,High,Motor Cover,117875,MATCH,MATCH,Motor Cover,117875,MATCH,MATCH,MATCH,YES
Dwe4235 Armature,Armature,25,High,Armature,25,MATCH,MATCH,Armature,25,MATCH,MATCH,MATCH,YES
AM Gold Motor Starter,3 Phase Motor Starter,226794,High,Motor Starter,33567,DIFF,DIFF,Motor Starter,33567,DIFF,DIFF,MATCH,NO
R. S. Series Geared Motors,Gear Motor,29373,High,Helical Geared Motor,43308,DIFF,DIFF,Gear Motor,29373,MATCH,MATCH,DIFF,NO
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF01-1SB0 1 kW,Siemens Servo Motors,184102,High,Siemens Servo Motors,184102,MATCH,MATCH,Siemens Servo Motors,184102,MATCH,MATCH,MATCH,YES
3000  rpm 24  v 10 bldc 50w 24v 3000rpm,Brushless DC Motor,15240,High,Brushless DC Motor,15240,MATCH,MATCH,Brushless DC Motor,15240,MATCH,MATCH,MATCH,YES
24  v 10 bldc 50w 24v 3000rpm,Brushless DC Motor,15240,High,Brushless DC Motor,15240,MATCH,MATCH,Brushless DC Motor,15240,MATCH,MATCH,MATCH,YES
makita mt240 cb203a cut off carbon brush,Power Tool Carbon Brush,190885,High,Carbon Brush,903,DIFF,DIFF,Makita Carbon Brushes,194885,DIFF,DIFF,DIFF,NO
2 hp gear motor,Gear Motor,29373,High,Three Phase Gear Motor,150167,DIFF,DIFF,Gear Motor,29373,MATCH,MATCH,DIFF,NO
Induction Motor Cg Make,Induction Motors,10971,High,Induction Motors,10971,MATCH,MATCH,Induction Motors,10971,MATCH,MATCH,MATCH,YES
Dual shaft Motor,Motor Shaft,43182,High,Double Shaft Motor,139590,DIFF,DIFF,Double Shaft Motor,139590,DIFF,DIFF,MATCH,NO
ac servo motor 750w,AC Servo Motor,14970,High,AC Servo Motor,14970,MATCH,MATCH,AC Servo Motor,14970,MATCH,MATCH,MATCH,YES
ats480c66y,Soft Starters,12256,High,Soft Starters,12256,MATCH,MATCH,Servo Motor,448,DIFF,DIFF,DIFF,NO
Kirloskar Electric Motor,Kirloskar Electric Motor,185261,High,Kirloskar Electric Motor,185261,MATCH,MATCH,Kirloskar Electric Motor,185261,MATCH,MATCH,MATCH,YES
three  phase 1 ATS480C66Y,Schneider Soft Starters,220183,High,Siemens Electric Motor,184089,DIFF,DIFF,Three Phase Electric Motor,52930,DIFF,DIFF,DIFF,NO
l and t mpower pro mobile motor starter,Mobile Starter,161896,High,Mobile Starter,161896,MATCH,MATCH,Mobile Starter,161896,MATCH,MATCH,MATCH,YES
zd motor 25 w small ac geared motors 220v,AC Geared Motor,21549,High,AC Geared Motor,21549,MATCH,MATCH,AC Geared Motor,21549,MATCH,MATCH,MATCH,YES
kitchen hood motor,Chimney Motor,446121,High,Kitchen Hood Motor,132955,DIFF,DIFF,Kitchen Hood Motor,9483,DIFF,DIFF,DIFF,NO
kapcon simi cooler motor,Cooler Motor,52897,High,Cooler Motor,52897,MATCH,MATCH,Cooler Motor,52897,MATCH,MATCH,MATCH,YES
Jayashree Rotory Encoder Hollow Shaft,Hollow Shaft Encoders,30451,High,Hollow Shaft Encoders,30451,MATCH,MATCH,Hollow Shaft Encoders,30451,MATCH,MATCH,MATCH,YES
20w fan dc motor,Fan Motor,28231,High,DC Motor,445,DIFF,DIFF,Fan Motor,28231,MATCH,MATCH,DIFF,NO
Wet Rice Grinders AUE Motors,Wet Grinder Motor,188519,High,Wet Grinder Motor,188519,MATCH,MATCH,Wet Grinder Motor,188519,MATCH,MATCH,MATCH,YES
Electronic Starter,Electronic Starter,27659,High,Electronic Starter,27659,MATCH,MATCH,Electronic Starter,27659,MATCH,MATCH,MATCH,YES
AC Synchronous Motors,AC Synchronous Motor,45525,High,AC Synchronous Motor,45525,MATCH,MATCH,AC Synchronous Motor,45525,MATCH,MATCH,MATCH,YES
Jayashree Encoder  : Hollow Shaft  J-50T,Hollow Shaft Encoders,30451,High,Hollow Shaft Encoders,30451,MATCH,MATCH,Hollow Shaft Encoders,30451,MATCH,MATCH,MATCH,YES
Motor,Electric Motor,1274,High,Single Phase Motors,9484,DIFF,DIFF,Single Phase Motors,9484,DIFF,DIFF,MATCH,NO
Remi Centrifuge Carbon Brush,Carbon Brush,903,High,Carbon Brush,903,MATCH,MATCH,Carbon Brush,903,MATCH,MATCH,MATCH,YES
High po re,HT Motor,52914,Medium,High Voltage Motor,177165,DIFF,DIFF,High Voltage Motor,177165,DIFF,DIFF,MATCH,NO
volvo & ir l&t case vibration motor shaft,Vibration Motor,2743,Medium,Vibration Motor,2743,MATCH,MATCH,Vibration Motor,2743,MATCH,MATCH,MATCH,YES
Rawat+Induction+Motors,Rawat Induction Motors,213981,High,Single Phase Induction Motor,9483,DIFF,DIFF,Single Phase Induction Motor,9483,DIFF,DIFF,MATCH,NO
havells single phase motor,Havells Electric Motor,189725,High,Havells Electric Motor,189725,MATCH,MATCH,Havells Electric Motor,189725,MATCH,MATCH,MATCH,YES
HAVELLS 3 PHASE MOTORSIE2/IE3,Havells Electric Motor,189725,High,Three Phase Electric Motor,52930,DIFF,DIFF,Havells Electric Motor,189725,MATCH,MATCH,DIFF,NO
DHARMENDRA,Rawat Induction Motors,213981,Medium,Three Phase Electric Motor,52930,DIFF,DIFF,AC Motor,444,DIFF,DIFF,DIFF,NO
vertical helical gear motor 5 hp,Helical Geared Motor,43308,High,Helical Geared Motor,43308,MATCH,MATCH,Helical Geared Motor,43308,MATCH,MATCH,MATCH,YES
Bosch parts,Bosch Motor Parts,206770,High,Bosch Parts,187165,DIFF,DIFF,Bosch Parts,181114,DIFF,DIFF,DIFF,NO
Panasonic AC Servo Motor,Panasonic AC Servo Motor,187161,High,Panasonic AC Servo Motor,187161,MATCH,MATCH,Panasonic AC Servo Motor,187161,MATCH,MATCH,MATCH,YES
squirrel-cage-motors,Squirrel Cage Motors,38675,High,Squirrel Cage Motors,38675,MATCH,MATCH,Squirrel Cage Motors,38675,MATCH,MATCH,MATCH,YES
Belimo Damper Actuator,Belimo Actuator,189943,High,Belimo Actuator,189943,MATCH,MATCH,Belimo Actuator,189943,MATCH,MATCH,MATCH,YES
Squirrel Cage Induction Motor tefc type,Squirrel Cage Motors,38675,High,Squirrel Cage Motors,38675,MATCH,MATCH,Squirrel Cage Motors,38675,MATCH,MATCH,MATCH,YES
fn20c motor,Air Conditioner Motor,186009,High,Cooler Motor,52897,DIFF,DIFF,AC Servo Motor,14970,DIFF,DIFF,DIFF,NO
fireproof motor,Flame Proof Motors,21079,High,Fire Damper Actuators,184063,DIFF,DIFF,Flame Proof Motors,21079,MATCH,MATCH,DIFF,NO
