success,query,attr_count,isq_list,isq_pipe,raw_output,request_number,error
True,industrial bitumen extractor unique 5 ton 240 v manual,7,"['industrial:usage/application:specification', 'bitumen:material to be extruded:specification', 'extractor:machine type:specification', 'unique:brand:specification', '5 ton:capacity:specification', '240 v:voltage:specification', 'manual:automation grade:specification']",industrial:usage/application:specification | bitumen:material to be extruded:specification | extractor:machine type:specification | unique:brand:specification | 5 ton:capacity:specification | 240 v:voltage:specification | manual:automation grade:specification,"[""industrial:usage/application:specification"", ""bitumen:material to be extruded:specification"", ""extractor:machine type:specification"", ""unique:brand:specification"", ""5 ton:capacity:specification"", ""240 v:voltage:specification"", ""manual:automation grade:specification""]",11,
True,sheet extruder with 5 hp power 440 v,4,"['sheet:product type:specification', 'extruder:machine type:specification', '5 hp:power:specification', '440 v:voltage:specification']",sheet:product type:specification | extruder:machine type:specification | 5 hp:power:specification | 440 v:voltage:specification,"[""sheet:product type:specification"", ""extruder:machine type:specification"", ""5 hp:power:specification"", ""440 v:voltage:specification""]",12,
True,epe foam extruder with 10 hp power 240 v,4,"['epe foam:product type:specification', 'extruder:machine type:specification', '10 hp:power:specification', '240 v:voltage:specification']",epe foam:product type:specification | extruder:machine type:specification | 10 hp:power:specification | 240 v:voltage:specification,"[""epe foam:product type:specification"", ""extruder:machine type:specification"", ""10 hp:power:specification"", ""240 v:voltage:specification""]",13,
True,5 tpd xlpe cable extruder hdpe body,5,"['5 tpd:capacity:specification', 'xlpe:product type:specification', 'cable:product type:specification', 'extruder:machine type:specification', 'hdpe:body material:specification']",5 tpd:capacity:specification | xlpe:product type:specification | cable:product type:specification | extruder:machine type:specification | hdpe:body material:specification,"[""5 tpd:capacity:specification"", ""xlpe:product type:specification"", ""cable:product type:specification"", ""extruder:machine type:specification"", ""hdpe:body material:specification""]",14,
True,solvent extraction plant with 25 hp power 480 v,3,"['solvent extraction plant:product:specification', '25 hp:power:specification', '480 v:voltage:specification']",solvent extraction plant:product:specification | 25 hp:power:specification | 480 v:voltage:specification,"[""solvent extraction plant:product:specification"", ""25 hp:power:specification"", ""480 v:voltage:specification""]",15,
True,"looking for manual oleoresin extraction plant with specifications: capacity 250 kg/hr, voltage 480 v, phase single phase, body material stainless steel, application agricultural",8,"['manual:automation grade:specification', 'oleoresin:material to be extruded:specification', 'extraction plant:machine type:specification', '250 kg/hr:capacity:specification', '480 v:voltage:specification', 'single phase:phase:specification', 'stainless steel:body material:specification', 'agricultural:usage/application:specification']",manual:automation grade:specification | oleoresin:material to be extruded:specification | extraction plant:machine type:specification | 250 kg/hr:capacity:specification | 480 v:voltage:specification | single phase:phase:specification | stainless steel:body material:specification | agricultural:usage/application:specification,"[""manual:automation grade:specification"", ""oleoresin:material to be extruded:specification"", ""extraction plant:machine type:specification"", ""250 kg/hr:capacity:specification"", ""480 v:voltage:specification"", ""single phase:phase:specification"", ""stainless steel:body material:specification"", ""agricultural:usage/application:specification""]",16,
True,"teknik automatic film extrusion machine machine with 500 tpd capacity, 230 v voltage, single phase, cast iron body, suitable for food processing",9,"['teknik:brand:specification', 'automatic:automation grade:specification', 'film:product type:specification', 'extrusion machine:machine type:specification', '500 tpd:capacity:specification', '230 v:voltage:specification', 'single phase:phase:specification', 'cast iron:body material:specification', 'food processing:usage/application:specification']",teknik:brand:specification | automatic:automation grade:specification | film:product type:specification | extrusion machine:machine type:specification | 500 tpd:capacity:specification | 230 v:voltage:specification | single phase:phase:specification | cast iron:body material:specification | food processing:usage/application:specification,"[""teknik:brand:specification"", ""automatic:automation grade:specification"", ""film:product type:specification"", ""extrusion machine:machine type:specification"", ""500 tpd:capacity:specification"", ""230 v:voltage:specification"", ""single phase:phase:specification"", ""cast iron:body material:specification"", ""food processing:usage/application:specification""]",17,
True,hdpe body film extrusion machine with 10 kg/hr capacity and 240 v voltage,6,"['hdpe:body material:specification', 'film:product type:specification', 'extrusion:machine type:specification', 'machine:product:specification', '10 kg/hr:capacity:specification', '240 v:voltage:specification']",hdpe:body material:specification | film:product type:specification | extrusion:machine type:specification | machine:product:specification | 10 kg/hr:capacity:specification | 240 v:voltage:specification,"[""hdpe:body material:specification"", ""film:product type:specification"", ""extrusion:machine type:specification"", ""machine:product:specification"", ""10 kg/hr:capacity:specification"", ""240 v:voltage:specification""]",18,
True,"high quality semi-automatic aluminium extrusion plant conical type, 250 kg/hr, 240 v supply, single phase, hdpe body, swaraj brand for chemical industries",11,"['high quality:quality:specification', 'semi-automatic:automation grade:specification', 'aluminium:material to be extruded:specification', 'extrusion plant:product:specification', 'conical:design:specification', '250 kg/hr:capacity:specification', '240 v:voltage:specification', 'single phase:phase:specification', 'hdpe:body material:specification', 'swaraj:brand:specification', 'chemical industries:usage/application:specification']",high quality:quality:specification | semi-automatic:automation grade:specification | aluminium:material to be extruded:specification | extrusion plant:product:specification | conical:design:specification | 250 kg/hr:capacity:specification | 240 v:voltage:specification | single phase:phase:specification | hdpe:body material:specification | swaraj:brand:specification | chemical industries:usage/application:specification,"[""high quality:quality:specification"", ""semi-automatic:automation grade:specification"", ""aluminium:material to be extruded:specification"", ""extrusion plant:product:specification"", ""conical:design:specification"", ""250 kg/hr:capacity:specification"", ""240 v:voltage:specification"", ""single phase:phase:specification"", ""hdpe:body material:specification"", ""swaraj:brand:specification"", ""chemical industries:usage/application:specification""]",19,
True,500 tpd fully automatic extruder machine 480 v 1 phase pvc body,7,"['500 tpd:capacity:specification', 'fully automatic:automation grade:specification', 'extruder:machine type:specification', 'machine:product:specification', '480 v:voltage:specification', '1 phase:phase:specification', 'pvc:body material:specification']",500 tpd:capacity:specification | fully automatic:automation grade:specification | extruder:machine type:specification | machine:product:specification | 480 v:voltage:specification | 1 phase:phase:specification | pvc:body material:specification,"[""500 tpd:capacity:specification"", ""fully automatic:automation grade:specification"", ""extruder:machine type:specification"", ""machine:product:specification"", ""480 v:voltage:specification"", ""1 phase:phase:specification"", ""pvc:body material:specification""]",20,
True,titanium body oleoresin extraction plant 500 ton,3,"['titanium:body material:specification', 'oleoresin extraction plant:product:specification', '500 ton:capacity:specification']",titanium:body material:specification | oleoresin extraction plant:product:specification | 500 ton:capacity:specification,"[""titanium:body material:specification"", ""oleoresin extraction plant:product:specification"", ""500 ton:capacity:specification""]",21,
True,"eureka fully automatic ldpe blown film machine machine with 100 liter capacity, 380 v voltage, single phase, ss 304 body, suitable for research",10,"['eureka:brand:specification', 'fully automatic:automation grade:specification', 'ldpe:product type:specification', 'blown film:machine type:specification', 'machine:product:specification', '100 liter:capacity:specification', '380 v:voltage:specification', 'single phase:phase:specification', 'ss 304:body material:specification', 'research:usage/application:specification']",eureka:brand:specification | fully automatic:automation grade:specification | ldpe:product type:specification | blown film:machine type:specification | machine:product:specification | 100 liter:capacity:specification | 380 v:voltage:specification | single phase:phase:specification | ss 304:body material:specification | research:usage/application:specification,"[""eureka:brand:specification"", ""fully automatic:automation grade:specification"", ""ldpe:product type:specification"", ""blown film:machine type:specification"", ""machine:product:specification"", ""100 liter:capacity:specification"", ""380 v:voltage:specification"", ""single phase:phase:specification"", ""ss 304:body material:specification"", ""research:usage/application:specification""]",22,
True,30 kg 1 phase hdpe extruder,4,"['30 kg:capacity:specification', '1 phase:phase:specification', 'hdpe:product type:specification', 'extruder:machine type:specification']",30 kg:capacity:specification | 1 phase:phase:specification | hdpe:product type:specification | extruder:machine type:specification,"[""30 kg:capacity:specification"", ""1 phase:phase:specification"", ""hdpe:product type:specification"", ""extruder:machine type:specification""]",23,
True,5 kg 1 phase curcumin extraction plant,4,"['5 kg:capacity:specification', '1 phase:phase:specification', 'curcumin:material to be extruded:specification', 'extraction plant:machine type:specification']",5 kg:capacity:specification | 1 phase:phase:specification | curcumin:material to be extruded:specification | extraction plant:machine type:specification,"[""5 kg:capacity:specification"", ""1 phase:phase:specification"", ""curcumin:material to be extruded:specification"", ""extraction plant:machine type:specification""]",24,
True,monolayer extruder 240 v,3,"['monolayer:machine type:specification', 'extruder:product:specification', '240 v:voltage:specification']",monolayer:machine type:specification | extruder:product:specification | 240 v:voltage:specification,"[""monolayer:machine type:specification"", ""extruder:product:specification"", ""240 v:voltage:specification""]",25,
True,multi layer extruder co-rotating design 200 kg/hr,4,"['multi layer:machine type:specification', 'extruder:product:specification', 'co-rotating:design:specification', '200 kg/hr:capacity:specification']",multi layer:machine type:specification | extruder:product:specification | co-rotating:design:specification | 200 kg/hr:capacity:specification,"[""multi layer:machine type:specification"", ""extruder:product:specification"", ""co-rotating:design:specification"", ""200 kg/hr:capacity:specification""]",26,
True,"high quality automatic solvent extraction plant twin screw type, 1000 liter, 220 v supply, 1 phase, stainless steel body, labh group brand for packaging",10,"['high quality:quality:specification', 'automatic:automation grade:specification', 'solvent extraction plant:product:specification', 'twin screw:screw type:specification', '1000 liter:capacity:specification', '220 v:voltage:specification', '1 phase:phase:specification', 'stainless steel:body material:specification', 'labh group:brand:specification', 'packaging:usage/application:specification']",high quality:quality:specification | automatic:automation grade:specification | solvent extraction plant:product:specification | twin screw:screw type:specification | 1000 liter:capacity:specification | 220 v:voltage:specification | 1 phase:phase:specification | stainless steel:body material:specification | labh group:brand:specification | packaging:usage/application:specification,"[""high quality:quality:specification"", ""automatic:automation grade:specification"", ""solvent extraction plant:product:specification"", ""twin screw:screw type:specification"", ""1000 liter:capacity:specification"", ""220 v:voltage:specification"", ""1 phase:phase:specification"", ""stainless steel:body material:specification"", ""labh group:brand:specification"", ""packaging:usage/application:specification""]",27,
True,metal recovery plant for plastic processing 50 ton,3,"['metal recovery plant:product:specification', 'plastic processing:usage/application:specification', '50 ton:capacity:specification']",metal recovery plant:product:specification | plastic processing:usage/application:specification | 50 ton:capacity:specification,"[""metal recovery plant:product:specification"", ""plastic processing:usage/application:specification"", ""50 ton:capacity:specification""]",28,
True,100 ton semi-automatic multi layer extruder,4,"['100 ton:capacity:specification', 'semi-automatic:automation grade:specification', 'multi layer:machine type:specification', 'extruder:product:specification']",100 ton:capacity:specification | semi-automatic:automation grade:specification | multi layer:machine type:specification | extruder:product:specification,"[""100 ton:capacity:specification"", ""semi-automatic:automation grade:specification"", ""multi layer:machine type:specification"", ""extruder:product:specification""]",29,
True,basket extruder for pharmaceutical,2,"['basket extruder:machine type:specification', 'pharmaceutical:usage/application:specification']",basket extruder:machine type:specification | pharmaceutical:usage/application:specification,"[""basket extruder:machine type:specification"", ""pharmaceutical:usage/application:specification""]",30,
True,labh group double die extruder 200 kg,4,"['labh group:brand:specification', 'double die:design:specification', 'extruder:machine type:specification', '200 kg:capacity:specification']",labh group:brand:specification | double die:design:specification | extruder:machine type:specification | 200 kg:capacity:specification,"[""labh group:brand:specification"", ""double die:design:specification"", ""extruder:machine type:specification"", ""200 kg:capacity:specification""]",31,
True,industrial jockey extruder mahindra 500 kg/hr 240 v manual,7,"['industrial:usage/application:specification', 'jockey:type:specification', 'extruder:product:specification', 'mahindra:brand:specification', '500 kg/hr:capacity:specification', '240 v:voltage:specification', 'manual:automation grade:specification']",industrial:usage/application:specification | jockey:type:specification | extruder:product:specification | mahindra:brand:specification | 500 kg/hr:capacity:specification | 240 v:voltage:specification | manual:automation grade:specification,"[""industrial:usage/application:specification"", ""jockey:type:specification"", ""extruder:product:specification"", ""mahindra:brand:specification"", ""500 kg/hr:capacity:specification"", ""240 v:voltage:specification"", ""manual:automation grade:specification""]",32,
True,"semi-automatic ss wire extruder, capacity: 10 tpd, voltage: 440 v, phase: 1 phase",6,"['semi-automatic:automation grade:specification', 'ss:body material:specification', 'wire extruder:product:specification', '10 tpd:capacity:specification', '440 v:voltage:specification', '1 phase:phase:specification']",semi-automatic:automation grade:specification | ss:body material:specification | wire extruder:product:specification | 10 tpd:capacity:specification | 440 v:voltage:specification | 1 phase:phase:specification,"[""semi-automatic:automation grade:specification"", ""ss:body material:specification"", ""wire extruder:product:specification"", ""10 tpd:capacity:specification"", ""440 v:voltage:specification"", ""1 phase:phase:specification""]",33,
True,"multi layer extruder - co-rotating design, 10 kg output, 440 v, three phase, cast iron construction, turbo brand, automatic operation",9,"['multi layer:machine type:specification', 'extruder:product:specification', 'co-rotating:design:specification', '10 kg:max. output:specification', '440 v:voltage:specification', 'three phase:phase:specification', 'cast iron:body material:specification', 'turbo:brand:specification', 'automatic:automation grade:specification']",multi layer:machine type:specification | extruder:product:specification | co-rotating:design:specification | 10 kg:max. output:specification | 440 v:voltage:specification | three phase:phase:specification | cast iron:body material:specification | turbo:brand:specification | automatic:automation grade:specification,"[""multi layer:machine type:specification"", ""extruder:product:specification"", ""co-rotating:design:specification"", ""10 kg:max. output:specification"", ""440 v:voltage:specification"", ""three phase:phase:specification"", ""cast iron:body material:specification"", ""turbo:brand:specification"", ""automatic:automation grade:specification""]",34,
True,"pvc extruder - parallel design, 200 kg/hr output, 480 v, single phase, stainless steel construction, turbo brand, semi-automatic operation",9,"['pvc:product type:specification', 'extruder:machine type:specification', 'parallel:design:specification', '200 kg/hr:capacity:specification', '480 v:voltage:specification', 'single phase:phase:specification', 'stainless steel:body material:specification', 'turbo:brand:specification', 'semi-automatic:automation grade:specification']",pvc:product type:specification | extruder:machine type:specification | parallel:design:specification | 200 kg/hr:capacity:specification | 480 v:voltage:specification | single phase:phase:specification | stainless steel:body material:specification | turbo:brand:specification | semi-automatic:automation grade:specification,"[""pvc:product type:specification"", ""extruder:machine type:specification"", ""parallel:design:specification"", ""200 kg/hr:capacity:specification"", ""480 v:voltage:specification"", ""single phase:phase:specification"", ""stainless steel:body material:specification"", ""turbo:brand:specification"", ""semi-automatic:automation grade:specification""]",35,
True,100 tpd sheet extruder cast iron body,4,"['100 tpd:capacity:specification', 'sheet:product type:specification', 'extruder:machine type:specification', 'cast iron:body material:specification']",100 tpd:capacity:specification | sheet:product type:specification | extruder:machine type:specification | cast iron:body material:specification,"[""100 tpd:capacity:specification"", ""sheet:product type:specification"", ""extruder:machine type:specification"", ""cast iron:body material:specification""]",36,
True,semi-automatic aluminium epe foam extruder,4,"['semi-automatic:automation grade:specification', 'aluminium:material to be extruded:specification', 'epe foam:product type:specification', 'extruder:machine type:specification']",semi-automatic:automation grade:specification | aluminium:material to be extruded:specification | epe foam:product type:specification | extruder:machine type:specification,"[""semi-automatic:automation grade:specification"", ""aluminium:material to be extruded:specification"", ""epe foam:product type:specification"", ""extruder:machine type:specification""]",37,
True,cable extruder 480 v 50 hz,3,"['cable extruder:product:specification', '480 v:voltage:specification', '50 hz:frequency:specification']",cable extruder:product:specification | 480 v:voltage:specification | 50 hz:frequency:specification,"[""cable extruder:product:specification"", ""480 v:voltage:specification"", ""50 hz:frequency:specification""]",38,
True,ss co-rotating twin screw extruder,4,"['ss:body material:specification', 'co-rotating:screw type:specification', 'twin screw:design:specification', 'extruder:product:specification']",ss:body material:specification | co-rotating:screw type:specification | twin screw:design:specification | extruder:product:specification,"[""ss:body material:specification"", ""co-rotating:screw type:specification"", ""twin screw:design:specification"", ""extruder:product:specification""]",39,
True,"looking for automatic film extrusion machine with specifications: capacity 100 tpd, voltage 400 v, phase 1 phase, body material ss, application plastic processing",9,"['automatic:automation grade:specification', 'film:product type:specification', 'extrusion:machine type:specification', 'machine:product:specification', '100 tpd:capacity:specification', '400 v:voltage:specification', '1 phase:phase:specification', 'ss:body material:specification', 'plastic processing:usage/application:specification']",automatic:automation grade:specification | film:product type:specification | extrusion:machine type:specification | machine:product:specification | 100 tpd:capacity:specification | 400 v:voltage:specification | 1 phase:phase:specification | ss:body material:specification | plastic processing:usage/application:specification,"[""automatic:automation grade:specification"", ""film:product type:specification"", ""extrusion:machine type:specification"", ""machine:product:specification"", ""100 tpd:capacity:specification"", ""400 v:voltage:specification"", ""1 phase:phase:specification"", ""ss:body material:specification"", ""plastic processing:usage/application:specification""]",40,
True,twin screw wpc extruder 10 kg/hr semi-automatic 415 v,6,"['twin screw:design:specification', 'wpc:product type:specification', 'extruder:machine type:specification', '10 kg/hr:capacity:specification', 'semi-automatic:automation grade:specification', '415 v:voltage:specification']",twin screw:design:specification | wpc:product type:specification | extruder:machine type:specification | 10 kg/hr:capacity:specification | semi-automatic:automation grade:specification | 415 v:voltage:specification,"[""twin screw:design:specification"", ""wpc:product type:specification"", ""extruder:machine type:specification"", ""10 kg/hr:capacity:specification"", ""semi-automatic:automation grade:specification"", ""415 v:voltage:specification""]",41,
True,300 kg/hr manual copper extraction plant 380 v 1 phase pvc body,7,"['300 kg/hr:capacity:specification', 'manual:automation grade:specification', 'copper:material to be extruded:specification', 'extraction plant:machine type:specification', '380 v:voltage:specification', '1 phase:phase:specification', 'pvc:body material:specification']",300 kg/hr:capacity:specification | manual:automation grade:specification | copper:material to be extruded:specification | extraction plant:machine type:specification | 380 v:voltage:specification | 1 phase:phase:specification | pvc:body material:specification,"[""300 kg/hr:capacity:specification"", ""manual:automation grade:specification"", ""copper:material to be extruded:specification"", ""extraction plant:machine type:specification"", ""380 v:voltage:specification"", ""1 phase:phase:specification"", ""pvc:body material:specification""]",42,
True,mahindra semi-automatic copper extraction plant,4,"['mahindra:brand:specification', 'semi-automatic:automation grade:specification', 'copper:material to be extruded:specification', 'extraction plant:machine type:specification']",mahindra:brand:specification | semi-automatic:automation grade:specification | copper:material to be extruded:specification | extraction plant:machine type:specification,"[""mahindra:brand:specification"", ""semi-automatic:automation grade:specification"", ""copper:material to be extruded:specification"", ""extraction plant:machine type:specification""]",43,
True,"manual ss extruder machine, capacity: 200 liter, voltage: 480 v, phase: 1 phase",6,"['manual:automation grade:specification', 'ss:body material:specification', 'extruder machine:product:specification', '200 liter:capacity:specification', '480 v:voltage:specification', '1 phase:phase:specification']",manual:automation grade:specification | ss:body material:specification | extruder machine:product:specification | 200 liter:capacity:specification | 480 v:voltage:specification | 1 phase:phase:specification,"[""manual:automation grade:specification"", ""ss:body material:specification"", ""extruder machine:product:specification"", ""200 liter:capacity:specification"", ""480 v:voltage:specification"", ""1 phase:phase:specification""]",44,
True,20 tpd manual blown film extrusion machine,4,"['20 tpd:capacity:specification', 'manual:automation grade:specification', 'blown film:machine type:specification', 'extrusion machine:product:specification']",20 tpd:capacity:specification | manual:automation grade:specification | blown film:machine type:specification | extrusion machine:product:specification,"[""20 tpd:capacity:specification"", ""manual:automation grade:specification"", ""blown film:machine type:specification"", ""extrusion machine:product:specification""]",45,
True,fully automatic foam extruder 220 v,4,"['fully automatic:automation grade:specification', 'foam:material to be extruded:specification', 'extruder:machine type:specification', '220 v:voltage:specification']",fully automatic:automation grade:specification | foam:material to be extruded:specification | extruder:machine type:specification | 220 v:voltage:specification,"[""fully automatic:automation grade:specification"", ""foam:material to be extruded:specification"", ""extruder:machine type:specification"", ""220 v:voltage:specification""]",46,
True,"mother baby extruder for packaging use, 50 ton, 220 v, turbo brand",6,"['mother baby:machine type:specification', 'extruder:product:specification', 'packaging:usage/application:specification', '50 ton:capacity:specification', '220 v:voltage:specification', 'turbo:brand:specification']",mother baby:machine type:specification | extruder:product:specification | packaging:usage/application:specification | 50 ton:capacity:specification | 220 v:voltage:specification | turbo:brand:specification,"[""mother baby:machine type:specification"", ""extruder:product:specification"", ""packaging:usage/application:specification"", ""50 ton:capacity:specification"", ""220 v:voltage:specification"", ""turbo:brand:specification""]",47,
True,ss 304 body centrifuge extractor with 300 kg/hr capacity and 415 v voltage,4,"['ss 304:body material:specification', 'centrifuge extractor:product:specification', '300 kg/hr:capacity:specification', '415 v:voltage:specification']",ss 304:body material:specification | centrifuge extractor:product:specification | 300 kg/hr:capacity:specification | 415 v:voltage:specification,"[""ss 304:body material:specification"", ""centrifuge extractor:product:specification"", ""300 kg/hr:capacity:specification"", ""415 v:voltage:specification""]",48,
True,"labh group semi-automatic silver refining plant, 1 tpd, 480 v, 3 phase",6,"['labh group:brand:specification', 'semi-automatic:automation grade:specification', 'silver refining plant:product:specification', '1 tpd:capacity:specification', '480 v:voltage:specification', '3 phase:phase:specification']",labh group:brand:specification | semi-automatic:automation grade:specification | silver refining plant:product:specification | 1 tpd:capacity:specification | 480 v:voltage:specification | 3 phase:phase:specification,"[""labh group:brand:specification"", ""semi-automatic:automation grade:specification"", ""silver refining plant:product:specification"", ""1 tpd:capacity:specification"", ""480 v:voltage:specification"", ""3 phase:phase:specification""]",49,
True,pp multi layer extruder 200 kg capacity,4,"['pp:material to be extruded:specification', 'multi layer:machine type:specification', 'extruder:product:specification', '200 kg:capacity:specification']",pp:material to be extruded:specification | multi layer:machine type:specification | extruder:product:specification | 200 kg:capacity:specification,"[""pp:material to be extruded:specification"", ""multi layer:machine type:specification"", ""extruder:product:specification"", ""200 kg:capacity:specification""]",50,
True,laxmi manual silver refinery machine,4,"['laxmi:brand:specification', 'manual:automation grade:specification', 'silver refinery:machine type:specification', 'machine:product:specification']",laxmi:brand:specification | manual:automation grade:specification | silver refinery:machine type:specification | machine:product:specification,"[""laxmi:brand:specification"", ""manual:automation grade:specification"", ""silver refinery:machine type:specification"", ""machine:product:specification""]",51,
True,25 kg/hr automatic jockey extruder,3,"['25 kg/hr:capacity:specification', 'automatic:automation grade:specification', 'jockey extruder:product:specification']",25 kg/hr:capacity:specification | automatic:automation grade:specification | jockey extruder:product:specification,"[""25 kg/hr:capacity:specification"", ""automatic:automation grade:specification"", ""jockey extruder:product:specification""]",52,
True,100 kg/hr manual conical twin screw extruder 480 v 3 phase ss 304 body,8,"['100 kg/hr:capacity:specification', 'manual:automation grade:specification', 'conical:design:specification', 'twin screw:machine type:specification', 'extruder:product:specification', '480 v:voltage:specification', '3 phase:phase:specification', 'ss 304:body material:specification']",100 kg/hr:capacity:specification | manual:automation grade:specification | conical:design:specification | twin screw:machine type:specification | extruder:product:specification | 480 v:voltage:specification | 3 phase:phase:specification | ss 304:body material:specification,"[""100 kg/hr:capacity:specification"", ""manual:automation grade:specification"", ""conical:design:specification"", ""twin screw:machine type:specification"", ""extruder:product:specification"", ""480 v:voltage:specification"", ""3 phase:phase:specification"", ""ss 304:body material:specification""]",53,
True,200 kg/hr automatic oleoresin extraction plant,4,"['200 kg/hr:capacity:specification', 'automatic:automation grade:specification', 'oleoresin:material to be extruded:specification', 'extraction plant:machine type:specification']",200 kg/hr:capacity:specification | automatic:automation grade:specification | oleoresin:material to be extruded:specification | extraction plant:machine type:specification,"[""200 kg/hr:capacity:specification"", ""automatic:automation grade:specification"", ""oleoresin:material to be extruded:specification"", ""extraction plant:machine type:specification""]",54,
True,new plastic recycling extruder,4,"['new:i deal in:specification', 'plastic:material to be extruded:specification', 'recycling:usage/application:specification', 'extruder:product:specification']",new:i deal in:specification | plastic:material to be extruded:specification | recycling:usage/application:specification | extruder:product:specification,"[""new:i deal in:specification"", ""plastic:material to be extruded:specification"", ""recycling:usage/application:specification"", ""extruder:product:specification""]",55,
True,aluminium extrusion plant for recycling,3,"['aluminium:material to be extruded:specification', 'extrusion plant:product:specification', 'recycling:usage/application:specification']",aluminium:material to be extruded:specification | extrusion plant:product:specification | recycling:usage/application:specification,"[""aluminium:material to be extruded:specification"", ""extrusion plant:product:specification"", ""recycling:usage/application:specification""]",56,
