success,query,attr_count,isq_list,isq_pipe,raw_output,request_number,error
True,industrial bitumen extractor unique 5 ton 240 v manual,0,[],,,11,
True,sheet extruder with 5 hp power 440 v,3,"['[""sheet extruder:product type:specification""', '""5 hp:power:specification""', '""440 v:voltage:specification""]']","[""sheet extruder:product type:specification"" | ""5 hp:power:specification"" | ""440 v:voltage:specification""]","<think>
Okay, let""s tackle this query: ""sheet extruder with 5 hp power 440 v"". 

First, I need to identify all the product-related attributes. The main product here is a ""sheet extruder"". From the training data, ""product type"" is an attribute, so I can map ""sheet extruder"" to that.

Next, the query mentions ""5 hp power"". The attribute ""power"" is in the training data with examples like ""5.5 hp"" and ""2 hp"". So ""5 hp"" should be under the ""power"" attribute.

Then there""s ""440 v"". The ""voltage"" attribute in the training data includes ""440 v"", so that""s straightforward. 

I should check if there are any other attributes. The query doesn""t mention brand, material, size, etc., so those aren""t present here. 

Putting it all together, the attributes are ""sheet extruder"" as product type, ""5 hp"" as power, and ""440 v"" as voltage. All of these are specifications, so their type is ""specification"".
</think>

[""sheet extruder:product type:specification"", ""5 hp:power:specification"", ""440 v:voltage:specification""]",12,
True,epe foam extruder with 10 hp power 240 v,4,"['epe foam:material to be extruded:specification', 'extruder:product type:specification', '10 hp:power:specification', '240 v:voltage:specification']",epe foam:material to be extruded:specification | extruder:product type:specification | 10 hp:power:specification | 240 v:voltage:specification,"[""epe foam:material to be extruded:specification"", ""extruder:product type:specification"", ""10 hp:power:specification"", ""240 v:voltage:specification""]",13,
True,5 tpd xlpe cable extruder hdpe body,5,"['5 tpd:capacity:specification', 'xlpe:product type:specification', 'cable:product type:specification', 'extruder:product type:specification', 'hdpe:body material:specification']",5 tpd:capacity:specification | xlpe:product type:specification | cable:product type:specification | extruder:product type:specification | hdpe:body material:specification,"[""5 tpd:capacity:specification"", ""xlpe:product type:specification"", ""cable:product type:specification"", ""extruder:product type:specification"", ""hdpe:body material:specification""]",14,
True,solvent extraction plant with 25 hp power 480 v,3,"['solvent extraction plant:product:specification', '25 hp:power:specification', '480 v:voltage:specification']",solvent extraction plant:product:specification | 25 hp:power:specification | 480 v:voltage:specification,"[""solvent extraction plant:product:specification"", ""25 hp:power:specification"", ""480 v:voltage:specification""]",15,
True,"looking for manual oleoresin extraction plant with specifications: capacity 250 kg/hr, voltage 480 v, phase single phase, body material stainless steel, application agricultural",0,[],,"<think>
Okay, let""s tackle this query. The user is looking for a manual oleoresin extraction plant with specific details. First, I need to parse the query and identify all the attributes mentioned.

Starting with the main product: ""manual oleoresin extraction plant"". The word ""manual"" here likely refers to the automation grade. From the training data, automation grade includes terms like manual, semi-automatic, etc. So ""manual"" would map to the automation grade attribute.

Next, the specifications listed are capacity 250 kg/hr, voltage 480 v, phase single phase, body material stainless steel, and application agricultural. Let""s check each against the training data.

Capacity: The training data has ""capacity"" with examples like ""100 kg/hr"". The given value is 250 kg/hr, so that""s a direct match. 

Voltage: The example values include 440v, 220v, etc. Here it""s 480 v. The attribute name is voltage, so that""s straightforward.

Phase: The training data includes ""single phase"" and ""three phase"". The query mentions ""single phase"", so that""s a match.

Body material: The training data has ""stainless steel"" as an example. The query states ""stainless steel"", so that""s correct.

Application: The training data has ""application"" under usage/application, with examples like industrial, pharmaceutical, etc. The query mentions",16,
True,"teknik automatic film extrusion machine machine with 500 tpd capacity, 230 v voltage, single phase, cast iron body, suitable for food processing",0,[],,,17,
True,hdpe body film extrusion machine with 10 kg/hr capacity and 240 v voltage,0,[],,,18,
True,"high quality semi-automatic aluminium extrusion plant conical type, 250 kg/hr, 240 v supply, single phase, hdpe body, swaraj brand for chemical industries",0,[],,,19,
True,500 tpd fully automatic extruder machine 480 v 1 phase pvc body,3,"['fully automatic:automation grade:specification.', 'extruder machine:product type:specification.', '480 v:voltage:specification.']",fully automatic:automation grade:specification. | extruder machine:product type:specification. | 480 v:voltage:specification.,"<think>
Okay, let""s tackle this query: ""500 tpd fully automatic extruder machine 480 v 1 phase pvc body"". 

First, I need to break down each part of the query to identify the attributes. 

Starting with ""500 tpd"". From the training data, ""capacity"" is an attribute that includes values like ""100 kg/hr"" or ""10 tpd"". ""tpd"" stands for tons per day, so ""500 tpd"" fits under capacity. So that""s one attribute: 500 tpd:capacity:specification.

Next, ""fully automatic"". The ""automation grade"" attribute in the training data has values like ""fully automatic"" and ""semi-automatic"". So this maps to automation grade. So, fully automatic:automation grade:specification.

Then ""extruder machine"". The product type in the examples is something like ""extruder"", so here it""s ""extruder machine"". The product type in the training data includes ""extrusion"" and ""refinery"", but ""extruder machine"" is a product type. So, extruder machine:product type:specification.

Moving on to ""480 v"". The voltage attribute in the training data has values like ""440 v"", ""220v"", etc. So ""480 v"" is voltage. So, 480 v:voltage:specification.",20,
True,titanium body oleoresin extraction plant 500 ton,0,[],,,21,
True,"eureka fully automatic ldpe blown film machine machine with 100 liter capacity, 380 v voltage, single phase, ss 304 body, suitable for research",9,"['eureka:brand:specification', 'fully automatic:automation grade:specification', 'ldpe:product type:specification', 'blown film machine:product:specification', '100 liter:capacity:specification', '380 v:voltage:specification', 'single phase:phase:specification', 'ss 304:body material:specification', 'research:usage/application:specification']",eureka:brand:specification | fully automatic:automation grade:specification | ldpe:product type:specification | blown film machine:product:specification | 100 liter:capacity:specification | 380 v:voltage:specification | single phase:phase:specification | ss 304:body material:specification | research:usage/application:specification,"[""eureka:brand:specification"", ""fully automatic:automation grade:specification"", ""ldpe:product type:specification"", ""blown film machine:product:specification"", ""100 liter:capacity:specification"", ""380 v:voltage:specification"", ""single phase:phase:specification"", ""ss 304:body material:specification"", ""research:usage/application:specification""]",22,
True,30 kg 1 phase hdpe extruder,4,"['30 kg:capacity:specification', '1 phase:phase:specification', 'hdpe:material to be extruded:specification', 'extruder:product type:specification']",30 kg:capacity:specification | 1 phase:phase:specification | hdpe:material to be extruded:specification | extruder:product type:specification,"[""30 kg:capacity:specification"", ""1 phase:phase:specification"", ""hdpe:material to be extruded:specification"", ""extruder:product type:specification""]",23,
True,5 kg 1 phase curcumin extraction plant,0,[],,,24,
True,monolayer extruder 240 v,0,[],,,25,
True,multi layer extruder co-rotating design 200 kg/hr,0,[],,,26,
True,"high quality automatic solvent extraction plant twin screw type, 1000 liter, 220 v supply, 1 phase, stainless steel body, labh group brand for packaging",11,"['high quality:quality:specification', 'automatic:automation grade:specification', 'solvent extraction plant:product type:specification', 'twin screw:type:specification', '1000 liter:capacity:specification', '220 v:voltage:specification', 'supply:power supply:specification', '1 phase:phase:specification', 'stainless steel:body material:specification', 'labh group:brand:specification', 'packaging:usage/application:specification']",high quality:quality:specification | automatic:automation grade:specification | solvent extraction plant:product type:specification | twin screw:type:specification | 1000 liter:capacity:specification | 220 v:voltage:specification | supply:power supply:specification | 1 phase:phase:specification | stainless steel:body material:specification | labh group:brand:specification | packaging:usage/application:specification,"[""high quality:quality:specification"", ""automatic:automation grade:specification"", ""solvent extraction plant:product type:specification"", ""twin screw:type:specification"", ""1000 liter:capacity:specification"", ""220 v:voltage:specification"", ""supply:power supply:specification"", ""1 phase:phase:specification"", ""stainless steel:body material:specification"", ""labh group:brand:specification"", ""packaging:usage/application:specification""]",27,
True,metal recovery plant for plastic processing 50 ton,3,"['metal recovery plant:product:specification', 'plastic processing:usage/application:specification', '50 ton:capacity:specification']",metal recovery plant:product:specification | plastic processing:usage/application:specification | 50 ton:capacity:specification,"[""metal recovery plant:product:specification"", ""plastic processing:usage/application:specification"", ""50 ton:capacity:specification""]",28,
True,100 ton semi-automatic multi layer extruder,0,[],,,29,
True,basket extruder for pharmaceutical,2,"['basket extruder:product type:specification', 'pharmaceutical:usage/application:specification']",basket extruder:product type:specification | pharmaceutical:usage/application:specification,"[""basket extruder:product type:specification"", ""pharmaceutical:usage/application:specification""]",30,
True,labh group double die extruder 200 kg,4,"['labh group:brand:specification', 'double die:design:specification', 'extruder:product type:specification', '200 kg:capacity:specification']",labh group:brand:specification | double die:design:specification | extruder:product type:specification | 200 kg:capacity:specification,"[""labh group:brand:specification"", ""double die:design:specification"", ""extruder:product type:specification"", ""200 kg:capacity:specification""]",31,
True,industrial jockey extruder mahindra 500 kg/hr 240 v manual,7,"['industrial:usage/application:specification', 'jockey:product type:specification', 'extruder:product:specification', 'mahindra:brand:specification', '500 kg/hr:capacity:specification', '240 v:voltage:specification', 'manual:automation grade:specification']",industrial:usage/application:specification | jockey:product type:specification | extruder:product:specification | mahindra:brand:specification | 500 kg/hr:capacity:specification | 240 v:voltage:specification | manual:automation grade:specification,"[""industrial:usage/application:specification"", ""jockey:product type:specification"", ""extruder:product:specification"", ""mahindra:brand:specification"", ""500 kg/hr:capacity:specification"", ""240 v:voltage:specification"", ""manual:automation grade:specification""]",32,
True,"semi-automatic ss wire extruder, capacity: 10 tpd, voltage: 440 v, phase: 1 phase",6,"['semi-automatic:automation grade:specification', 'ss:body material:specification', 'wire extruder:product type:specification', '10 tpd:capacity:specification', '440 v:voltage:specification', '1 phase:phase:specification']",semi-automatic:automation grade:specification | ss:body material:specification | wire extruder:product type:specification | 10 tpd:capacity:specification | 440 v:voltage:specification | 1 phase:phase:specification,"[""semi-automatic:automation grade:specification"", ""ss:body material:specification"", ""wire extruder:product type:specification"", ""10 tpd:capacity:specification"", ""440 v:voltage:specification"", ""1 phase:phase:specification""]",33,
True,"multi layer extruder - co-rotating design, 10 kg output, 440 v, three phase, cast iron construction, turbo brand, automatic operation",0,[],,,34,
True,"pvc extruder - parallel design, 200 kg/hr output, 480 v, single phase, stainless steel construction, turbo brand, semi-automatic operation",9,"['pvc:material to be extruded:specification', 'extruder:product type:specification', 'parallel design:design:specification', '200 kg/hr:capacity:specification', '480 v:voltage:specification', 'single phase:phase:specification', 'stainless steel:body material:specification', 'turbo:brand:specification', 'semi-automatic:automation grade:specification']",pvc:material to be extruded:specification | extruder:product type:specification | parallel design:design:specification | 200 kg/hr:capacity:specification | 480 v:voltage:specification | single phase:phase:specification | stainless steel:body material:specification | turbo:brand:specification | semi-automatic:automation grade:specification,"[""pvc:material to be extruded:specification"", ""extruder:product type:specification"", ""parallel design:design:specification"", ""200 kg/hr:capacity:specification"", ""480 v:voltage:specification"", ""single phase:phase:specification"", ""stainless steel:body material:specification"", ""turbo:brand:specification"", ""semi-automatic:automation grade:specification""]",35,
True,100 tpd sheet extruder cast iron body,0,[],,,36,
True,semi-automatic aluminium epe foam extruder,4,"['semi-automatic:automation grade:specification', 'aluminium:material to be extruded:specification', 'epe foam:product type:specification', 'extruder:product:specification']",semi-automatic:automation grade:specification | aluminium:material to be extruded:specification | epe foam:product type:specification | extruder:product:specification,"[""semi-automatic:automation grade:specification"", ""aluminium:material to be extruded:specification"", ""epe foam:product type:specification"", ""extruder:product:specification""]",37,
True,cable extruder 480 v 50 hz,3,"['cable extruder:product type:specification', '480 v:voltage:specification', '50 hz:frequency:specification']",cable extruder:product type:specification | 480 v:voltage:specification | 50 hz:frequency:specification,"[""cable extruder:product type:specification"", ""480 v:voltage:specification"", ""50 hz:frequency:specification""]",38,
True,ss co-rotating twin screw extruder,4,"['ss:body material:specification', 'co-rotating:screw type:specification', 'twin screw:design:specification', 'extruder:product type:specification']",ss:body material:specification | co-rotating:screw type:specification | twin screw:design:specification | extruder:product type:specification,"[""ss:body material:specification"", ""co-rotating:screw type:specification"", ""twin screw:design:specification"", ""extruder:product type:specification""]",39,
True,"looking for automatic film extrusion machine with specifications: capacity 100 tpd, voltage 400 v, phase 1 phase, body material ss, application plastic processing",0,[],,"<think>
Okay, let""s tackle this query. The user is looking for an automatic film extrusion machine with specific details. First, I need to break down the query into parts.

The main product here is a ""film extrusion machine."" From the training data, ""product type"" includes things like film, so I can map ""film"" to product type. Then, ""automatic"" relates to automation grade. The training examples show that ""automatic"" is an automation grade, so that""s straightforward.

Next, the specifications listed are capacity 100 tpd, voltage 400 v, phase 1 phase, body material ss, and application plastic processing. Let""s check each against the training data. 

Capacity: ""100 tpd"" matches the ""capacity"" attribute in the training data, which includes entries like ""100 tpd."" So that""s a direct match. 

Voltage: ""400 v"" is in the voltage list, so that""s good. 

Phase: ""1 phase"" is in the phase examples, so that""s a match. 

Body material: ""ss"" stands for stainless steel, which is in the body material list. 

Application: ""plastic processing"" is under the usage/application category in the training data. 

I should also check if there are any other attributes mentioned. The query mentions ""film extrusion machine,"" which can be broken down. ""Film"" is the product type, and",40,
True,twin screw wpc extruder 10 kg/hr semi-automatic 415 v,0,[],,,41,
True,300 kg/hr manual copper extraction plant 380 v 1 phase pvc body,7,"['300 kg/hr:capacity:specification', 'manual:automation grade:specification', 'copper:material to be extruded:specification', 'extraction plant:machine type:specification', '380 v:voltage:specification', '1 phase:phase:specification', 'pvc:body material:specification']",300 kg/hr:capacity:specification | manual:automation grade:specification | copper:material to be extruded:specification | extraction plant:machine type:specification | 380 v:voltage:specification | 1 phase:phase:specification | pvc:body material:specification,"[""300 kg/hr:capacity:specification"", ""manual:automation grade:specification"", ""copper:material to be extruded:specification"", ""extraction plant:machine type:specification"", ""380 v:voltage:specification"", ""1 phase:phase:specification"", ""pvc:body material:specification""]",42,
True,mahindra semi-automatic copper extraction plant,4,"['mahindra:brand:specification', 'semi-automatic:automation grade:specification', 'copper:material to be extruded:specification', 'extraction plant:product type:specification']",mahindra:brand:specification | semi-automatic:automation grade:specification | copper:material to be extruded:specification | extraction plant:product type:specification,"[""mahindra:brand:specification"", ""semi-automatic:automation grade:specification"", ""copper:material to be extruded:specification"", ""extraction plant:product type:specification""]",43,
True,"manual ss extruder machine, capacity: 200 liter, voltage: 480 v, phase: 1 phase",6,"['manual:automation grade:specification', 'ss:body material:specification', 'extruder:product type:specification', '200 liter:capacity:specification', '480 v:voltage:specification', '1 phase:phase:specification']",manual:automation grade:specification | ss:body material:specification | extruder:product type:specification | 200 liter:capacity:specification | 480 v:voltage:specification | 1 phase:phase:specification,"[""manual:automation grade:specification"", ""ss:body material:specification"", ""extruder:product type:specification"", ""200 liter:capacity:specification"", ""480 v:voltage:specification"", ""1 phase:phase:specification""]",44,
True,20 tpd manual blown film extrusion machine,0,[],,,45,
True,fully automatic foam extruder 220 v,1,"['the example shows ""extruder:product:specification"". So maybe ""extruder"" is the product type here.']","the example shows ""extruder:product:specification"". So maybe ""extruder"" is the product type here.","<think>
Okay, let""s tackle this query: ""fully automatic foam extruder 220 v"". 

First, I need to break down the components. The main product here is an extruder, specifically a foam extruder. The term ""fully automatic"" is an automation grade, which I can map to the ""automation grade"" attribute from the training data. The ""220 v"" part is clearly the voltage. 

Looking at the training examples, ""fully automatic"" is in the automation grade list, and ""220 v"" is in the voltage examples. The product type here is ""foam extruder"", which might be a combination of ""foam"" as a material and ""extruder"" as the product type. However, in the training data, ""product type"" includes things like ""epe foam"", ""pvc"", etc. But ""foam extruder"" is more about the machine type. Wait, in the training data, there""s a ""machine type"" with ""extrusion"" and ""blown film"". Maybe ""extruder"" is part of the machine type. But the example given in the task for ""extruder"" uses ""product:specification"". Hmm, the example shows ""extruder:product:specification"". So maybe ""extruder"" is the product type here. 

So, ""foam extruder"" would be the product type. But in the training data, ""product type"" includes",46,
True,"mother baby extruder for packaging use, 50 ton, 220 v, turbo brand",6,"['mother baby:product type:specification', 'extruder:product:specification', 'packaging:usage/application:specification', '50 ton:capacity:specification', '220 v:voltage:specification', 'turbo:brand:specification']",mother baby:product type:specification | extruder:product:specification | packaging:usage/application:specification | 50 ton:capacity:specification | 220 v:voltage:specification | turbo:brand:specification,"[""mother baby:product type:specification"", ""extruder:product:specification"", ""packaging:usage/application:specification"", ""50 ton:capacity:specification"", ""220 v:voltage:specification"", ""turbo:brand:specification""]",47,
True,ss 304 body centrifuge extractor with 300 kg/hr capacity and 415 v voltage,0,[],,,48,
True,"labh group semi-automatic silver refining plant, 1 tpd, 480 v, 3 phase",6,"['labh group:brand:specification', 'semi-automatic:automation grade:specification', 'silver refining plant:product type:specification', '1 tpd:capacity:specification', '480 v:voltage:specification', '3 phase:phase:specification']",labh group:brand:specification | semi-automatic:automation grade:specification | silver refining plant:product type:specification | 1 tpd:capacity:specification | 480 v:voltage:specification | 3 phase:phase:specification,"[""labh group:brand:specification"", ""semi-automatic:automation grade:specification"", ""silver refining plant:product type:specification"", ""1 tpd:capacity:specification"", ""480 v:voltage:specification"", ""3 phase:phase:specification""]",49,
True,pp multi layer extruder 200 kg capacity,0,[],,,50,
True,laxmi manual silver refinery machine,4,"['laxmi:brand:specification', 'manual:automation grade:specification', 'silver refinery:usage/application:specification', 'machine:product:specification']",laxmi:brand:specification | manual:automation grade:specification | silver refinery:usage/application:specification | machine:product:specification,"[""laxmi:brand:specification"", ""manual:automation grade:specification"", ""silver refinery:usage/application:specification"", ""machine:product:specification""]",51,
True,25 kg/hr automatic jockey extruder,2,"['""automation grade"" is the attribute for terms like automatic or semi-automatic. So ""automatic:automation grade:specification"" fits here.', 'the example output for ""extruder"" in the first query used ""extruder:product:specification']","""automation grade"" is the attribute for terms like automatic or semi-automatic. So ""automatic:automation grade:specification"" fits here. | the example output for ""extruder"" in the first query used ""extruder:product:specification","<think>
Okay, let""s tackle this query: ""25 kg/hr automatic jockey extruder"". 

First, I need to break down each part. The query starts with ""25 kg/hr"", which is a capacity measurement. From the training data, the ""capacity"" attribute is used for things like kg/hr or liters. So that""s one attribute: 25 kg/hr:capacity:specification.

Next is ""automatic"". Looking at the training examples, ""automation grade"" is the attribute for terms like automatic or semi-automatic. So ""automatic:automation grade:specification"" fits here.

Then there""s ""jockey extruder"". The term ""jockey"" might be a brand or a model name. In the training data, ""brand"" includes names like Hulk Lokpal or Gold Star. But ""jockey"" isn""t listed there. However, sometimes product names can be part of the brand. Alternatively, ""jockey"" could be a model or a type. But since the training data includes ""extruder"" as a product type, maybe ""jockey"" is a model or a specific type. However, the example given in the training data for product type includes things like ""blown film"" or ""extrusion"". Since ""jockey"" isn""t in the product type list, perhaps it""s part of the product name. Wait, the example output for ""extruder"" in the first query used ""extruder:product:specification",52,
True,100 kg/hr manual conical twin screw extruder 480 v 3 phase ss 304 body,8,"['100 kg/hr:capacity:specification', 'manual:automation grade:specification', 'conical:screw type:specification', 'twin screw:design:specification', 'extruder:product type:specification', '480 v:voltage:specification', '3 phase:phase:specification', 'ss 304:body material:specification']",100 kg/hr:capacity:specification | manual:automation grade:specification | conical:screw type:specification | twin screw:design:specification | extruder:product type:specification | 480 v:voltage:specification | 3 phase:phase:specification | ss 304:body material:specification,"[""100 kg/hr:capacity:specification"", ""manual:automation grade:specification"", ""conical:screw type:specification"", ""twin screw:design:specification"", ""extruder:product type:specification"", ""480 v:voltage:specification"", ""3 phase:phase:specification"", ""ss 304:body material:specification""]",53,
True,200 kg/hr automatic oleoresin extraction plant,3,"['200 kg/hr:capacity:specification', 'automatic:automation grade:specification', 'oleoresin extraction plant:product:specification']",200 kg/hr:capacity:specification | automatic:automation grade:specification | oleoresin extraction plant:product:specification,"[""200 kg/hr:capacity:specification"", ""automatic:automation grade:specification"", ""oleoresin extraction plant:product:specification""]",54,
True,new plastic recycling extruder,4,"['new:i deal in:specification', 'plastic:material to be extruded:specification', 'recycling:usage/application:specification', 'extruder:product type:specification']",new:i deal in:specification | plastic:material to be extruded:specification | recycling:usage/application:specification | extruder:product type:specification,"[""new:i deal in:specification"", ""plastic:material to be extruded:specification"", ""recycling:usage/application:specification"", ""extruder:product type:specification""]",55,
True,aluminium extrusion plant for recycling,3,"['aluminium:material to be extruded:specification', 'extrusion plant:product type:specification', 'recycling:usage/application:specification']",aluminium:material to be extruded:specification | extrusion plant:product type:specification | recycling:usage/application:specification,"[""aluminium:material to be extruded:specification"", ""extrusion plant:product type:specification"", ""recycling:usage/application:specification""]",56,
True,gold refinery plant with 50 hp power 415 v,0,[],,"<think>
Okay, let""s tackle this query: ""gold refinery plant with 50 hp power 415 v"". 

First, I need to identify all the product-related attributes. The main product here is a ""gold refinery plant"". From the training data, there""s a ""brand"" attribute, but ""gold refinery plant"" seems to be the product type, not a brand. Let me check the examples. In the first example, ""extruder"" was labeled as product type. So here, ""gold refinery plant"" would be the product type.

Next, the query mentions ""50 hp power"". The ""power"" attribute is in the training data with examples like ""0.5 kva"" and ""2 hp"". So ""50 hp"" should be under the ""power"" attribute. 

Then there""s ""415 v"". The voltage attribute in the training data includes values like ""440 v"" and ""415 v"", so this is a voltage specification. 

Are there any other attributes? The query doesn""t mention brand, capacity, material, etc. So only the product type, power, and voltage are present here. 

I need to make sure I""m using the correct attribute names from the training data. ""Power"" is a valid attribute, and ""voltage"" is another. The product type is ""gold refinery plant"". 

Wait, in the training data under ""machine type"", there""s ""refinery",57,
True,"high quality automatic wire extruder conical type, 300 kg/hr, 230 v supply, 3 phase, stainless steel body, prism brand for wire & cable",11,"['high quality:quality:specification', 'automatic:automation grade:specification', 'wire extruder:product type:specification', 'conical:type:specification', '300 kg/hr:capacity:specification', '230 v:voltage:specification', 'supply:power source:specification', '3 phase:phase:specification', 'stainless steel:body material:specification', 'prism:brand:specification', 'wire & cable:usage/application:specification']",high quality:quality:specification | automatic:automation grade:specification | wire extruder:product type:specification | conical:type:specification | 300 kg/hr:capacity:specification | 230 v:voltage:specification | supply:power source:specification | 3 phase:phase:specification | stainless steel:body material:specification | prism:brand:specification | wire & cable:usage/application:specification,"[""high quality:quality:specification"", ""automatic:automation grade:specification"", ""wire extruder:product type:specification"", ""conical:type:specification"", ""300 kg/hr:capacity:specification"", ""230 v:voltage:specification"", ""supply:power source:specification"", ""3 phase:phase:specification"", ""stainless steel:body material:specification"", ""prism:brand:specification"", ""wire & cable:usage/application:specification""]",58,
True,monolayer extruder machine 100 liter output 400 v three phase hdpe,0,[],,,59,
True,conical mother baby extruder 5 kg fully automatic 440 v,0,[],,"<think>
Okay, let""s tackle this query: ""conical mother baby extruder 5 kg fully automatic 440 v"". 

First, I need to break down each part of the query to identify possible attributes. 

Starting with ""conical"". From the training data, there""s a ""design"" attribute that includes ""conical"". So ""conical"" would map to ""design:conical"".

Next is ""mother baby extruder"". The product type in the training data includes ""mother baby"", so that""s a product type. So ""mother baby:product type"".

Then ""5 kg"". The capacity attribute in the training data has entries like ""5 kg"", so this is a capacity of 5 kg. So ""5 kg:capacity"".

""Fully automatic"" is part of the automation grade. The training data shows ""fully automatic"" as a value for automation grade. So ""fully automatic:automation grade"".

Lastly, ""440 v"" is clearly the voltage. The training data lists ""440 v"" under voltage. So ""440 v:voltage"".

I need to make sure all these attributes are correctly mapped using the training data. Let me cross-check each one again. 

Conical under design? Yes. Mother baby as product type? Yes. 5 kg as capacity? Yes. Fully automatic as automation grade? Yes. 440 v as voltage? Yes. 

No other attributes seem to be present here",60,
True,sheet extruder with 20 hp power 380 v,0,[],,,61,
