query,ground_truth_count,qmeans_attr_count,gemini_attr_count,groundtruth_attr_key_1,groundtruth_attr_value_1,groundtruth_attr_key_2,groundtruth_attr_value_2,groundtruth_attr_key_3,groundtruth_attr_value_3,groundtruth_attr_key_4,groundtruth_attr_value_4,groundtruth_attr_key_5,groundtruth_attr_value_5,groundtruth_attr_key_6,groundtruth_attr_value_6,groundtruth_attr_key_7,groundtruth_attr_value_7,groundtruth_attr_key_8,groundtruth_attr_value_8,groundtruth_attr_key_9,groundtruth_attr_value_9,qmeans_attr_key_1,qmeans_attr_value_1,gemini_attr_key_1,gemini_attr_value_1,qmeans_attr_key_2,qmeans_attr_value_2,gemini_attr_key_2,gemini_attr_value_2,qmeans_attr_key_3,qmeans_attr_value_3,gemini_attr_key_3,gemini_attr_value_3,qmeans_attr_key_4,qmeans_attr_value_4,gemini_attr_key_4,gemini_attr_value_4,qmeans_attr_key_5,qmeans_attr_value_5,gemini_attr_key_5,gemini_attr_value_5,qmeans_attr_key_6,qmeans_attr_value_6,gemini_attr_key_6,gemini_attr_value_6,qmeans_attr_key_7,qmeans_attr_value_7,gemini_attr_key_7,gemini_attr_value_7,qmeans_attr_key_8,qmeans_attr_value_8,gemini_attr_key_8,gemini_attr_value_8,qmeans_attr_key_9,qmeans_attr_value_9,gemini_attr_key_9,gemini_attr_value_9,COUNT_MATCH,HIGH_COUNT,qmeans_vs_gemini_attr_1_key_match,qmeans_vs_gemini_attr_1_value_match,qmeans_vs_gemini_attr_2_key_match,qmeans_vs_gemini_attr_2_value_match,qmeans_vs_gemini_attr_3_key_match,qmeans_vs_gemini_attr_3_value_match,qmeans_vs_gemini_attr_4_key_match,qmeans_vs_gemini_attr_4_value_match,qmeans_vs_gemini_attr_5_key_match,qmeans_vs_gemini_attr_5_value_match,qmeans_vs_gemini_attr_6_key_match,qmeans_vs_gemini_attr_6_value_match,qmeans_vs_gemini_attr_7_key_match,qmeans_vs_gemini_attr_7_value_match,qmeans_vs_gemini_attr_8_key_match,qmeans_vs_gemini_attr_8_value_match,qmeans_vs_gemini_attr_9_key_match,qmeans_vs_gemini_attr_9_value_match,gemini_vs_qmeans_attr_1_key_match,gemini_vs_qmeans_attr_1_value_match,gemini_vs_qmeans_attr_2_key_match,gemini_vs_qmeans_attr_2_value_match,gemini_vs_qmeans_attr_3_key_match,gemini_vs_qmeans_attr_3_value_match,gemini_vs_qmeans_attr_4_key_match,gemini_vs_qmeans_attr_4_value_match,gemini_vs_qmeans_attr_5_key_match,gemini_vs_qmeans_attr_5_value_match,gemini_vs_qmeans_attr_6_key_match,gemini_vs_qmeans_attr_6_value_match,gemini_vs_qmeans_attr_7_key_match,gemini_vs_qmeans_attr_7_value_match,gemini_vs_qmeans_attr_8_key_match,gemini_vs_qmeans_attr_8_value_match,gemini_vs_qmeans_attr_9_key_match,gemini_vs_qmeans_attr_9_value_match,groundtruth_vs_qmeans_attr_1_key_match,groundtruth_vs_qmeans_attr_1_value_match,groundtruth_vs_qmeans_attr_2_key_match,groundtruth_vs_qmeans_attr_2_value_match,groundtruth_vs_qmeans_attr_3_key_match,groundtruth_vs_qmeans_attr_3_value_match,groundtruth_vs_qmeans_attr_4_key_match,groundtruth_vs_qmeans_attr_4_value_match,groundtruth_vs_qmeans_attr_5_key_match,groundtruth_vs_qmeans_attr_5_value_match,groundtruth_vs_qmeans_attr_6_key_match,groundtruth_vs_qmeans_attr_6_value_match,groundtruth_vs_qmeans_attr_7_key_match,groundtruth_vs_qmeans_attr_7_value_match,groundtruth_vs_qmeans_attr_8_key_match,groundtruth_vs_qmeans_attr_8_value_match,groundtruth_vs_qmeans_attr_9_key_match,groundtruth_vs_qmeans_attr_9_value_match,groundtruth_vs_gemini_attr_1_key_match,groundtruth_vs_gemini_attr_1_value_match,groundtruth_vs_gemini_attr_2_key_match,groundtruth_vs_gemini_attr_2_value_match,groundtruth_vs_gemini_attr_3_key_match,groundtruth_vs_gemini_attr_3_value_match,groundtruth_vs_gemini_attr_4_key_match,groundtruth_vs_gemini_attr_4_value_match,groundtruth_vs_gemini_attr_5_key_match,groundtruth_vs_gemini_attr_5_value_match,groundtruth_vs_gemini_attr_6_key_match,groundtruth_vs_gemini_attr_6_value_match,groundtruth_vs_gemini_attr_7_key_match,groundtruth_vs_gemini_attr_7_value_match,groundtruth_vs_gemini_attr_8_key_match,groundtruth_vs_gemini_attr_8_value_match,groundtruth_vs_gemini_attr_9_key_match,groundtruth_vs_gemini_attr_9_value_match
industrial bitumen extractor unique 5 ton 240 v manual,6,6,5,automation grade,manual,brand,unique,capacity,5 ton,product,bitumen extractor,usage/application,industrial,voltage,240 v,,,,,,,automation grade,manual,automation grade,manual,brand,unique,type of testing machines,bitumen extractor,capacity,5 ton,usage/application,industrial,machine type,bitumen extractor,voltage,240 v,usage,industrial,weight,5 ton,voltage,240 v,,,,,,,,,,,,,,,FALSE,qmeans,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,TRUE,TRUE,,,,,,
sheet extruder with 5 hp power 440 v,3,3,3,power,5 hp,product,sheet extruder,voltage,440 v,,,,,,,,,,,,,motor power,5 hp,motor power,5 hp,type,sheet extruder,output shape,sheet,voltage,440 v,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,same,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,
epe foam extruder with 10 hp power 240 v,3,3,2,power,10 hp,product,epe foam extruder,voltage,240 v,,,,,,,,,,,,,motor power,10 hp,motor power,10 hp,type,extruder,voltage,240 v,voltage,240 v,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,qmeans,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,
5 tpd xlpe cable extruder hdpe body,3,3,2,body material,hdpe,capacity,5 tpd,product,xlpe cable extruder,,,,,,,,,,,,,capacity,5 tpd,body material,hdpe,material,xlpe,capacity,5 tpd,usage,cable extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,qmeans,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,
solvent extraction plant with 25 hp power 480 v,3,3,2,power,25 hp,product,solvent extraction plant,voltage,480 v,,,,,,,,,,,,,motor power,25 hp,power,25 hp,type,solvent extraction,voltage,480 v,voltage,480 v,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,qmeans,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,
"looking for manual oleoresin extraction plant with specifications: capacity 250 kg/hr, voltage 480 v, phase single phase, body material stainless steel, application agricultural",7,3,5,automation grade,manual,body material,stainless steel,capacity,250 kg/hr,phase,single phase,product,oleoresin extraction plant,usage/application,agricultural,voltage,480 v,,,,,automation grade,manual,body material,stainless steel,capacity,250 kg/hr,phase,single phase,usage,agricultural,production capacity,250 kg/hr,,,usage/application,industrial,,,voltage,480 v,,,,,,,,,,,,,,,,,FALSE,gemini,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,,,,
"teknik automatic film extrusion machine machine with 500 tpd capacity, 230 v voltage, single phase, cast iron body, suitable for food processing",8,3,6,automation grade,automatic,body material,cast iron,brand,teknik,capacity,500 tpd,phase,single phase,product,film extrusion machine,usage/application,food processing,voltage,230 v,,,brand,teknik,automation grade,automatic,capacity,500 tpd,body material,cast iron,material,cast iron,capacity,500 tpd,,,general use,for food processing,,,phase,single phase,,,voltage,230 v,,,,,,,,,,,,,FALSE,gemini,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,TRUE,,
hdpe body film extrusion machine with 10 kg/hr capacity and 240 v voltage,4,3,3,body material,hdpe,capacity,10 kg/hr,product,film extrusion machine,voltage,240 v,,,,,,,,,,,capacity,10 kg/hr,body material,hdpe,material,hdpe,production capacity,10 kg/hr,voltage,240 v,voltage,240 v,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,same,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,
"high quality semi-automatic aluminium extrusion plant conical type, 250 kg/hr, 240 v supply, single phase, hdpe body, swaraj brand for chemical industries",9,4,7,automation grade,semi-automatic,body material,hdpe,brand,swaraj,capacity,250 kg/hr,phase,single phase,product,aluminium extrusion plant,screw design,conical,usage/application,chemical industries,voltage,240 v,automation grade,semi-automatic,automation grade,semi-automatic,brand,swaraj,body material,hdpe,capacity,250 kg/hr,brand,swaraj make,material,aluminium,phase,single phase,,,production capacity,250 kg/hr,,,usage/application,aluminium extrusion,,,voltage,240 v,,,,,,,,,FALSE,gemini,TRUE,TRUE,TRUE,PARTIAL,FALSE,NA,FALSE,NA,,,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,PARTIAL,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,PARTIAL,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,FALSE,TRUE,TRUE
500 tpd fully automatic extruder machine 480 v 1 phase pvc body,6,6,5,automation grade,fully automatic,body material,pvc,capacity,500 tpd,phase,1 phase,product,extruder machine,voltage,480 v,,,,,,,automation grade,automatic,automation grade,fully automatic,capacity,500 tpd,body material,pvc,material,pvc,capacity,500 tpd,phase,1 phase,phase,1 phase,type,extruder,voltage,480 v,voltage,480 v,,,,,,,,,,,,,,,FALSE,qmeans,TRUE,PARTIAL,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,TRUE,PARTIAL,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,TRUE,PARTIAL,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,,,,,,
titanium body oleoresin extraction plant 500 ton,3,1,2,body material,titanium,capacity,500 ton,product,oleoresin extraction plant,,,,,,,,,,,,,capacity,500 ton,body material,pp,,,capacity,500 ton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,gemini,TRUE,TRUE,,,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,TRUE,FALSE,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,
"eureka fully automatic ldpe blown film machine machine with 100 liter capacity, 380 v voltage, single phase, ss 304 body, suitable for research",8,4,5,automation grade,fully automatic,body material,ss 304,brand,eureka,capacity,100 liter,phase,single phase,product,ldpe blown film machine,usage/application,research,voltage,380 v,,,brand,eureka,automation grade,fully automatic,capacity,100 liter,capacity(litre,100 liter,machine type,automatic,material grade,ss 304,material,ldpe,phase,single phase,,,voltage,380 volt,,,,,,,,,,,,,,,,,FALSE,gemini,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,,,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,,,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,TRUE,PARTIAL,,
30 kg 1 phase hdpe extruder,3,4,3,capacity,30 kg,phase,1 phase,product,hdpe extruder,,,,,,,,,,,,,capacity,30 kg,capacity(kg,30 kg,material,hdpe,material to be extruded,hdpe,phase,1 phase,phase,1 phase,type,extruder,,,,,,,,,,,,,,,,,,,,,,,FALSE,qmeans,FALSE,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,
5 kg 1 phase curcumin extraction plant,3,2,2,capacity,5 kg,phase,1 phase,product,curcumin extraction plant,,,,,,,,,,,,,capacity,5 kg,capacity(kg,5 kg,phase,1 phase,phase,1 phase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,same,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,
monolayer extruder 240 v,2,2,2,product,monolayer extruder,voltage,240 v,,,,,,,,,,,,,,,type,extruder,layer,monolayer,voltage,240 v,voltage,240 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,same,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,,,FALSE,NA,TRUE,TRUE,,,,,,,,,,,,,,
multi layer extruder co-rotating design 200 kg/hr,3,2,2,capacity,200 kg/hr,product,multi layer extruder,screw design,co-rotating,,,,,,,,,,,,,capacity,200 kg/hr,production capacity,200 kg/hr,type,extruder,screw design,co rotating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,same,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,FALSE,NA,FALSE,NA,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,FALSE,NA,,,,,,,,,,,,,FALSE,NA,FALSE,NA,TRUE,FALSE,,,,,,,,,,,,
"high quality automatic solvent extraction plant twin screw type, 1000 liter, 220 v supply, 1 phase, stainless steel body, labh group brand for packaging",9,3,6,automation grade,automatic,body material,stainless steel,brand,labh group,capacity,1000 liter,phase,1 phase,product,solvent extraction plant,screw design,twin screw,usage/application,packaging,voltage,220 v,automation grade,automatic,automation grade,automatic,brand,labh group,body material,stainless steel,material,stainless steel,brand,labh group,,,phase,1 phase,,,screw design,twin screw,,,voltage,220 v,,,,,,,,,,,,,FALSE,gemini,TRUE,TRUE,TRUE,TRUE,FALSE,NA,,,,,,,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,,,,,,,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,NA,TRUE,TRUE
