query,success,key_count,raw_output,attributes_json
Gold Power Single Phase Induction Motor,True,3,"{""motor"": ""Single Phase Induction Motor"", ""attribute"": ""Gold"", ""power"": ""Power""}","{""motor"": ""Single Phase Induction Motor"", ""attribute"": ""Gold"", ""power"": ""Power""}"
Siemens 3TW72911AW78,True,2,"{""key"": ""Siemens"", ""power"": ""3TW72911A78""}","{""key"": ""Siemens"", ""power"": ""3TW72911A78""}"
Siemens 3TW72911AW74,True,2,"{""brand"": ""Siemens"", ""product_code"": ""3TW72911AWS74""}","{""brand"": ""Siemens"", ""product_code"": ""3TW72911AWS74""}"
Siemens 3TW72911AW72,True,2,"{""brand"": ""Siemens"", ""product_code"": ""3TW72911AWS72""}","{""brand"": ""Siemens"", ""product_code"": ""3TW72911AWS72""}"
Siemens 3TW72911AW71,True,2,"{""brand"": ""Siemens"", ""product_code"": ""3TW72911AWS71""}","{""brand"": ""Siemens"", ""product_code"": ""3TW72911AWS71""}"
Vertical Hollow Shaft Motor Service,True,3,"{""shaft"": ""Hollow"", ""motor service"": ""Motor Service"", ""orientation"": ""Vertical""}","{""shaft"": ""Hollow"", ""motor service"": ""Motor Service"", ""orientation"": ""Vertical""}"
Siemens 3TW72911AW69,True,2,"{""brand"": ""Siemens"", ""product_code"": ""3TW72911A69""}","{""brand"": ""Siemens"", ""product_code"": ""3TW72911A69""}"
Siemens 3TW72911AW68,True,2,"{""brand"": ""Siemens"", ""product_code"": ""3TW72911AWS68""}","{""brand"": ""Siemens"", ""product_code"": ""3TW72911AWS68""}"
Siemens 3TW72911AW66,True,2,"{""brand"": ""Siemens"", ""product_code"": ""3TW72911A66""}","{""brand"": ""Siemens"", ""product_code"": ""3TW72911A66""}"
Siemens 3TW72911AW64,True,2,"{""brand"": ""Siemens"", ""product_code"": ""3TW72911AWS64""}","{""brand"": ""Siemens"", ""product_code"": ""3TW72911AWS64""}"
100 HP to 2000 HP  Slip Ring Motor Starter,True,2,"{""motor"": ""Slip Ring Motor Starter"", ""power"": ""100 HP to 2500 HP""}","{""motor"": ""Slip Ring Motor Starter"", ""power"": ""100 HP to 2500 HP""}"
Crompton Single Phase Electric Motor,True,2,"{""motor"": ""Single Phase Electric Motor"", ""brand"": ""Crompton""}","{""motor"": ""Single Phase Electric Motor"", ""brand"": ""Crompton""}"
6 for business use piece electronic Valve Positioners,True,2,"{""attribute"": ""electronic Valve Positioners"", ""quantity"": ""6 for business use piece""}","{""attribute"": ""electronic Valve Positioners"", ""quantity"": ""6 for business use piece""}"
drondch motor,True,2,"{""motor"": ""drondch"", ""attribute"": null}","{""motor"": ""drondch"", ""attribute"": null}"
STP-43D2035 Stepper Motor,True,2,"{""motor"": ""Stepper Motor"", ""query_id"": ""STP-43D203""}","{""motor"": ""Stepper Motor"", ""query_id"": ""STP-43D203""}"
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0,True,3,"{""motor"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INF1FK2 SERVO DRIVE"", ""part_number"": ""1FK2104-7AK01-1MF0""}","{""motor"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INF1FK2 SERVO DRIVE"", ""part_number"": ""1FK2104-7AK01-1MF0""}"
Crompton 0.5hp Motor,True,3,"{""power"": ""0.5hp"", ""brand"": ""Crompton"", ""motor"": ""Motor""}","{""power"": ""0.5hp"", ""brand"": ""Crompton"", ""motor"": ""Motor""}"
Jencode Hollow Shaft Encoder,True,3,"{""Shaft Type"": ""Hollow"", ""Encoder Model"": ""Jencode"", ""Feature"": ""Shaft Encoder""}","{""Shaft Type"": ""Hollow"", ""Encoder Model"": ""Jencode"", ""Feature"": ""Shaft Encoder""}"
AC MOTARS,True,2,"{""power source"": ""AC"", ""type of motors"": ""MOTARS""}","{""power source"": ""AC"", ""type of motors"": ""MOTARS""}"
Hadrulicl Power motar,True,2,"{""power source"": ""Hadrulicl"", ""motor type"": ""Power motar""}","{""power source"": ""Hadrulicl"", ""motor type"": ""Power motar""}"
RC Car Brushless ESC Platinum Edition 120A,True,3,"{""Edition"": ""Platinum"", ""Model Name"": ""RC Car Brushless ESC"", ""Current Draw"": ""120A""}","{""Edition"": ""Platinum"", ""Model Name"": ""RC Car Brushless ESC"", ""Current Draw"": ""120A""}"
RPG15Q Motor,True,2,"{""attribute"": ""Motor"", ""query_id"": ""RPG15Q""}","{""attribute"": ""Motor"", ""query_id"": ""RPG15Q""}"
Honeywell V4055 Fuild Power Actuator,True,4,"{""power source"": ""Fuild Power"", ""actuator type"": ""Actuator"", ""part number"": ""V4055"", ""brand"": ""Honeywell""}","{""power source"": ""Fuild Power"", ""actuator type"": ""Actuator"", ""part number"": ""V4055"", ""brand"": ""Honeywell""}"
servo motor .,True,1,"{""power source"": ""servo motor .""}","{""power source"": ""servo motor .""}"
L & T SOFT STARTOR,True,2,"{""attribute"": ""L & T"", ""feature"": ""SOFT STARTOR""}","{""attribute"": ""L & T"", ""feature"": ""SOFT STARTOR""}"
775 dc motor,True,2,"{""motor"": ""dc motor"", ""quantity"": ""775""}","{""motor"": ""dc motor"", ""quantity"": ""775""}"
Brake Motors,True,1,"{""key"": ""Brake Motors""}","{""key"": ""Brake Motors""}"
1FK2104-6AF01-1MB0,True,1,"{""attribute"": ""1FK2104-7AB01-1MB0""}","{""attribute"": ""1FK2104-7AB01-1MB0""}"
Electric Motor,True,1,"{""power source"": ""Electric Motor""}","{""power source"": ""Electric Motor""}"
3 phase 415 V 0.09KW Motor,True,3,"{""power"": ""0.09KW"", ""voltage"": ""3 phase 415 V"", ""component"": ""Motor""}","{""power"": ""0.09KW"", ""voltage"": ""3 phase 415 V"", ""component"": ""Motor""}"
crompton motors crompton motor 5 hp single phase near patna,True,5,"{""motor"": ""crompton motor"", ""power"": ""near patna"", ""phase"": ""single phase"", ""brand"": ""chrompton"", ""horsepower"": ""5 hp""}","{""motor"": ""crompton motor"", ""power"": ""near patna"", ""phase"": ""single phase"", ""brand"": ""chrompton"", ""horsepower"": ""5 hp""}"
12v 775 Dc Motor,True,3,"{""motor"": ""Dc Motor"", ""voltage"": ""12v"", ""speed rating"": ""775""}","{""motor"": ""Dc Motor"", ""voltage"": ""12v"", ""speed rating"": ""775""}"
Linear Actuator,True,2,"{""actuator"": ""Linear"", ""key_attributes"": null}","{""actuator"": ""Linear"", ""key_attributes"": null}"
"Gold Power Single Phase Induction Motor, Voltage: 220V",True,3,"{""motor"": ""Single Phase Induction Motor"", ""voltage"": ""Voltage: 220V"", ""attribute"": ""Gold""}","{""motor"": ""Single Phase Induction Motor"", ""voltage"": ""Voltage: 220V"", ""attribute"": ""Gold""}"
dc motors,True,1,"{""power source"": ""dc motors""}","{""power source"": ""dc motors""}"
dol starter,True,1,"{""dol"": ""starter""}","{""dol"": ""starter""}"
Wages Patti,True,2,"{""designation"": ""Patti"", ""compensation"": ""Wages""}","{""designation"": ""Patti"", ""compensation"": ""Wages""}"
Lift Motor,True,2,"{""feature"": ""Lift"", ""motor"": ""Motor""}","{""feature"": ""Lift"", ""motor"": ""Motor""}"
0.25HP Single Phase Electric Motor,True,3,"{""power"": ""0.25HP"", ""motor type"": ""Electric Motor"", ""phase"": ""Single Phase""}","{""power"": ""0.25HP"", ""motor type"": ""Electric Motor"", ""phase"": ""Single Phase""}"
12v dc dual shaft motor,True,2,"{""power"": ""dual shaft motor"", ""voltage"": ""12v dc""}","{""power"": ""dual shaft motor"", ""voltage"": ""12v dc""}"
single phase submersible pump starter,True,3,"{""pump type"": ""submersible pump"", ""power source"": ""single phase"", ""feature"": ""starter""}","{""pump type"": ""submersible pump"", ""power source"": ""single phase"", ""feature"": ""starter""}"
Bharat Bijlee Ie3 Motor,True,2,"{""motor"": ""Ie3"", ""brand"": ""Bharat Bijlee""}","{""motor"": ""Ie3"", ""brand"": ""Bharat Bijlee""}"
Crompton Single Phase Vibrator,True,3,"{""attribute"": ""Single Phase"", ""brand"": ""Crompton"", ""feature"": ""Vibrator""}","{""attribute"": ""Single Phase"", ""brand"": ""Crompton"", ""feature"": ""Vibrator""}"
Telescopic Brushes,True,2,"{""brushes"": ""Telescopic"", ""type of brush"": ""Brushes""}","{""brushes"": ""Telescopic"", ""type of brush"": ""Brushes""}"
Carbon Brush,False,0,"{attribute: ""Carbon Brush""}",
electric gate motor,True,2,"{""power source"": ""electric"", ""motor type"": ""gate motor""}","{""power source"": ""electric"", ""motor type"": ""gate motor""}"
"101-200 KW 1 HP Bharat Bijlee Ac Motor, 1500 rpm",True,5,"{""power"": ""1 HP"", ""voltage/wattage"": ""101-200 KWH"", ""motor type"": ""Ac Motor, 1500"", ""rpm"": null, ""origin"": ""Bharat Bijlee""}","{""power"": ""1 HP"", ""voltage/wattage"": ""101-200 KWH"", ""motor type"": ""Ac Motor, 1500"", ""rpm"": null, ""origin"": ""Bharat Bijlee""}"
Auto Switch for 3 Phase Motor,True,1,"{""function"": ""Auto Switch for 3 Phase Motor""}","{""function"": ""Auto Switch for 3 Phase Motor""}"
crompton motors crompton motor 5 hp single phase,True,4,"{""motor"": ""crompton motor"", ""power"": ""single phase"", ""brand"": ""chrompton"", ""horsepower"": ""5 hp""}","{""motor"": ""crompton motor"", ""power"": ""single phase"", ""brand"": ""chrompton"", ""horsepower"": ""5 hp""}"
Motors,True,1,"{""power source"": ""Motors""}","{""power source"": ""Motors""}"
electrical motor,True,1,"{""power source"": ""electrical motor""}","{""power source"": ""electrical motor""}"
"0.37 KW 0.5 HP Bharat Bijlee Electric Motor, 1500 rpm",True,4,"{""power"": ""0.37 KW"", ""motor type"": ""Electric Motor, 1500"", ""brand/place of origin"": ""Bharat Bijlee"", ""speed"": ""0.5 HP""}","{""power"": ""0.37 KW"", ""motor type"": ""Electric Motor, 1500"", ""brand/place of origin"": ""Bharat Bijlee"", ""speed"": ""0.5 HP""}"
Three Phase Bharat Bijlee Motor,True,2,"{""power"": ""Three Phase"", ""brand/seller"": ""Bharat Bijlee Motor""}","{""power"": ""Three Phase"", ""brand/seller"": ""Bharat Bijlee Motor""}"
peco pk1 3 phase dol motor starter,True,4,"{""motor"": ""dol motor"", ""phase"": ""3 phase"", ""product code"": ""pk1"", ""material"": ""peco""}","{""motor"": ""dol motor"", ""phase"": ""3 phase"", ""product code"": ""pk1"", ""material"": ""peco""}"
Dol Motor Starter Dmc,True,3,"{""motor"": ""Dol"", ""starter type"": ""Motor Starter"", ""code"": ""Dmc""}","{""motor"": ""Dol"", ""starter type"": ""Motor Starter"", ""code"": ""Dmc""}"
tower-fan-motor,True,1,"{""type"": ""tower-fan-motor""}","{""type"": ""tower-fan-motor""}"
"11 KW 15 HP Crompton Greaves Electric Motor, 1000 rpm",True,5,"{""power"": ""11 KW"", ""motor speed"": ""1000 rpm"", ""brand"": ""Crompton Greaves"", ""horsepower"": ""15 HP"", ""type"": ""Electric Motor""}","{""power"": ""11 KW"", ""motor speed"": ""1000 rpm"", ""brand"": ""Crompton Greaves"", ""horsepower"": ""15 HP"", ""type"": ""Electric Motor""}"
"3 Phase Induction Motor, 3600 rpm, 4 Pole",True,3,"{""motor"": ""Induction Motor"", ""speed"": ""3600 rpm, 3 Phase"", ""pole"": ""4 Pole""}","{""motor"": ""Induction Motor"", ""speed"": ""3600 rpm, 3 Phase"", ""pole"": ""4 Pole""}"
Siemens Electric Motor,True,1,"{""motor"": ""Siemens Electric Motor""}","{""motor"": ""Siemens Electric Motor""}"
"3.7 KW 5 HP Crompton Greaves AC motor, 1500 rpm",True,4,"{""power"": ""3.7 KW"", ""brand"": ""Crompton Greaves"", ""motor type"": ""AC motor, 1500"", ""horsepower"": ""5 HP""}","{""power"": ""3.7 KW"", ""brand"": ""Crompton Greaves"", ""motor type"": ""AC motor, 1500"", ""horsepower"": ""5 HP""}"
Crompton,True,1,"{""brand"": ""Crompton""}","{""brand"": ""Crompton""}"
Crompton Greaves Industrial Motors,True,2,"{""brand"": ""Crompton Greaves"", ""power source"": ""Industrial Motors""}","{""brand"": ""Crompton Greaves"", ""power source"": ""Industrial Motors""}"
White Motor Starter,True,2,"{""motor"": ""Motor Starter"", ""color"": ""White""}","{""motor"": ""Motor Starter"", ""color"": ""White""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-1MA0 2.7 kW,True,4,"{""power"": ""2.7 kW"", ""motor type"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INF1FK2"", ""part number"": ""1FK2106-3AFF10-1MAF0""}","{""power"": ""2.7 kW"", ""motor type"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INF1FK2"", ""part number"": ""1FK2106-3AFF10-1MAF0""}"
CG Three Phase Crompton Greaves Flameproof Motor,True,5,"{""Safety Feature"": ""Flameproof"", ""Phase"": ""Three Phase"", ""Brand/Affiliation"": ""Crompton Greaves"", ""Attribute 1"": ""CG"", ""Component"": ""Motor""}","{""Safety Feature"": ""Flameproof"", ""Phase"": ""Three Phase"", ""Brand/Affiliation"": ""Crompton Greaves"", ""Attribute 1"": ""CG"", ""Component"": ""Motor""}"
Makita HR-2440 Armature By PowerSpeed,True,2,"{""Armature"": ""By PowerSpeed"", ""Model Number"": ""Makita HR-2440""}","{""Armature"": ""By PowerSpeed"", ""Model Number"": ""Makita HR-2440""}"
bldc 50w 24v 3000rpm,True,4,"{""power"": ""50w"", ""speed"": ""3000rpm"", ""voltage"": ""24v"", ""type"": ""bldc""}","{""power"": ""50w"", ""speed"": ""3000rpm"", ""voltage"": ""24v"", ""type"": ""bldc""}"
Mixer Grinder Motor,True,2,"{""type"": ""Mixer"", ""power source"": ""Motor""}","{""type"": ""Mixer"", ""power source"": ""Motor""}"
3000 rpm 24 v bldc 50w 24v 3000rpm,True,5,"{""speed"": ""3000rpm"", ""voltage"": ""24v"", ""power"": ""50w"", ""motor type"": ""bldc"", ""settings"": ""3000 rpm""}","{""speed"": ""3000rpm"", ""voltage"": ""24v"", ""power"": ""50w"", ""motor type"": ""bldc"", ""settings"": ""3000 rpm""}"
three phase 5 ac induction motor piece 10 hp 1440 rpm Three Phase Induction Motor Cg Make 3 HP,True,8,"{""motor type"": ""Induction Motor"", ""power source"": ""Three Phase Induction Motor"", ""phase"": ""three phase"", ""brand/make"": ""Cg Make"", ""speed"": ""1440 rpm"", ""hp"": ""3 HP"", ""condition"": ""piece"", ""voltage"": ""5 ac induction motor""}","{""motor type"": ""Induction Motor"", ""power source"": ""Three Phase Induction Motor"", ""phase"": ""three phase"", ""brand/make"": ""Cg Make"", ""speed"": ""1440 rpm"", ""hp"": ""3 HP"", ""condition"": ""piece"", ""voltage"": ""5 ac induction motor""}"
motor protection cover,True,1,"{""key-attributes"": ""motor protection cover""}","{""key-attributes"": ""motor protection cover""}"
Dwe4235 Armature,True,2,"{""attribute"": ""Armature"", ""code"": ""Dwe4235""}","{""attribute"": ""Armature"", ""code"": ""Dwe4235""}"
AM Gold Motor Starter,True,3,"{""motor"": ""Motor Starter"", ""color"": ""AM"", ""status"": ""Gold""}","{""motor"": ""Motor Starter"", ""color"": ""AM"", ""status"": ""Gold""}"
R. S. Series Geared Motors,True,2,"{""Series"": ""R. S. Series"", ""Drive Type"": ""Geared Motors""}","{""Series"": ""R. S. Series"", ""Drive Type"": ""Geared Motors""}"
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF01-1SB0 1 kW,True,4,"{""motor"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INFK2"", ""power"": ""1 kW"", ""part number"": ""1FK2104-7AK01-1SK""}","{""motor"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INFK2"", ""power"": ""1 kW"", ""part number"": ""1FK2104-7AK01-1SK""}"
3000  rpm 24  v 10 bldc 50w 24v 3000rpm,True,5,"{""speed"": ""3000rpm"", ""voltage"": ""24 v"", ""power"": ""10bldc 50w"", ""quantity"": ""24v"", ""attribute"": ""3000""}","{""speed"": ""3000rpm"", ""voltage"": ""24 v"", ""power"": ""10bldc 50w"", ""quantity"": ""24v"", ""attribute"": ""3000""}"
24  v 10 bldc 50w 24v 3000rpm,True,4,"{""voltage"": ""24 v"", ""power"": ""10bldc 50w"", ""speed"": ""3000rpm"", ""additional_info"": ""24v""}","{""voltage"": ""24 v"", ""power"": ""10bldc 50w"", ""speed"": ""3000rpm"", ""additional_info"": ""24v""}"
makita mt240 cb203a cut off carbon brush,False,0,"{""product_code"": ""cb203a"", ""brand"": ""makita"", ""part_type"": ""cut off"", ""carbon brush""}",
2 hp gear motor,True,2,"{""power"": ""2 hp"", ""drive type"": ""gear motor""}","{""power"": ""2 hp"", ""drive type"": ""gear motor""}"
Induction Motor Cg Make,True,2,"{""Make"": ""Cg"", ""Motor Type"": ""Induction Motor""}","{""Make"": ""Cg"", ""Motor Type"": ""Induction Motor""}"
Dual shaft Motor,True,2,"{""shafts"": ""Dual"", ""power source"": ""Motor""}","{""shafts"": ""Dual"", ""power source"": ""Motor""}"
ac servo motor 750w,True,2,"{""power"": ""750w"", ""motor type"": ""ac servo motor""}","{""power"": ""750w"", ""motor type"": ""ac servo motor""}"
ats480c66y,True,1,"{""product_code"": ""ats480c66y""}","{""product_code"": ""ats480c66y""}"
Kirloskar Electric Motor,True,1,"{""motor"": ""Kirloskar Electric Motor""}","{""motor"": ""Kirloskar Electric Motor""}"
three  phase 1 ATS480C66Y,True,2,"{""attributes"": ""three phase"", ""part_number"": ""ATS480C66Y""}","{""attributes"": ""three phase"", ""part_number"": ""ATS480C66Y""}"
l and t mpower pro mobile motor starter,True,3,"{""brand"": ""mpower"", ""motor type"": ""pro mobile motor starter"", ""size"": ""l and t m""}","{""brand"": ""mpower"", ""motor type"": ""pro mobile motor starter"", ""size"": ""l and t m""}"
